nConfigId	szDate	nOpenStatus	szShow
1	2023/05/05	0	2023/05/05 - 2023/05/06
1	2023/05/06	0	2023/05/05 - 2023/05/06
1	2023/05/07	0
1	2023/05/08	0
1	2023/05/09	0	2023/05/09 - 2023/05/10
1	2023/05/10	0	2023/05/09 - 2023/05/10
1	2026/02/06	1	2026/02/06 - 2026/02/25 23:59
1	2026/02/07	1	2026/02/06 - 2026/02/25 23:59
1	2026/02/08	1	2026/02/06 - 2026/02/25 23:59
1	2026/02/09	1	2026/02/06 - 2026/02/25 23:59
1	2026/02/10	1	2026/02/06 - 2026/02/25 23:59
1	2026/02/11	1	2026/02/06 - 2026/02/25 23:59
1	2026/02/12	1	2026/02/06 - 2026/02/25 23:59
1	2026/02/13	1	2026/02/06 - 2026/02/25 23:59
1	2026/02/14	1	2026/02/06 - 2026/02/25 23:59
1	2026/02/15	1	2026/02/06 - 2026/02/25 23:59
1	2026/02/16	1	2026/02/06 - 2026/02/25 23:59
1	2026/02/17	1	2026/02/06 - 2026/02/25 23:59
1	2026/02/18	1	2026/02/06 - 2026/02/25 23:59
1	2026/02/19	1	2026/02/06 - 2026/02/25 23:59
1	2026/02/20	1	2026/02/06 - 2026/02/25 23:59
1	2026/02/21	1	2026/02/06 - 2026/02/25 23:59
1	2026/02/22	1	2026/02/06 - 2026/02/25 23:59
1	2026/02/23	1	2026/02/06 - 2026/02/25 23:59
1	2026/02/24	1	2026/02/06 - 2026/02/25 23:59
1	2026/02/25	1	2026/02/06 - 2026/02/25 23:59
