nAwardLinkKey	szTimeFrameStart	szTimeFrameEnd	nAwardKey	nShowAwardKey
1	OpenLevel39	OpenLevel49	3	3
1	OpenLevel49	OpenLevel69	3	3
1	OpenLevel69	OpenLevel89	3	3
1	OpenLevel89	OpenLevel109	3	3
1	OpenLevel109	OpenLevel129	3	3
1	OpenLevel129	OpenLevel159	3	3
1	OpenLevel159	OpenLevel189	3	3
1	OpenLevel189	OpenLevel209	3	3
1	OpenLevel209	OpenLevel219	3	3
1	OpenLevel219	OpenLevel229	3	3
1	OpenLevel229	OpenLevel249	3	3
1	OpenLevel249	OpenLevel269	3	3
1	OpenLevel269	OpenLevel279	3	3
1	OpenLevel279	OpenLevel289	3	3
1	OpenLevel289		3	3
2	OpenLevel39	OpenLevel49	4	4
2	OpenLevel49	OpenLevel69	4	4
2	OpenLevel69	OpenLevel89	4	4
2	OpenLevel89	OpenLevel109	4	4
2	OpenLevel109	OpenLevel129	4	4
2	OpenLevel129	OpenLevel159	4	4
2	OpenLevel159	OpenLevel189	4	4
2	OpenLevel189	OpenLevel209	4	4
2	OpenLevel209	OpenLevel219	4	4
2	OpenLevel219	OpenLevel229	4	4
2	OpenLevel229	OpenLevel249	4	4
2	OpenLevel249	OpenLevel269	4	4
2	OpenLevel269	OpenLevel279	4	4
2	OpenLevel279	OpenLevel289	4	4
2	OpenLevel289		4	4
3	OpenLevel39	OpenLevel49	5	5
3	OpenLevel49	OpenLevel69	5	5
3	OpenLevel69	OpenLevel89	5	5
3	OpenLevel89	OpenLevel109	5	5
3	OpenLevel109	OpenLevel129	5	5
3	OpenLevel129	OpenLevel159	5	5
3	OpenLevel159	OpenLevel189	5	5
3	OpenLevel189	OpenLevel209	5	5
3	OpenLevel209	OpenLevel219	5	5
3	OpenLevel219	OpenLevel229	5	5
3	OpenLevel229	OpenLevel249	5	5
3	OpenLevel249	OpenLevel269	5	5
3	OpenLevel269	OpenLevel279	5	5
3	OpenLevel279	OpenLevel289	5	5
3	OpenLevel289		5	5
4	OpenLevel39	OpenLevel49	6	6
4	OpenLevel49	OpenLevel69	6	6
4	OpenLevel69	OpenLevel89	6	6
4	OpenLevel89	OpenLevel109	6	6
4	OpenLevel109	OpenLevel129	6	6
4	OpenLevel129	OpenLevel159	6	6
4	OpenLevel159	OpenLevel189	6	6
4	OpenLevel189	OpenLevel209	6	6
4	OpenLevel209	OpenLevel219	6	6
4	OpenLevel219	OpenLevel229	6	6
4	OpenLevel229	OpenLevel249	6	6
4	OpenLevel249	OpenLevel269	6	6
4	OpenLevel269	OpenLevel279	6	6
4	OpenLevel279	OpenLevel289	6	6
4	OpenLevel289		6	6
5	OpenLevel39	OpenLevel49	7	7
5	OpenLevel49	OpenLevel69	7	7
5	OpenLevel69	OpenLevel89	7	7
5	OpenLevel89	OpenLevel109	7	7
5	OpenLevel109	OpenLevel129	7	7
5	OpenLevel129	OpenLevel159	7	7
5	OpenLevel159	OpenLevel189	7	7
5	OpenLevel189	OpenLevel209	7	7
5	OpenLevel209	OpenLevel219	7	7
5	OpenLevel219	OpenLevel229	7	7
5	OpenLevel229	OpenLevel249	7	7
5	OpenLevel249	OpenLevel269	7	7
5	OpenLevel269	OpenLevel279	7	7
5	OpenLevel279	OpenLevel289	7	7
5	OpenLevel289		7	7
6	OpenLevel39	OpenLevel49	8	8
6	OpenLevel49	OpenLevel69	8	8
6	OpenLevel69	OpenLevel89	8	8
6	OpenLevel89	OpenLevel109	8	8
6	OpenLevel109	OpenLevel129	8	8
6	OpenLevel129	OpenLevel159	8	8
6	OpenLevel159	OpenLevel189	8	8
6	OpenLevel189	OpenLevel209	8	8
6	OpenLevel209	OpenLevel219	8	8
6	OpenLevel219	OpenLevel229	8	8
6	OpenLevel229	OpenLevel249	8	8
6	OpenLevel249	OpenLevel269	8	8
6	OpenLevel269	OpenLevel279	8	8
6	OpenLevel279	OpenLevel289	8	8
6	OpenLevel289		8	8
7	OpenLevel39	OpenLevel49	9	9
7	OpenLevel49	OpenLevel69	9	9
7	OpenLevel69	OpenLevel89	9	9
7	OpenLevel89	OpenLevel109	9	9
7	OpenLevel109	OpenLevel129	9	9
7	OpenLevel129	OpenLevel159	9	9
7	OpenLevel159	OpenLevel189	9	9
7	OpenLevel189	OpenLevel209	9	9
7	OpenLevel209	OpenLevel219	9	9
7	OpenLevel219	OpenLevel229	9	9
7	OpenLevel229	OpenLevel249	9	9
7	OpenLevel249	OpenLevel269	9	9
7	OpenLevel269	OpenLevel279	9	9
7	OpenLevel279	OpenLevel289	9	9
7	OpenLevel289		9	9
