NpcTemplateId	PosX	PosY	nPhase	szType	bEnd
13527	6459	30364	4	guangyingshi	
13527	23695	54019	4	guangyingshi	
13527	48136	30974	4	guangyingshi	
10000	27542	34031	4	Trap	
13527	16437	37587	4	guangyingshi	
13527	23195	24044	4	guangyingshi	
13527	30006	43471	4	guangyingshi	
13527	37153	29101	4	guangyingshi	
13527	29607	12358	4	guangyingshi	
10000	31819	33364	4	guangyingTrap	
10000	27019	38190	4	guangyingTrap	
10000	22155	33316	4	guangyingTrap	
10000	26943	28492	4	guangyingTrap	
10000	27169	47624	4	guangyingTrap	
10000	22456	42395	4	guangyingTrap	
10000	27132	9052	4	guangyingTrap	
10000	35804	38441	4	guangyingTrap	
10000	41471	33183	4	guangyingTrap	
10000	2962	33176	4	guangyingTrap	
10000	12642	33144	4	guangyingTrap	
10000	18058	28495	4	guangyingTrap	
10000	51334	33452	4	guangyingTrap	
10000	26992	18713	4	guangyingTrap	
10000	31962	24200	4	guangyingTrap	
10000	27523	57879	4	guangyingTrap	
