Index	AttribID	AttackSpeed	MaxLife	MaxMana	FightPower	Miss	HitRate	MinBaseAttack	MaxBaseAttack	WoodDamage	WaterDamage	FireDamage	EarthDamage	MetalDamage	WoodResist	WaterResist	FireResist	EarthResist	MetalResist	DeadlyStrike	WeakenDeadlyStrike	SeriesEnhance
BW_1000	1000	0	{1,720},{10,900},{20,1100},{30,1300},{40,1500},{50,1700},{60,1900},{70,2100},{80,2300},{90,2500},{100,2700}	{1,1050},{10,1500},{20,2000},{30,2500},{40,3000},{50,3500},{60,4000},{70,4500},{80,5000},{90,5500},{100,6000}	0	0	{1,1},{80,1}	{1,1},{80,1}	{1,1},{80,1}	0	0	0	0	0	0	0	0	0		{1,1},{80,1}		
BW_1001	1001	100	{1,300},{10,500},{20,4400},{30,7300},{40,11600},{50,17400},{60,25400},{70,35500},{80,48600},{90,64700},{100,84900},{110,109200},{120,138800},{130,167800},{140,199700},{150,234000},{160,271700},{170,312000},{180,356000},{190,403000},{200,453900}	{10,650},{20,5000},{30,12000},{40,24000},{50,36000},{60,50000},{70,75000},{80,96000},{90,120000},{100,150000}	0	0	{1,10},{100,120}	{1,27},{10,43},{20,75},{30,106},{40,151},{50,242},{60,611},{70,791},{80,1000},{90,1229},{100,1487},{110,1766},{120,2073},{130,2377},{140,2684},{150,2988},{160,3296},{170,3599},{180,3907},{190,4211},{200,4518}	{1,27},{10,43},{20,75},{30,106},{40,151},{50,242},{60,611},{70,791},{80,1000},{90,1229},{100,1487},{110,1766},{120,2073},{130,2377},{140,2684},{150,2988},{160,3296},{170,3599},{180,3907},{190,4211},{200,4518}	0	0	0	0	0	0	0	0	0		{1,2},{10,20},{50,100},{70,140}		{1,29},{10,72},{20,120},{30,168},{40,216},{50,264},{60,312},{70,360},{80,408},{90,456},{100,504},{110,552},{120,600},{130,648},{140,696},{150,744},{160,792},{170,840},{180,888},{190,936},{200,984}
BW_1002	1002	100	{1,1200},{10,2100},{20,5500},{30,9100},{40,14500},{50,21800},{60,31700},{70,44300},{80,60800},{90,80900},{100,106100},{110,136400},{120,173500},{130,209700},{140,249600},{150,292500},{160,339600},{170,390100},{180,445000},{190,503700},{200,567400}	{10,1300},{20,10000},{30,24000},{40,48000},{50,72000},{60,100000},{70,150000},{80,192000},{90,240000},{100,300000}	0	0	{1,1},{80,80}	{1,10},{200,300}	{1,10},{200,300}	0	0	0	0	0	0	0	0	0		{1,2},{10,20},{50,100},{70,140}		{1,29},{10,72},{20,120},{30,168},{40,216},{50,264},{60,312},{70,360},{80,408},{90,456},{100,504},{110,552},{120,600},{130,648},{140,696},{150,744},{160,792},{170,840},{180,888},{190,936},{200,984}
BW_1003	1003	100	{1,1200},{10,3000},{20,7300},{30,12100},{40,19400},{50,29000},{60,42300},{70,59100},{80,81000},{90,107900},{100,141400},{110,181900},{120,231300},{130,279600},{140,332800},{150,390000},{160,452800},{170,520100},{180,593400},{190,671600},{200,756600}	{10,1950},{20,15000},{30,36000},{40,72000},{50,108000},{60,150000},{70,225000},{80,288000},{90,360000},{100,450000}	0	0	{1,10},{100,120}	{1,27},{10,43},{20,75},{30,106},{40,151},{50,242},{60,611},{70,791},{80,1000},{90,1229},{100,1487},{110,1766},{120,2073},{130,2377},{140,2684},{150,2988},{160,3296},{170,3599},{180,3907},{190,4211},{200,4518}	{1,27},{10,43},{20,75},{30,106},{40,151},{50,242},{60,611},{70,791},{80,1000},{90,1229},{100,1487},{110,1766},{120,2073},{130,2377},{140,2684},{150,2988},{160,3296},{170,3599},{180,3907},{190,4211},{200,4518}	0	0	0	0	0	0	0	0	0		{1,2},{10,20},{50,100},{70,140}		{1,29},{10,72},{20,120},{30,168},{40,216},{50,264},{60,312},{70,360},{80,408},{90,456},{100,504},{110,552},{120,600},{130,648},{140,696},{150,744},{160,792},{170,840},{180,888},{190,936},{200,984}
BW_1004	1004	100	{1,1200},{10,3000},{20,11000},{30,18100},{40,29000},{50,43500},{60,63500},{70,88700},{80,121500},{90,161800},{100,212100},{110,272900},{120,347000},{130,419400},{140,499200},{150,585000},{160,679100},{170,780100},{180,890000},{190,1007500},{200,1134800}	{10,2600},{20,20000},{30,48000},{40,96000},{50,144000},{60,200000},{70,300000},{80,384000},{90,480000},{100,600000}	0	0	{1,10},{100,120}	{1,27},{10,43},{20,75},{30,106},{40,151},{50,242},{60,611},{70,791},{80,1000},{90,1229},{100,1487},{110,1766},{120,2073},{130,2377},{140,2684},{150,2988},{160,3296},{170,3599},{180,3907},{190,4211},{200,4518}	{1,27},{10,43},{20,75},{30,106},{40,151},{50,242},{60,611},{70,791},{80,1000},{90,1229},{100,1487},{110,1766},{120,2073},{130,2377},{140,2684},{150,2988},{160,3296},{170,3599},{180,3907},{190,4211},{200,4518}	0	0	0	0	0	0	0	0	0		{1,2},{10,20},{50,100},{70,140}		{1,29},{10,72},{20,120},{30,168},{40,216},{50,264},{60,312},{70,360},{80,408},{90,456},{100,504},{110,552},{120,600},{130,648},{140,696},{150,744},{160,792},{170,840},{180,888},{190,936},{200,984}
BW_1005	1005	100	{1,1200},{10,3000},{20,14700},{30,24200},{40,38700},{50,58000},{60,84600},{70,118300},{80,162000},{90,215700},{100,282900},{110,363800},{120,462600},{130,559200},{140,665600},{150,779900},{160,905500},{170,1040100},{180,1186700},{190,1343300},{200,1513100}	{1,1300},{10,2400},{20,4600},{30,7200},{40,11200},{50,19700},{60,48500},{70,68500},{80,94500},{90,126500},{100,166700},{110,215100},{120,274200},{130,332000},{140,395600},{150,464300},{160,539400},{170,620100},{180,707900},{190,801800},{200,903600}	0	0	{1,10},{100,120}	{1,27},{10,43},{20,75},{30,106},{40,151},{50,242},{60,611},{70,791},{80,1000},{90,1229},{100,1487},{110,1766},{120,2073},{130,2377},{140,2684},{150,2988},{160,3296},{170,3599},{180,3907},{190,4211},{200,4518}	{1,27},{10,43},{20,75},{30,106},{40,151},{50,242},{60,611},{70,791},{80,1000},{90,1229},{100,1487},{110,1766},{120,2073},{130,2377},{140,2684},{150,2988},{160,3296},{170,3599},{180,3907},{190,4211},{200,4518}	0	0	0	0	0	0	0	0	0		{1,2},{10,20},{50,100},{70,140}		{1,29},{10,72},{20,120},{30,168},{40,216},{50,264},{60,312},{70,360},{80,408},{90,456},{100,504},{110,552},{120,600},{130,648},{140,696},{150,744},{160,792},{170,840},{180,888},{190,936},{200,984}
BW_1006	1006	100	{1,7800},{10,12400},{20,22000},{30,36300},{40,58100},{50,87000},{60,126900},{70,177400},{80,243000},{90,323600},{100,424300},{110,545800},{120,694000},{130,838800},{140,998400},{150,1169900},{160,1358300},{170,1560200},{180,1780100},{190,2014900},{200,2269700}	{1,2000},{10,3600},{20,6900},{30,10800},{40,16900},{50,29600},{60,72800},{70,102800},{80,141800},{90,189800},{100,250100},{110,322700},{120,411200},{130,498000},{140,593400},{150,696400},{160,809100},{170,930100},{180,1061800},{190,1202700},{200,1355300}	0	0	{1,10},{100,120}	{1,52},{10,87},{20,159},{30,256},{40,387},{50,543},{60,917},{70,1186},{80,1500},{90,1843},{100,2230},{110,2648},{120,3110},{130,3565},{140,4026},{150,4482},{160,4943},{170,5399},{180,5860},{190,6316},{200,6777}	{1,52},{10,87},{20,159},{30,256},{40,387},{50,543},{60,917},{70,1186},{80,1500},{90,1843},{100,2230},{110,2648},{120,3110},{130,3565},{140,4026},{150,4482},{160,4943},{170,5399},{180,5860},{190,6316},{200,6777}	0	0	0	0	0	0	0	0	0		{1,2},{10,20},{50,100},{70,140}		{1,29},{10,72},{20,120},{30,168},{40,216},{50,264},{60,312},{70,360},{80,408},{90,456},{100,504},{110,552},{120,600},{130,648},{140,696},{150,744},{160,792},{170,840},{180,888},{190,936},{200,984}
BW_1007	1007	100	{1,11700},{10,18600},{20,33000},{30,54400},{40,87100},{50,130500},{60,190400},{70,266100},{80,364500},{90,485300},{100,636400},{110,818600},{120,1040900},{130,1258200},{140,1497600},{150,1754900},{160,2037400},{170,2340300},{180,2670100},{190,3022400},{200,3404500}	{1,9000},{5,21600},{10,26400},{20,48000},{30,67200},{40,91200},{50,211200},{60,331200},{70,451200},{80,1152000},{90,1440000},{100,1800000}	0	0	{1,10},{100,120}	{1,52},{10,87},{20,159},{30,256},{40,387},{50,543},{60,917},{70,1186},{80,1500},{90,1843},{100,2230},{110,2648},{120,3110},{130,3565},{140,4026},{150,4482},{160,4943},{170,5399},{180,5860},{190,6316},{200,6777}	{1,52},{10,87},{20,159},{30,256},{40,387},{50,543},{60,917},{70,1186},{80,1500},{90,1843},{100,2230},{110,2648},{120,3110},{130,3565},{140,4026},{150,4482},{160,4943},{170,5399},{180,5860},{190,6316},{200,6777}	0	0	0	0	0	0	0	0	0		{1,2},{10,20},{50,100},{70,140}		{1,29},{10,72},{20,120},{30,168},{40,216},{50,264},{60,312},{70,360},{80,408},{90,456},{100,504},{110,552},{120,600},{130,648},{140,696},{150,744},{160,792},{170,840},{180,888},{190,936},{200,984}
BW_1008	1008	100	{1,15600},{10,24800},{20,44000},{30,72500},{40,116200},{50,174000},{60,253800},{70,354800},{80,486000},{90,647100},{100,848600},{110,1091500},{120,1387900},{130,1677500},{140,1996800},{150,2339800},{160,2716500},{170,3120400},{180,3560200},{190,4029800},{200,4539400}	{1,11250},{5,27000},{10,33000},{20,60000},{30,84000},{40,114000},{50,264000},{60,414000},{70,564000},{80,1440000},{90,1800000},{100,2250000}	0	0	{1,10},{100,120}	{1,52},{10,87},{20,159},{30,256},{40,387},{50,543},{60,917},{70,1186},{80,1500},{90,1843},{100,2230},{110,2648},{120,3110},{130,3565},{140,4026},{150,4482},{160,4943},{170,5399},{180,5860},{190,6316},{200,6777}	{1,52},{10,87},{20,159},{30,256},{40,387},{50,543},{60,917},{70,1186},{80,1500},{90,1843},{100,2230},{110,2648},{120,3110},{130,3565},{140,4026},{150,4482},{160,4943},{170,5399},{180,5860},{190,6316},{200,6777}	0	0	0	0	0	0	0	0	0		{1,2},{10,20},{50,100},{70,140}		{1,29},{10,72},{20,120},{30,168},{40,216},{50,264},{60,312},{70,360},{80,408},{90,456},{100,504},{110,552},{120,600},{130,648},{140,696},{150,744},{160,792},{170,840},{180,888},{190,936},{200,984}
BW_1009	1009	100	{1,19500},{10,31100},{20,55100},{30,90700},{40,145200},{50,217500},{60,317300},{70,443500},{80,607500},{90,808900},{100,1060700},{110,1364400},{120,1734900},{130,2096900},{140,2496000},{150,2924800},{160,3395600},{170,3900500},{180,4450200},{190,5037300},{200,5674200}	{1,3750},{5,9000},{10,11000},{20,20000},{30,28000},{40,38000},{50,88000},{60,138000},{70,188000},{80,480000},{90,600000},{100,750000}	0	0	{1,10},{100,120}	{1,52},{10,87},{20,159},{30,256},{40,387},{50,543},{60,917},{70,1186},{80,1500},{90,1843},{100,2230},{110,2648},{120,3110},{130,3565},{140,4026},{150,4482},{160,4943},{170,5399},{180,5860},{190,6316},{200,6777}	{1,52},{10,87},{20,159},{30,256},{40,387},{50,543},{60,917},{70,1186},{80,1500},{90,1843},{100,2230},{110,2648},{120,3110},{130,3565},{140,4026},{150,4482},{160,4943},{170,5399},{180,5860},{190,6316},{200,6777}	0	0	0	0	0	0	0	0	0		{1,2},{10,20},{50,100},{70,140}		{1,29},{10,72},{20,120},{30,168},{40,216},{50,264},{60,312},{70,360},{80,408},{90,456},{100,504},{110,552},{120,600},{130,648},{140,696},{150,744},{160,792},{170,840},{180,888},{190,936},{200,984}
