FaceId	Atlas	Sprite
101		UI/icon/portrait/010.png
102		UI/icon/portrait/033.png
103		UI/icon/portrait/018.png
104		UI/icon/portrait/028.png
105		UI/icon/portrait/007.png
106		UI/icon/portrait/024.png
107		UI/icon/portrait/009.png
108		UI/icon/portrait/017.png
109		UI/icon/portrait/004.png
110		UI/icon/portrait/021.png
111		UI/icon/portrait/004.png
112		UI/icon/portrait/026.png
113		UI/icon/portrait/015.png
114		UI/icon/portrait/028.png
115		UI/icon/portrait/012.png
116		UI/icon/portrait/022.png
117		UI/icon/portrait/034.png
118		UI/icon/portrait/008.png
119		UI/icon/portrait/025.png
120		UI/icon/portrait/032.png
121		UI/icon/portrait/030.png
122		UI/icon/portrait/035.png
11001		UI/icon/partnerequip/headpic_maleSSS.png
11008		UI/icon/partnerequip/headpic_femaleSSS.png
11020		UI/icon/partnerequip/headpic_beastSSS.png
11026		UI/icon/partnerequip/headpic_femaleSS.png
11027		UI/icon/partnerequip/headpic_maleSS.png
11028		UI/icon/partnerequip/headpic_beastSS.png
11046		UI/icon/partnerequip/headpic_maleS.png
11047		UI/icon/partnerequip/headpic_beastS.png
11049		UI/icon/partnerequip/headpic_femaleS.png
11063		UI/icon/partnerequip/headpic_femaleA.png
11064		UI/icon/partnerequip/headpic_maleA.png
11066		UI/icon/partnerequip/headpic_beastA.png
11084		UI/icon/partnerequip/headpic_maleB.png
11085		UI/icon/partnerequip/headpic_femaleB.png
11086		UI/icon/partnerequip/headpic_beastB.png
11103		UI/icon/partnerequip/headpic_femaleC.png
11104		UI/icon/partnerequip/headpic_maleC.png
11116		UI/icon/partnerequip/headpic_beastC.png
7297		UI/icon/portrait/012.png
7298		UI/icon/portrait/029.png
7299		UI/icon/portrait/013.png
7300		UI/icon/portrait/033.png
7301		UI/icon/portrait/005.png
7302		UI/icon/portrait/006.png
7303		UI/icon/portrait/027.png
7304		UI/icon/portrait/033.png
7305		UI/icon/portrait/012.png
7306		UI/icon/portrait/007.png
