nTaskId	nStep	szAction	nItemTemplateId	_Desc	nCount	nGetMapTemplateId	nGetNpcTemplateId	_Desc	_Desc
1	1	giveitem	106	<i18n=9119>	1	1	10	15	20
2	1	giveitem	116	<i18n=13068>	1	1	14	15	20
3	1	giveitem	126	<i18n=13224>	1	1	12	15	20
4	1	giveitem	176	<i18n=9180>	1	1	11	15	20
5	1	giveitem	107	<i18n=8324>	1	1	10	21	30
6	1	giveitem	117	<i18n=4777>	1	1	14	21	30
7	1	giveitem	127	<i18n=13428>	1	1	12	21	30
8	1	giveitem	177	<i18n=10493>	1	1	11	21	30
9	1	giveitem	108	<i18n=3872>	1	1	10	31	40
10	1	giveitem	118	<i18n=4777>	1	1	14	31	40
11	1	giveitem	128	<i18n=12475>	1	1	12	31	40
12	1	giveitem	178	<i18n=393>	1	1	11	31	40
13	1	giveitem	109	<i18n=11511>	1	1	10	41	50
14	1	giveitem	119	<i18n=5433>	1	1	14	41	50
15	1	giveitem	129	<i18n=13426>	1	1	12	41	50
16	1	giveitem	179	<i18n=126>	1	1	11	41	50
17	1	giveitem	110	<i18n=4378>	1	1	10	51	60
18	1	giveitem	120	<i18n=14870>	1	1	14	51	60
19	1	giveitem	130	<i18n=8902>	1	1	12	51	60
20	1	giveitem	180	<i18n=4482>	1	1	11	51	60
21	1	giveitem	111	<i18n=8023>	1	1	10	61	70
22	1	giveitem	121	<i18n=6438>	1	1	14	61	70
23	1	giveitem	131	<i18n=15128>	1	1	12	61	70
24	1	giveitem	181	<i18n=10804>	1	1	11	61	70
25	1	giveitem	112	<i18n=2028>	1	1	10	71	80
26	1	giveitem	122	<i18n=2550>	1	1	14	71	80
27	1	giveitem	132	<i18n=9912>	1	1	12	71	80
28	1	giveitem	182	<i18n=6221>	1	1	11	71	80
29	1	giveitem	113	<i18n=1561>	1	1	10	81	90
30	1	giveitem	123	<i18n=15590>	1	1	14	81	90
31	1	giveitem	133	<i18n=13160>	1	1	12	81	90
32	1	giveitem	183	<i18n=3023>	1	1	11	81	90
33	1	giveitem	114	<i18n=15505>	1	1	10	91	100
34	1	giveitem	124	<i18n=8748>	1	1	14	91	100
35	1	giveitem	134	<i18n=3466>	1	1	12	91	100
36	1	giveitem	184	<i18n=9462>	1	1	11	91	100
37	1	giveitem	115	<i18n=8523>	1	1	10	101	200
38	1	giveitem	125	<i18n=1075>	1	1	14	101	200
39	1	giveitem	135	<i18n=6346>	1	1	12	101	200
40	1	giveitem	185	<i18n=14799>	1	1	11	101	200
