nTaskId	szType	nWeight	nLevelMin	nLevelMax
1	GiveItem	1000	10	20
2	GiveItem	1000	10	20
3	GiveItem	1000	10	20
4	GiveItem	1000	10	20
5	GiveItem	1000	21	30
6	GiveItem	1000	21	30
7	GiveItem	1000	21	30
8	GiveItem	1000	21	30
9	GiveItem	1000	31	40
10	GiveItem	1000	31	40
11	GiveItem	1000	31	40
12	GiveItem	1000	31	40
13	GiveItem	1000	41	50
14	GiveItem	1000	41	50
15	GiveItem	1000	41	50
16	GiveItem	1000	41	50
17	GiveItem	1000	51	60
18	GiveItem	1000	51	60
19	GiveItem	1000	51	60
20	GiveItem	1000	51	60
21	GiveItem	1000	61	70
22	GiveItem	1000	61	70
23	GiveItem	1000	61	70
24	GiveItem	1000	61	70
25	GiveItem	1000	71	80
26	GiveItem	1000	71	80
27	GiveItem	1000	71	80
28	GiveItem	1000	71	80
29	GiveItem	1000	81	90
30	GiveItem	1000	81	90
31	GiveItem	1000	81	90
32	GiveItem	1000	81	90
33	GiveItem	1000	91	100
34	GiveItem	1000	91	100
35	GiveItem	1000	91	100
36	GiveItem	1000	91	100
37	GiveItem	1000	101	200
38	GiveItem	1000	101	200
39	GiveItem	1000	101	200
40	GiveItem	1000	101	200
101	killlnpc	2000	10	20
102	killlnpc	2000	10	20
103	killlnpc	2000	10	20
104	killlnpc	2000	10	20
105	killlnpc	2000	10	20
106	killlnpc	2000	10	20
107	killlnpc	2000	10	20
108	killlnpc	2000	10	20
109	killlnpc	2000	21	30
110	killlnpc	2000	21	30
111	killlnpc	2000	21	30
112	killlnpc	2000	21	30
113	killlnpc	2000	21	30
114	killlnpc	2000	21	30
115	killlnpc	2000	31	40
116	killlnpc	2000	31	40
117	killlnpc	2000	31	40
118	killlnpc	2000	31	40
119	killlnpc	2000	41	50
120	killlnpc	2000	41	50
121	killlnpc	2000	41	50
122	killlnpc	2000	41	50
123	killlnpc	2000	41	50
124	killlnpc	2000	41	50
125	killlnpc	2000	41	50
126	killlnpc	2000	51	60
127	killlnpc	2000	51	60
128	killlnpc	2000	51	60
129	killlnpc	2000	51	60
130	killlnpc	2000	51	60
131	killlnpc	2000	51	60
132	killlnpc	2000	61	70
133	killlnpc	2000	61	70
134	killlnpc	2000	61	70
135	killlnpc	2000	71	80
136	killlnpc	2000	71	80
137	killlnpc	2000	71	80
138	killlnpc	2000	81	90
139	killlnpc	2000	81	90
140	killlnpc	2000	81	90
141	killlnpc	2000	81	90
142	killlnpc	2000	91	100
143	killlnpc	2000	91	100
144	killlnpc	2000	91	100
145	killlnpc	2000	91	100
146	killlnpc	2000	101	200
147	killlnpc	2000	101	200
148	killlnpc	2000	101	200
149	killlnpc	2000	101	200
