nTaskId	szFilterType	FilterParam	nDifficulty	nWeight	nAwardKey	nItemTemplateId	nIconId	nItemType	nItemLevel	nCount	szItemName	nWay1Id	nWay2Id
1	level	0|200	1	280	1	1049	403	-1	1	1	<i18n=13071>	1	20
2	level	0|200	1	200	1	1050	401	-1	1	1	<i18n=1244>	2	20
3	level	0|200	1	280	1	1051	404	-1	1	2	<i18n=5943>	3	20
4	level	0|200	1	280	1	1052	405	-1	1	2	<i18n=1868>	3	20
5	level	0|200	1	280	1	1053	406	-1	1	1	<i18n=10922>	3	20
6	level	49|200	10	100	10	1054	407	-1	1	1	<i18n=6819>	3	20
7	level	0|200	1	470	1	1055	413	-1	1	2	<i18n=5931>	5	0
8	level	0|200	1	470	1	1056	411	-1	1	2	<i18n=11239>	6	0
9	level	0|200	1	470	1	1057	412	-1	1	2	<i18n=8012>	7	0
10	level	0|200	10	100	10	1058	409	-1	1	2	<i18n=13027>	8	0
11	level	0|200	1	470	1	1059	408	-1	1	1	<i18n=7108>	9	0
12	level	0|200	10	100	10	1060	410	-1	1	1	<i18n=10384>	10	0
13	level	1|19	1	25	1	136	124	-1	1	1	<i18n=7178>	13	21
14	level	20|39	1	25	1	136	124	-1	1	1	<i18n=7178>	13	21
15	level	40|49	1	25	1	136	124	-1	1	1	<i18n=7178>	13	21
16	level	50|59	1	25	1	136	124	-1	1	2	<i18n=7178>	13	21
17	level	60|69	1	25	1	136	124	-1	1	2	<i18n=7178>	13	21
18	level	70|79	1	25	1	136	124	-1	1	3	<i18n=7178>	13	21
19	level	80|89	1	25	1	136	124	-1	1	3	<i18n=7178>	13	21
20	level	90|99	1	25	1	136	124	-1	1	4	<i18n=7178>	13	21
21	level	100|109	1	25	1	136	124	-1	1	4	<i18n=7178>	13	21
22	level	110|199	1	25	1	136	124	-1	1	5	<i18n=7178>	13	21
23	level	0|29	1	25	1	146	116	-1	1	1	<i18n=1571>	14	22
24	level	30|44	1	25	1	146	116	-1	1	1	<i18n=1571>	14	22
25	level	45|54	1	25	1	146	116	-1	1	1	<i18n=1571>	14	22
26	level	55|64	1	25	1	146	116	-1	1	2	<i18n=1571>	14	22
27	level	65|74	1	25	1	146	116	-1	1	2	<i18n=1571>	14	22
28	level	75|84	1	25	1	146	116	-1	1	3	<i18n=1571>	14	22
29	level	85|94	1	25	1	146	116	-1	1	3	<i18n=1571>	14	22
30	level	95|104	1	25	1	146	116	-1	1	4	<i18n=1571>	14	22
31	level	105|114	1	25	1	146	116	-1	1	4	<i18n=1571>	14	22
32	level	115|199	1	25	1	146	116	-1	1	5	<i18n=1571>	14	22
33	level	4|23	1	100	1	156	130	-1	1	1	<i18n=9046>	4	23
34	level	24|41	1	100	1	156	130	-1	1	1	<i18n=9046>	4	23
35	level	42|51	1	100	1	156	130	-1	1	1	<i18n=9046>	4	23
36	level	52|61	1	100	1	156	130	-1	1	2	<i18n=9046>	4	23
37	level	62|71	1	100	1	156	130	-1	1	2	<i18n=9046>	4	23
38	level	72|81	1	100	1	156	130	-1	1	3	<i18n=9046>	4	23
39	level	82|91	1	100	1	156	130	-1	1	3	<i18n=9046>	4	23
40	level	92|101	1	100	1	156	130	-1	1	4	<i18n=9046>	4	23
41	level	102|111	1	100	1	156	130	-1	1	4	<i18n=9046>	4	23
42	level	112|199	1	100	1	156	130	-1	1	5	<i18n=9046>	4	23
43	level	2|21	1	100	1	166	127	-1	1	1	<i18n=1283>	12	24
44	level	22|40	1	100	1	166	127	-1	1	1	<i18n=1283>	12	24
45	level	41|50	1	100	1	166	127	-1	1	1	<i18n=1283>	12	24
46	level	51|60	1	100	1	166	127	-1	1	2	<i18n=1283>	12	24
47	level	61|70	1	100	1	166	127	-1	1	2	<i18n=1283>	12	24
48	level	71|80	1	100	1	166	127	-1	1	3	<i18n=1283>	12	24
49	level	81|90	1	100	1	166	127	-1	1	3	<i18n=1283>	12	24
50	level	91|100	1	100	1	166	127	-1	1	4	<i18n=1283>	12	24
51	level	101|110	1	100	1	166	127	-1	1	4	<i18n=1283>	12	24
52	level	111|199	1	100	1	166	127	-1	1	5	<i18n=1283>	12	24
53	level	0|200	20	50	1	1061	20349	-1	1	1	<i18n=914>	11	0
54	level	0|200	10	50	10	1062	20349	-1	1	1	<i18n=9328>	16	0
55	level	0|200	10	50	10	1063	20349	-1	1	1	<i18n=51>	17	0
56	level	0|200	10	50	10	1064	20349	-1	1	1	<i18n=9165>	18	0
57	level	0|200	20	50	1	1064	20349	-1	1	1	<i18n=9165>	18	0
58	level	49|200	11	100	11	1054	407	-1	1	1	<i18n=6819>	3	20
59	level	0|200	11	100	11	1058	409	-1	1	2	<i18n=13027>	8	0
60	level	0|200	11	100	11	1060	410	-1	1	1	<i18n=10384>	10	0
61	level	0|200	11	50	11	1063	20349	-1	1	1	<i18n=51>	17	0
62	level	0|200	11	50	11	1064	20349	-1	1	1	<i18n=9165>	18	0
63	level	49|200	12	100	12	1054	407	-1	1	1	<i18n=6819>	3	20
64	level	0|200	12	100	12	1058	409	-1	1	2	<i18n=13027>	8	0
65	level	0|200	12	100	12	1060	410	-1	1	1	<i18n=10384>	10	0
66	level	0|200	12	50	12	1063	20349	-1	1	1	<i18n=51>	17	0
67	level	0|200	12	50	12	1064	20349	-1	1	1	<i18n=9165>	18	0
68	level	49|200	13	100	13	1054	407	-1	1	1	<i18n=6819>	3	20
69	level	0|200	13	100	13	1058	409	-1	1	2	<i18n=13027>	8	0
70	level	0|200	13	100	13	1060	410	-1	1	1	<i18n=10384>	10	0
71	level	0|200	13	50	13	1063	20349	-1	1	1	<i18n=51>	17	0
72	level	0|200	13	50	13	1064	20349	-1	1	1	<i18n=9165>	18	0
