nLevel	szAward1	szAward2	szAward3	szAward4	szAward5	szAward6	szAward7	szAward8	szAward9	szAward10
1	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
2	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
3	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
4	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
5	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
6	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
7	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
8	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
9	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
10	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
11	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
12	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
13	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
14	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
15	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
16	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
17	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
18	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
19	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
20	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
21	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
22	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
23	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
24	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
25	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
26	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
27	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
28	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
29	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
30	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
31	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
32	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
33	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
34	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
35	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
36	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
37	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
38	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
39	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
40	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
41	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
42	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
43	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
44	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
