Key	AwardType	AwardSubType	Count	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut
1	Item	207	20			1	1
1	Item	401	20			1	1
1	Coin		10000			1	1
2	KinContrib		300			1	1
2	Item	102	10			1	1
2	Item	3001	50			1	1
3	Item	201	20			1	1
3	Item	2005	10			1	1
3	Item	3002	10			1	1
4	Item	31001	6			1	1
4	Item	30037	2			1	1
4	Item	3006	2			1	1
5	Item	209	10			1	1
5	Item	202	10			1	1
5	Item	901	150			1	1
6	Item	324	2			1	1
6	Item	407	2			1	1
6	Item	402	2			1	1
7	Item	31000	10			1	1
7	Item	404	2			1	1
7	Item	211	2			1	1
8	YuanBao		65			1	1
9	YuanBao		650			1	1
10	YuanBao		1500			1	1
11	YuanBao		7800			1	1
12	Item	650094	1			1	1
13	Item	650095	1			1	1
14	Item	650096	1			1	1
15	Item	650097	1			1	1
16	Item	650098	1			1	1
17	Item	650099	1			1	1
18	Item	650100	1			1	1
19	YuanBao		65			1	1
20	YuanBao		650			1	1
21	YuanBao		1500			1	1
22	YuanBao		7800			1	1
