nSkillID	nLevel	nCoin	nFightPower	nKinContrib	tbAttr
1	1	6000	30	900	{{"metal_resist_v",1,0,0}}
1	2	6000	60	900	{{"metal_resist_v",2,0,0}}
1	3	6000	90	900	{{"metal_resist_v",3,0,0}}
1	4	6000	120	900	{{"metal_resist_v",4,0,0}}
1	5	6000	150	900	{{"metal_resist_v",5,0,0}}
1	6	6000	180	900	{{"metal_resist_v",6,0,0}}
1	7	6000	210	900	{{"metal_resist_v",7,0,0}}
1	8	6000	240	900	{{"metal_resist_v",8,0,0}}
1	9	6000	270	900	{{"metal_resist_v",9,0,0}}
1	10	6000	300	900	{{"metal_resist_v",10,0,0}}
1	11	8000	340	1200	{{"metal_resist_v",11,0,0}}
1	12	8000	380	1200	{{"metal_resist_v",12,0,0}}
1	13	8000	420	1200	{{"metal_resist_v",13,0,0}}
1	14	8000	460	1200	{{"metal_resist_v",14,0,0}}
1	15	8000	500	1200	{{"metal_resist_v",15,0,0}}
1	16	8000	540	1200	{{"metal_resist_v",16,0,0}}
1	17	8000	580	1200	{{"metal_resist_v",17,0,0}}
1	18	8000	620	1200	{{"metal_resist_v",18,0,0}}
1	19	8000	660	1200	{{"metal_resist_v",19,0,0}}
1	20	8000	700	1200	{{"metal_resist_v",20,0,0}}
1	21	12000	760	1800	{{"metal_resist_v",28,0,0}}
1	22	12000	820	1800	{{"metal_resist_v",36,0,0}}
1	23	12000	880	1800	{{"metal_resist_v",44,0,0}}
1	24	12000	940	1800	{{"metal_resist_v",52,0,0}}
1	25	12000	1000	1800	{{"metal_resist_v",60,0,0}}
1	26	12000	1060	1800	{{"metal_resist_v",68,0,0}}
1	27	12000	1120	1800	{{"metal_resist_v",76,0,0}}
1	28	12000	1180	1800	{{"metal_resist_v",84,0,0}}
1	29	12000	1240	1800	{{"metal_resist_v",92,0,0}}
1	30	12000	1300	1800	{{"metal_resist_v",100,0,0}}
1	31	20000	1400	3000	{{"metal_resist_v",109,0,0}}
1	32	20000	1500	3000	{{"metal_resist_v",118,0,0}}
1	33	20000	1600	3000	{{"metal_resist_v",127,0,0}}
1	34	20000	1700	3000	{{"metal_resist_v",136,0,0}}
1	35	20000	1800	3000	{{"metal_resist_v",145,0,0}}
1	36	20000	1900	3000	{{"metal_resist_v",154,0,0}}
1	37	20000	2000	3000	{{"metal_resist_v",163,0,0}}
1	38	20000	2100	3000	{{"metal_resist_v",172,0,0}}
1	39	20000	2200	3000	{{"metal_resist_v",181,0,0}}
1	40	20000	2300	3000	{{"metal_resist_v",190,0,0}}
1	41	32000	2460	4800	{{"metal_resist_v",205,0,0}}
1	42	32000	2620	4800	{{"metal_resist_v",220,0,0}}
1	43	32000	2780	4800	{{"metal_resist_v",235,0,0}}
1	44	32000	2940	4800	{{"metal_resist_v",250,0,0}}
1	45	32000	3100	4800	{{"metal_resist_v",265,0,0}}
1	46	32000	3260	4800	{{"metal_resist_v",280,0,0}}
1	47	32000	3420	4800	{{"metal_resist_v",295,0,0}}
1	48	32000	3580	4800	{{"metal_resist_v",310,0,0}}
1	49	32000	3740	4800	{{"metal_resist_v",325,0,0}}
1	50	32000	3900	4800	{{"metal_resist_v",340,0,0}}
1	51	40000	4100	6000	{{"metal_resist_v",352,0,0}}
1	52	40000	4300	6000	{{"metal_resist_v",364,0,0}}
1	53	40000	4500	6000	{{"metal_resist_v",376,0,0}}
1	54	40000	4700	6000	{{"metal_resist_v",388,0,0}}
1	55	40000	4900	6000	{{"metal_resist_v",400,0,0}}
1	56	40000	5100	6000	{{"metal_resist_v",412,0,0}}
1	57	40000	5300	6000	{{"metal_resist_v",424,0,0}}
1	58	40000	5500	6000	{{"metal_resist_v",436,0,0}}
1	59	40000	5700	6000	{{"metal_resist_v",448,0,0}}
1	60	40000	5900	6000	{{"metal_resist_v",460,0,0}}
1	61	40000	6100	6000	{{"metal_resist_v",472,0,0}}
1	62	40000	6300	6000	{{"metal_resist_v",484,0,0}}
1	63	40000	6500	6000	{{"metal_resist_v",496,0,0}}
1	64	40000	6700	6000	{{"metal_resist_v",508,0,0}}
1	65	40000	6900	6000	{{"metal_resist_v",520,0,0}}
1	66	40000	7100	6000	{{"metal_resist_v",532,0,0}}
1	67	40000	7300	6000	{{"metal_resist_v",544,0,0}}
1	68	40000	7500	6000	{{"metal_resist_v",556,0,0}}
1	69	40000	7700	6000	{{"metal_resist_v",568,0,0}}
1	70	40000	7900	6000	{{"metal_resist_v",580,0,0}}
1	71	40000	8100	6000	{{"metal_resist_v",592,0,0}}
1	72	40000	8300	6000	{{"metal_resist_v",604,0,0}}
1	73	40000	8500	6000	{{"metal_resist_v",616,0,0}}
1	74	40000	8700	6000	{{"metal_resist_v",628,0,0}}
1	75	40000	8900	6000	{{"metal_resist_v",640,0,0}}
1	76	40000	9100	6000	{{"metal_resist_v",652,0,0}}
1	77	40000	9300	6000	{{"metal_resist_v",664,0,0}}
1	78	40000	9500	6000	{{"metal_resist_v",676,0,0}}
1	79	40000	9700	6000	{{"metal_resist_v",688,0,0}}
1	80	40000	9900	6000	{{"metal_resist_v",700,0,0}}
1	81	40000	10100	6000	{{"metal_resist_v",712,0,0}}
1	82	40000	10300	6000	{{"metal_resist_v",724,0,0}}
1	83	40000	10500	6000	{{"metal_resist_v",736,0,0}}
1	84	40000	10700	6000	{{"metal_resist_v",748,0,0}}
1	85	40000	10900	6000	{{"metal_resist_v",760,0,0}}
1	86	40000	11100	6000	{{"metal_resist_v",772,0,0}}
1	87	40000	11300	6000	{{"metal_resist_v",784,0,0}}
1	88	40000	11500	6000	{{"metal_resist_v",796,0,0}}
1	89	40000	11700	6000	{{"metal_resist_v",808,0,0}}
1	90	40000	11900	6000	{{"metal_resist_v",820,0,0}}
1	91	40000	12100	6000	{{"metal_resist_v",832,0,0}}
1	92	40000	12300	6000	{{"metal_resist_v",844,0,0}}
1	93	40000	12500	6000	{{"metal_resist_v",856,0,0}}
1	94	40000	12700	6000	{{"metal_resist_v",868,0,0}}
1	95	40000	12900	6000	{{"metal_resist_v",880,0,0}}
1	96	40000	13100	6000	{{"metal_resist_v",892,0,0}}
1	97	40000	13300	6000	{{"metal_resist_v",904,0,0}}
1	98	40000	13500	6000	{{"metal_resist_v",916,0,0}}
1	99	40000	13700	6000	{{"metal_resist_v",928,0,0}}
1	100	40000	13900	6000	{{"metal_resist_v",940,0,0}}
1	101	40000	14100	6000	{{"metal_resist_v",952,0,0}}
1	102	40000	14300	6000	{{"metal_resist_v",964,0,0}}
1	103	40000	14500	6000	{{"metal_resist_v",976,0,0}}
1	104	40000	14700	6000	{{"metal_resist_v",988,0,0}}
1	105	40000	14900	6000	{{"metal_resist_v",1000,0,0}}
1	106	40000	15100	6000	{{"metal_resist_v",1012,0,0}}
1	107	40000	15300	6000	{{"metal_resist_v",1024,0,0}}
1	108	40000	15500	6000	{{"metal_resist_v",1036,0,0}}
1	109	40000	15700	6000	{{"metal_resist_v",1048,0,0}}
1	110	40000	15900	6000	{{"metal_resist_v",1060,0,0}}
1	111	40000	16100	6000	{{"metal_resist_v",1072,0,0}}
1	112	40000	16300	6000	{{"metal_resist_v",1084,0,0}}
1	113	40000	16500	6000	{{"metal_resist_v",1096,0,0}}
1	114	40000	16700	6000	{{"metal_resist_v",1108,0,0}}
1	115	40000	16900	6000	{{"metal_resist_v",1120,0,0}}
1	116	40000	17100	6000	{{"metal_resist_v",1132,0,0}}
1	117	40000	17300	6000	{{"metal_resist_v",1144,0,0}}
1	118	40000	17500	6000	{{"metal_resist_v",1156,0,0}}
1	119	40000	17700	6000	{{"metal_resist_v",1168,0,0}}
1	120	40000	17900	6000	{{"metal_resist_v",1180,0,0}}
1	121	40000	18100	6000	{{"metal_resist_v",1192,0,0}}
1	122	40000	18300	6000	{{"metal_resist_v",1204,0,0}}
1	123	40000	18500	6000	{{"metal_resist_v",1216,0,0}}
1	124	40000	18700	6000	{{"metal_resist_v",1228,0,0}}
1	125	40000	18900	6000	{{"metal_resist_v",1240,0,0}}
1	126	40000	19100	6000	{{"metal_resist_v",1252,0,0}}
1	127	40000	19300	6000	{{"metal_resist_v",1264,0,0}}
1	128	40000	19500	6000	{{"metal_resist_v",1276,0,0}}
1	129	40000	19700	6000	{{"metal_resist_v",1288,0,0}}
1	130	40000	19900	6000	{{"metal_resist_v",1300,0,0}}
1	131	40000	20100	6000	{{"metal_resist_v",1312,0,0}}
1	132	40000	20300	6000	{{"metal_resist_v",1324,0,0}}
1	133	40000	20500	6000	{{"metal_resist_v",1336,0,0}}
1	134	40000	20700	6000	{{"metal_resist_v",1348,0,0}}
1	135	40000	20900	6000	{{"metal_resist_v",1360,0,0}}
1	136	40000	21100	6000	{{"metal_resist_v",1372,0,0}}
1	137	40000	21300	6000	{{"metal_resist_v",1384,0,0}}
1	138	40000	21500	6000	{{"metal_resist_v",1396,0,0}}
1	139	40000	21700	6000	{{"metal_resist_v",1408,0,0}}
1	140	40000	21900	6000	{{"metal_resist_v",1420,0,0}}
1	141	40000	22100	6000	{{"metal_resist_v",1432,0,0}}
1	142	40000	22300	6000	{{"metal_resist_v",1444,0,0}}
1	143	40000	22500	6000	{{"metal_resist_v",1456,0,0}}
1	144	40000	22700	6000	{{"metal_resist_v",1468,0,0}}
1	145	40000	22900	6000	{{"metal_resist_v",1480,0,0}}
1	146	40000	23100	6000	{{"metal_resist_v",1492,0,0}}
1	147	40000	23300	6000	{{"metal_resist_v",1504,0,0}}
1	148	40000	23500	6000	{{"metal_resist_v",1516,0,0}}
1	149	40000	23700	6000	{{"metal_resist_v",1528,0,0}}
1	150	40000	23900	6000	{{"metal_resist_v",1540,0,0}}
1	151	40000	24100	6000	{{"metal_resist_v",1552,0,0}}
1	152	40000	24300	6000	{{"metal_resist_v",1564,0,0}}
1	153	40000	24500	6000	{{"metal_resist_v",1576,0,0}}
1	154	40000	24700	6000	{{"metal_resist_v",1588,0,0}}
1	155	40000	24900	6000	{{"metal_resist_v",1600,0,0}}
1	156	40000	25100	6000	{{"metal_resist_v",1612,0,0}}
1	157	40000	25300	6000	{{"metal_resist_v",1624,0,0}}
1	158	40000	25500	6000	{{"metal_resist_v",1636,0,0}}
1	159	40000	25700	6000	{{"metal_resist_v",1648,0,0}}
1	160	40000	25900	6000	{{"metal_resist_v",1660,0,0}}
1	161	40000	26100	6000	{{"metal_resist_v",1672,0,0}}
1	162	40000	26300	6000	{{"metal_resist_v",1684,0,0}}
1	163	40000	26500	6000	{{"metal_resist_v",1696,0,0}}
1	164	40000	26700	6000	{{"metal_resist_v",1708,0,0}}
1	165	40000	26900	6000	{{"metal_resist_v",1720,0,0}}
1	166	40000	27100	6000	{{"metal_resist_v",1732,0,0}}
1	167	40000	27300	6000	{{"metal_resist_v",1744,0,0}}
1	168	40000	27500	6000	{{"metal_resist_v",1756,0,0}}
1	169	40000	27700	6000	{{"metal_resist_v",1768,0,0}}
1	170	40000	27900	6000	{{"metal_resist_v",1780,0,0}}
1	171	40000	28100	6000	{{"metal_resist_v",1792,0,0}}
1	172	40000	28300	6000	{{"metal_resist_v",1804,0,0}}
1	173	40000	28500	6000	{{"metal_resist_v",1816,0,0}}
1	174	40000	28700	6000	{{"metal_resist_v",1828,0,0}}
1	175	40000	28900	6000	{{"metal_resist_v",1840,0,0}}
1	176	40000	29100	6000	{{"metal_resist_v",1852,0,0}}
1	177	40000	29300	6000	{{"metal_resist_v",1864,0,0}}
1	178	40000	29500	6000	{{"metal_resist_v",1876,0,0}}
1	179	40000	29700	6000	{{"metal_resist_v",1888,0,0}}
1	180	40000	29900	6000	{{"metal_resist_v",1900,0,0}}
1	181	40000	30100	6000	{{"metal_resist_v",1912,0,0}}
1	182	40000	30300	6000	{{"metal_resist_v",1924,0,0}}
1	183	40000	30500	6000	{{"metal_resist_v",1936,0,0}}
1	184	40000	30700	6000	{{"metal_resist_v",1948,0,0}}
1	185	40000	30900	6000	{{"metal_resist_v",1960,0,0}}
1	186	40000	31100	6000	{{"metal_resist_v",1972,0,0}}
1	187	40000	31300	6000	{{"metal_resist_v",1984,0,0}}
