nSkillID	nSortInUI	szName	szDesc	szIconAtlas	nSaveKeyIndex	nRedPointLevel
1	6	<i18n=827>	<i18n=4269>	UI/icon/skill/wuxingwuxiang_fushi.png	1	5
2	7	<i18n=13792>	<i18n=6958>	UI/icon/skill/wuxingwuxiang_zhuchan.png	2	5
3	8	<i18n=14550>	<i18n=10695>	UI/icon/skill/wuxingwuxiang_nishui.png	3	5
4	9	<i18n=15880>	<i18n=4114>	UI/icon/skill/wuxingwuxiang_yueguang.png	4	5
5	10	<i18n=3775>	<i18n=1787>	UI/icon/skill/wuxingwuxiang_jumu.png	5	5
6	5	<i18n=15507>	<i18n=512>	UI/icon/skill/yishouyinyang_han.png	6	5
7	3	<i18n=3458>	<i18n=9579>	UI/icon/skill/zhuiyingjue.png	7	1
8	4	<i18n=3289>	<i18n=13672>	UI/icon/skill/tabumizong.png	8	1
9	1	<i18n=2629>	<i18n=2733>	UI/icon/skill/pokongzhanying.png	9	1
10	2	<i18n=4923>	<i18n=4424>	UI/icon/skill/poxieshihun.png	10	1
