Type	PosX	PosY
PILLAR_1	79269	147301
SOLDIER	80624	147616
SOLDIER	80590	145512
SOLDIER	78788	145694
SOLDIER	77412	147576
SOLDIER	78475	149411
SOLDIER	80050	149596
OFFICER	79891	146526
OFFICER	78445	146834
OFFICER	79330	148506
PILLAR_2	85124	118571
SOLDIER	86520	118697
SOLDIER	85738	116673
SOLDIER	84480	116617
SOLDIER	83343	118345
SOLDIER	84261	120642
SOLDIER	85842	120863
OFFICER	85636	117760
OFFICER	84231	117864
OFFICER	85129	119815
PILLAR_3	54241	116102
SOLDIER	55913	116518
SOLDIER	55518	114392
SOLDIER	53798	114824
SOLDIER	52732	116942
SOLDIER	53793	118221
SOLDIER	55262	118439
OFFICER	54946	115519
OFFICER	53437	115962
OFFICER	54458	117253
PILLAR_4	48747	145845
SOLDIER	50200	146051
SOLDIER	49575	143776
SOLDIER	47760	144490
SOLDIER	46888	146563
SOLDIER	48295	147970
SOLDIER	49761	148083
OFFICER	49253	144943
OFFICER	47670	145711
OFFICER	49032	147011
PILLAR_5	68099	128146
SOLDIER	69523	128393
SOLDIER	68781	125583
SOLDIER	67223	126457
SOLDIER	65984	128525
SOLDIER	67318	130227
SOLDIER	69085	130645
OFFICER	68788	127187
OFFICER	66940	127765
OFFICER	68291	129257
ADMIRAL	67587	128912
FRONT_2	91024	145709
FRONT_1	62073	157824
