Level	ShopType	Pool	Count1	Prob1	Count2	Prob2
1	DrugShop	1	8			
1	DrugShop	2	10			
1	DrugShop	3	10			
2	DrugShop	1	8			
2	DrugShop	2	10			
2	DrugShop	3	10			
2	DrugShop	4	2			
3	DrugShop	1	8			
3	DrugShop	2	10			
3	DrugShop	3	10			
3	DrugShop	4	2			
3	DrugShop	5	2			
3	DrugShop	6	1			
3	DrugShop	7	1			
4	DrugShop	1	8			
4	DrugShop	4	3			
4	DrugShop	3	20			
4	DrugShop	5	4			
4	DrugShop	6	1			
4	DrugShop	7	2			
5	DrugShop	1	8			
5	DrugShop	4	3			
5	DrugShop	3	20			
5	DrugShop	5	4			
5	DrugShop	6	1			
5	DrugShop	7	2			
6	DrugShop	1	8			
6	DrugShop	4	5			
6	DrugShop	3	30			
6	DrugShop	5	5			
6	DrugShop	6	1			
6	DrugShop	7	3			
7	DrugShop	1	8			
7	DrugShop	4	5			
7	DrugShop	3	30			
7	DrugShop	5	5			
7	DrugShop	6	1			
7	DrugShop	7	3			
8	DrugShop	1	8			
8	DrugShop	8	1			
8	DrugShop	3	50			
8	DrugShop	9	5			
8	DrugShop	10	1			
8	DrugShop	7	5			
9	DrugShop	1	8			
9	DrugShop	8	1			
9	DrugShop	3	50			
9	DrugShop	9	5			
9	DrugShop	10	1			
9	DrugShop	7	5			
10	DrugShop	1	8			
10	DrugShop	8	1			
10	DrugShop	3	50			
10	DrugShop	9	5			
10	DrugShop	10	1			
10	DrugShop	7	5			
11	DrugShop	1	8			
11	DrugShop	8	1			
11	DrugShop	3	50			
11	DrugShop	9	5			
11	DrugShop	10	1			
11	DrugShop	7	5			
12	DrugShop	1	8			
12	DrugShop	8	1			
12	DrugShop	3	50			
12	DrugShop	9	5			
12	DrugShop	10	1			
12	DrugShop	7	5			
13	DrugShop	1	8			
13	DrugShop	8	1			
13	DrugShop	3	50			
13	DrugShop	9	5			
13	DrugShop	10	1			
13	DrugShop	7	5			
14	DrugShop	1	8			
14	DrugShop	8	1			
14	DrugShop	3	50			
14	DrugShop	9	5			
14	DrugShop	10	1			
14	DrugShop	7	5			
15	DrugShop	1	8			
15	DrugShop	8	1			
15	DrugShop	3	50			
15	DrugShop	9	5			
15	DrugShop	10	1			
15	DrugShop	7	5			
16	DrugShop	1	8			
16	DrugShop	8	1			
16	DrugShop	3	50			
16	DrugShop	9	5			
16	DrugShop	10	1			
16	DrugShop	7	5			
17	DrugShop	1	8			
17	DrugShop	8	1			
17	DrugShop	3	50			
17	DrugShop	9	5			
17	DrugShop	10	1			
17	DrugShop	7	5			
18	DrugShop	1	8			
18	DrugShop	8	1			
18	DrugShop	3	50			
18	DrugShop	9	5			
18	DrugShop	10	1			
18	DrugShop	7	5			
19	DrugShop	1	8			
19	DrugShop	8	1			
19	DrugShop	3	50			
19	DrugShop	9	5			
19	DrugShop	10	1			
19	DrugShop	7	5			
20	DrugShop	1	8			
20	DrugShop	8	1			
20	DrugShop	3	50			
20	DrugShop	9	5			
20	DrugShop	10	1			
20	DrugShop	7	5			
21	DrugShop	1	8			
21	DrugShop	8	1			
21	DrugShop	3	50			
21	DrugShop	9	5			
21	DrugShop	10	1			
21	DrugShop	7	5			
22	DrugShop	1	8			
22	DrugShop	8	1			
22	DrugShop	3	50			
22	DrugShop	9	5			
22	DrugShop	10	1			
22	DrugShop	7	5			
23	DrugShop	1	8			
23	DrugShop	8	1			
23	DrugShop	3	50			
23	DrugShop	9	5			
23	DrugShop	10	1			
23	DrugShop	7	5			
24	DrugShop	1	8			
24	DrugShop	8	1			
24	DrugShop	3	50			
24	DrugShop	9	5			
24	DrugShop	10	1			
24	DrugShop	7	5			
25	DrugShop	1	8			
25	DrugShop	8	1			
25	DrugShop	3	50			
25	DrugShop	9	5			
25	DrugShop	10	1			
25	DrugShop	7	5			
26	DrugShop	1	8			
26	DrugShop	8	1			
26	DrugShop	3	50			
26	DrugShop	9	5			
26	DrugShop	10	1			
26	DrugShop	7	5			
27	DrugShop	1	8			
27	DrugShop	8	1			
27	DrugShop	3	50			
27	DrugShop	9	5			
27	DrugShop	10	1			
27	DrugShop	7	5			
28	DrugShop	1	8			
28	DrugShop	8	1			
28	DrugShop	3	50			
28	DrugShop	9	5			
28	DrugShop	10	1			
28	DrugShop	7	5			
