nWareId	nSort	Level	Pool	Count	Discount	TimeFrame	HotTip	MinLevel
415	1	1	2					1
416	6	1	3					1
417	15	1	1					1
418	16	1	1					1
419	17	1	1					1
420	18	1	1					1
421	19	1	1					1
422	20	1	1					1
423	21	1	1					1
424	22	1	1					1
425	23	1	1					1
426	24	1	1					1
427	25	1	1					1
428	26	1	1					1
429	27	1	1					1
430	28	1	1					1
431	29	1	1					1
432	30	1	1					1
433	31	1	1					1
434	32	1	1					1
435	33	1	1					1
436	34	1	1					1
415	1	2	2					1
416	6	2	3					1
417	15	2	1					1
418	16	2	1					1
419	17	2	1					1
420	18	2	1					1
421	19	2	1					1
422	20	2	1					1
423	21	2	1					1
424	22	2	1					1
425	23	2	1					1
426	24	2	1					1
427	25	2	1					1
428	26	2	1					1
429	27	2	1					1
430	28	2	1					1
431	29	2	1					1
432	30	2	1					1
433	31	2	1					1
434	32	2	1					1
435	33	2	1					1
436	34	2	1					1
437	2	2	4					1
415	1	3	2					1
416	6	3	3					1
417	15	3	1					1
418	16	3	1					1
419	17	3	1					1
420	18	3	1					1
421	19	3	1					1
422	20	3	1					1
423	21	3	1					1
424	22	3	1					1
425	23	3	1					1
426	24	3	1					1
427	25	3	1					1
428	26	3	1					1
429	27	3	1					1
430	28	3	1					1
431	29	3	1					1
432	30	3	1					1
433	31	3	1					1
434	32	3	1					1
435	33	3	1					1
436	34	3	1					1
437	2	3	4					1
438	7	3	5					1
439	10	3	6					1
440	13	3	7					1
416	6	4	3					1
417	15	4	1					1
418	16	4	1					1
419	17	4	1					1
420	18	4	1					1
421	19	4	1					1
422	20	4	1					1
423	21	4	1					1
424	22	4	1					1
425	23	4	1					1
426	24	4	1					1
427	25	4	1					1
428	26	4	1					1
429	27	4	1					1
430	28	4	1					1
431	29	4	1					1
432	30	4	1					1
433	31	4	1					1
434	32	4	1					1
435	33	4	1					1
436	34	4	1					1
437	2	4	4					1
438	7	4	5					1
439	10	4	6					1
440	13	4	7					1
416	6	5	3					1
417	15	5	1					1
418	16	5	1					1
419	17	5	1					1
420	18	5	1					1
421	19	5	1					1
422	20	5	1					1
423	21	5	1					1
424	22	5	1					1
425	23	5	1					1
426	24	5	1					1
427	25	5	1					1
428	26	5	1					1
429	27	5	1					1
430	28	5	1					1
431	29	5	1					1
432	30	5	1					1
433	31	5	1					1
434	32	5	1					1
435	33	5	1					1
436	34	5	1					1
437	2	5	4					1
438	7	5	5					1
439	10	5	6					1
440	13	5	7					1
416	6	6	3					1
417	15	6	1					1
418	16	6	1					1
419	17	6	1					1
420	18	6	1					1
421	19	6	1					1
422	20	6	1					1
423	21	6	1					1
424	22	6	1					1
425	23	6	1					1
426	24	6	1					1
427	25	6	1					1
428	26	6	1					1
429	27	6	1					1
430	28	6	1					1
431	29	6	1					1
432	30	6	1					1
433	31	6	1					1
434	32	6	1					1
435	33	6	1					1
436	34	6	1					1
437	2	6	4					1
438	7	6	5					1
439	10	6	6					1
440	13	6	7					1
416	6	7	3					1
417	15	7	1					1
418	16	7	1					1
419	17	7	1					1
420	18	7	1					1
421	19	7	1					1
422	20	7	1					1
423	21	7	1					1
424	22	7	1					1
425	23	7	1					1
426	24	7	1					1
427	25	7	1					1
428	26	7	1					1
429	27	7	1					1
430	28	7	1					1
431	29	7	1					1
432	30	7	1					1
433	31	7	1					1
434	32	7	1					1
435	33	7	1					1
436	34	7	1					1
437	2	7	4					1
438	7	7	5					1
439	10	7	6					1
440	13	7	7					1
416	6	8	3					1
417	15	8	1					1
418	16	8	1					1
419	17	8	1					1
420	18	8	1					1
421	19	8	1					1
422	20	8	1					1
423	21	8	1					1
424	22	8	1					1
425	23	8	1					1
426	24	8	1					1
427	25	8	1					1
428	26	8	1					1
429	27	8	1					1
430	28	8	1					1
431	29	8	1					1
432	30	8	1					1
433	31	8	1					1
434	32	8	1					1
435	33	8	1					1
436	34	8	1					1
441	3	8	8					1
442	8	8	9					1
443	11	8	10					1
440	13	8	7					1
416	6	9	3					1
417	15	9	1					1
418	16	9	1					1
419	17	9	1					1
420	18	9	1					1
421	19	9	1					1
422	20	9	1					1
423	21	9	1					1
424	22	9	1					1
425	23	9	1					1
426	24	9	1					1
427	25	9	1					1
428	26	9	1					1
429	27	9	1					1
430	28	9	1					1
431	29	9	1					1
432	30	9	1					1
433	31	9	1					1
434	32	9	1					1
435	33	9	1					1
436	34	9	1					1
441	3	9	8					1
442	8	9	9					1
443	11	9	10					1
440	13	9	7					1
416	6	10	3					1
417	15	10	1					1
418	16	10	1					1
419	17	10	1					1
420	18	10	1					1
421	19	10	1					1
422	20	10	1					1
423	21	10	1					1
424	22	10	1					1
425	23	10	1					1
426	24	10	1					1
427	25	10	1					1
428	26	10	1					1
429	27	10	1					1
430	28	10	1					1
431	29	10	1					1
432	30	10	1					1
433	31	10	1					1
434	32	10	1					1
435	33	10	1					1
436	34	10	1					1
441	3	10	8					1
442	8	10	9					1
443	11	10	10					1
440	13	10	7					1
416	6	11	3					1
417	15	11	1					1
418	16	11	1					1
419	17	11	1					1
420	18	11	1					1
421	19	11	1					1
422	20	11	1					1
423	21	11	1					1
424	22	11	1					1
425	23	11	1					1
426	24	11	1					1
