nNpcId	nMapId	nWareId	nSort
12383		2242	1
12383		2243	2
12383		2244	3
12383		2245	4
12383		2246	5
12383		2247	6
12383		2248	7
12383		2249	8
12383		2250	9
12383		2251	10
12383		2491	11
12383		2492	12
12383		2493	13
12383		2494	14
12383		2495	15
12383		2496	16
12383		2256	17
12383		2258	18
12383		2259	19
12383		2260	20
12383		2261	21
10		75	1
10		76	2
10		77	3
10		78	4
10		79	5
10		80	6
10		81	7
10		82	8
10		83	9
10		84	10
14		85	1
14		86	2
14		87	3
14		88	4
14		89	5
14		90	6
14		91	7
14		92	8
14		93	9
14		94	10
12		95	1
12		96	2
12		97	3
12		98	4
12		99	5
12		100	6
12		101	7
12		102	8
12		103	9
12		104	10
11		105	1
11		106	2
11		107	3
11		108	4
11		109	5
11		110	6
11		111	7
11		112	8
11		113	9
11		114	10
21		381	1
21		382	2
21		383	3
21		384	4
21		385	5
21		386	6
21		387	7
21		388	8
9116	9	394	5
9116	11	395	5
9116	10	396	5
9116	16	397	5
7351		561	2
7351		562	3
7351		563	4
7351		564	1
11089		674	1
11089		602	2
11089		603	3
11089		604	4
11089		605	5
11089		606	6
11089		607	7
11089		608	8
11089		609	9
11089		610	10
11089		611	11
11089		612	12
11089		613	13
11090		675	1
11090		667	2
11090		614	3
11090		615	5
11090		616	7
11090		617	9
11090		618	11
11090		619	13
11090		620	15
11090		621	17
11090		622	19
11090		623	21
11090		624	23
11090		625	25
11090		677	4
11090		678	6
11090		679	8
11090		680	10
11090		681	12
11090		682	14
11090		683	16
11090		684	18
11090		685	20
11090		686	22
11090		687	24
11090		688	26
11091		676	1
11091		668	2
11091		626	3
11091		627	5
11091		628	7
11091		629	9
11091		630	11
11091		631	13
11091		632	15
11091		633	17
11091		634	19
11091		635	21
11091		636	23
11091		637	25
11091		689	4
11091		690	6
11091		691	8
11091		692	10
11091		693	12
11091		694	14
11091		695	16
11091		696	18
11091		697	20
11091		698	22
11091		699	24
11091		700	26
11092		2020	1
11092		669	2
11092		638	3
11092		639	5
11092		640	7
11092		641	9
11092		642	11
11092		643	13
11092		644	15
11092		645	17
11092		646	19
11092		647	21
11092		648	23
11092		649	25
11092		701	4
11092		702	6
11092		703	8
11092		704	10
11092		705	12
11092		706	14
11092		707	16
11092		708	18
11092		709	20
11092		710	22
11092		711	24
11092		712	26
11093		663	1
11093		664	2
11093		665	3
11093		666	4
11093		2018	5
11093		2019	6
11093		2787	7
11093		2788	8
11093		2789	9
11093		2790	10
11093		2791	11
11094		2021	1
11094		2022	2
11094		2023	3
11094		2024	4
11094		2025	5
11094		2026	6
11094		2027	7
11094		2028	8
11094		2029	9
11094		2030	10
11094		2031	11
11094		2032	12
11094		2033	13
11094		2034	14
11094		2035	15
11094		2036	16
11094		2037	17
11094		2038	18
11094		2039	19
11094		2040	20
11094		2041	21
11094		2042	22
11094		2043	23
11094		2044	24
11094		2045	25
11094		2046	26
11095		2792	1
11095		2047	2
11095		2048	3
11095		2049	4
11095		2050	5
11095		2051	6
11095		2052	7
11095		2053	8
11095		2054	9
11095		2055	10
11095		2056	11
11095		2057	12
11095		2058	13
11095		2059	14
11095		2060	15
11095		2061	16
11095		2062	17
11095		2063	18
11095		2064	19
11095		2065	20
11095		2066	21
11095		2067	22
11095		2068	23
11095		2069	24
11095		2070	25
11095		2071	26
11096		2793	1
11096		2794	2
11096		2795	3
11096		2796	4
11096		2797	5
11096		2798	6
11096		2799	7
11096		2800	8
11096		2801	9
11096		2802	10
11096		2803	11
11096		2804	12
11096		2805	13
11096		2806	14
11096		2807	15
11096		2808	16
11096		2809	17
11096		2810	18
11096		2811	19
11096		2812	20
11096		2813	21
11096		2814	22
11096		2815	23
11096		2816	24
11096		2817	25
11096		2818	26
11097		2819	1
11097		2820	2
11097		2821	3
11097		2822	4
