nNpcId	nSkillId	szDesc	szIconAltlas	nSortInUI	CastType
3493	10750	<i18n=32854>	UI/atlas/faction_8_0_0/yunlongji.png	1	3
3493	10751	<i18n=32847>	UI/atlas/faction_8_0_0/liehuoqingtian.png	2	1
3493	10752	<i18n=32826>	UI/atlas/faction_8_0_1/tianrenmaofa.png	3	0
3493	10753	<i18n=32838>	UI/atlas/faction_8_0_0/huanyingzhuihunqiang.png	4	1
3493	10749	<i18n=32859>	UI/icon/skill/DBxuanwo.png	5	0
3494	10745	<i18n=32857>	UI/icon/skill/tianren_mfjt.png	1	4
3494	10746	<i18n=32852>	UI/icon/skill/xuanmingxixing.png	2	2
3494	10747	<i18n=32837>	UI/atlas/faction_8_1_1/chikongmoyan.png	3	2
3494	10748	<i18n=32842>	UI/atlas/faction_8_1_1/tianrendaofa.png	4	2
3494	10749	<i18n=32859>	UI/icon/skill/DBxuanwo.png	5	0
