nDate	nTime	nArea	nRound
20251218	1955	1	1
20251218	1955	1	2
20251218	2030	1	3
20251218	2030	1	4
20251218	1955	2	1
20251218	1955	2	2
20251218	2030	2	3
20251218	2030	2	4
20251218	1955	3	1
20251218	1955	3	2
20251218	2030	3	3
20251218	2030	3	4
20251218	1955	4	1
20251218	1955	4	2
20251218	2030	4	3
20251218	2030	4	4
20251218	1955	5	1
20251218	1955	5	2
20251218	2030	5	3
20251218	2030	5	4
20251218	1955	6	1
20251218	1955	6	2
20251218	2030	6	3
20251218	2030	6	4
20251218	1955	7	1
20251218	1955	7	2
20251218	2030	7	3
20251218	2030	7	4
20251218	1955	8	1
20251218	1955	8	2
20251218	2030	8	3
20251218	2030	8	4
20251218	1955	9	1
20251218	1955	9	2
20251218	2030	9	3
20251218	2030	9	4
20251218	1955	10	1
20251218	1955	10	2
20251218	2030	10	3
20251218	2030	10	4
20251218	1955	11	1
20251218	1955	11	2
20251218	2030	11	3
20251218	2030	11	4
20251218	1955	12	1
20251218	1955	12	2
20251218	2030	12	3
20251218	2030	12	4
20251218	1955	13	1
20251218	1955	13	2
20251218	2030	13	3
20251218	2030	13	4
20251218	1955	14	1
20251218	1955	14	2
20251218	2030	14	3
20251218	2030	14	4
20251218	1955	15	1
20251218	1955	15	2
20251218	2030	15	3
20251218	2030	15	4
20251218	1955	16	1
20251218	1955	16	2
20251218	2030	16	3
20251218	2030	16	4
20251220	1955	1	5
20251220	1955	1	6
20251220	2030	1	7
20251220	2030	1	8
20251220	1955	2	5
20251220	1955	2	6
20251220	2030	2	7
20251220	2030	2	8
20251220	1955	3	5
20251220	1955	3	6
20251220	2030	3	7
20251220	2030	3	8
20251220	1955	4	5
20251220	1955	4	6
20251220	2030	4	7
20251220	2030	4	8
20251220	1955	5	5
20251220	1955	5	6
20251220	2030	5	7
20251220	2030	5	8
20251220	1955	6	5
20251220	1955	6	6
20251220	2030	6	7
20251220	2030	6	8
20251220	1955	7	5
20251220	1955	7	6
20251220	2030	7	7
20251220	2030	7	8
20251220	1955	8	5
20251220	1955	8	6
20251220	2030	8	7
20251220	2030	8	8
20251220	1955	9	5
20251220	1955	9	6
20251220	2030	9	7
20251220	2030	9	8
20251220	1955	10	5
20251220	1955	10	6
20251220	2030	10	7
20251220	2030	10	8
20251220	1955	11	5
20251220	1955	11	6
20251220	2030	11	7
20251220	2030	11	8
20251220	1955	12	5
20251220	1955	12	6
20251220	2030	12	7
20251220	2030	12	8
20251220	1955	13	5
20251220	1955	13	6
20251220	2030	13	7
20251220	2030	13	8
20251220	1955	14	5
20251220	1955	14	6
20251220	2030	14	7
20251220	2030	14	8
20251220	1955	15	5
20251220	1955	15	6
20251220	2030	15	7
20251220	2030	15	8
20251220	1955	16	5
20251220	1955	16	6
20251220	2030	16	7
20251220	2030	16	8
20251221	1955	1	9
20251221	1955	1	10
20251221	2030	1	11
20251221	2030	1	12
20251221	1955	2	9
20251221	1955	2	10
20251221	2030	2	11
20251221	2030	2	12
20251221	1955	3	9
20251221	1955	3	10
20251221	2030	3	11
20251221	2030	3	12
20251221	1955	4	9
20251221	1955	4	10
20251221	2030	4	11
20251221	2030	4	12
20251221	1955	5	9
20251221	1955	5	10
20251221	2030	5	11
20251221	2030	5	12
20251221	1955	6	9
20251221	1955	6	10
20251221	2030	6	11
20251221	2030	6	12
20251221	1955	7	9
20251221	1955	7	10
20251221	2030	7	11
20251221	2030	7	12
20251221	1955	8	9
20251221	1955	8	10
20251221	2030	8	11
20251221	2030	8	12
20251221	1955	9	9
20251221	1955	9	10
20251221	2030	9	11
20251221	2030	9	12
20251221	1955	10	9
20251221	1955	10	10
20251221	2030	10	11
20251221	2030	10	12
20251221	1955	11	9
20251221	1955	11	10
20251221	2030	11	11
20251221	2030	11	12
20251221	1955	12	9
20251221	1955	12	10
20251221	2030	12	11
20251221	2030	12	12
20251221	1955	13	9
20251221	1955	13	10
20251221	2030	13	11
20251221	2030	13	12
20251221	1955	14	9
20251221	1955	14	10
20251221	2030	14	11
20251221	2030	14	12
20251221	1955	15	9
20251221	1955	15	10
20251221	2030	15	11
20251221	2030	15	12
20251221	1955	16	9
20251221	1955	16	10
20251221	2030	16	11
20251221	2030	16	12
20251223	1955	1	13
20251223	1955	1	14
20251223	1955	2	13
20251223	1955	2	14
20251223	1955	3	13
20251223	1955	3	14
20251223	1955	4	13
20251223	1955	4	14
20251223	1955	5	13
20251223	1955	5	14
20251223	1955	6	13
20251223	1955	6	14
20251223	1955	7	13
20251223	1955	7	14
20251223	1955	8	13
20251223	1955	8	14
20251223	1955	9	13
20251223	1955	9	14
20251223	1955	10	13
20251223	1955	10	14
20251223	1955	11	13
20251223	1955	11	14
20251223	1955	12	13
20251223	1955	12	14
20251223	1955	13	13
20251223	1955	13	14
20251223	1955	14	13
20251223	1955	14	14
20251223	1955	15	13
20251223	1955	15	14
20251223	1955	16	13
20251223	1955	16	14
