Batch	NpcType	NpcTemplateId	PosX	PosY	NpcSeriesAuto	ReqDeath	nTarget
1	0	3302	30608	50464	-1	1	1
1	0	3302	30190	48910	-1	1	1
1	0	3302	31693	50824	-1	1	1
1	0	3302	32329	49099	-1	1	1
1	0	3302	30823	47376	-1	1	1
1	0	3302	31969	47692	-1	1	1
1	0	3301	31278	48995	-1	1	1
1	0	3302	22271	46431	-1	1	2
1	0	3302	22178	44935	-1	1	2
1	0	3302	23080	46963	-1	1	2
1	0	3302	24014	45964	-1	1	2
1	0	3302	23008	43904	-1	1	2
1	0	3302	23929	44420	-1	1	2
1	0	3300	23174	45408	-1	1	2
1	0	3302	22907	37563	-1	1	3
1	0	3302	22421	36213	-1	1	3
1	0	3302	24026	37345	-1	1	3
1	0	3302	24356	36024	-1	1	3
1	0	3302	24108	34606	-1	1	3
1	0	3302	23043	34859	-1	1	3
1	0	3300	23505	36132	-1	1	3
1	0	3302	28212	33091	-1	1	4
1	0	3302	29188	32897	-1	1	4
1	0	3302	29263	30289	-1	1	4
1	0	3302	28197	30231	-1	1	4
1	0	3302	29685	31532	-1	1	4
1	0	3302	27600	31917	-1	1	4
1	0	3301	28654	31430	-1	1	4
2	0	3300	33697	41961	-1	0	5
2	0	3300	34974	41561	-1	0	5
2	0	3300	33519	40142	-1	0	5
2	0	3300	34725	39611	-1	0	5
2	0	3301	34350	42090	-1	0	5
2	0	3301	34069	39689	-1	0	5
2	0	3301	35173	40364	-1	0	5
2	0	3301	33332	41157	-1	0	5
2	0	3379	34267	40781	-1	1	5
