nTowerLevel	nNpcTemplateId	PosX	PosY	Delay	szParams
5	13036	20729	16062	30	
6	13051	19409	17490	1	
6	13052	22158	17490	1	
6	13053	19276	14077	1	
6	13054	22097	13882	1	
7	13051	19409	17490	1	
7	13052	22158	17490	1	
7	13053	19276	14077	1	
7	13054	22097	13882	1	
8	13051	19409	17490	1	
8	13052	22158	17490	1	
8	13053	19276	14077	1	
8	13054	22097	13882	1	
9	13051	19409	17490	1	
9	13052	22158	17490	1	
9	13053	19276	14077	1	
9	13054	22097	13882	1	
10	13046	20729	16062	30	
10	13051	19409	17490	1	
10	13052	22158	17490	1	
10	13053	19276	14077	1	
10	13054	22097	13882	1	
15	13037	20729	16062	30	
20	13047	20729	16062	30	
25	13048	20729	16062	30	
101	12501	17892	21412	1	5
102	12501	23835	21034	1	6
103	12501	23481	21147	1	1
104	12501	20555	16063	1	2
105	12501	23481	21147	1	1
111	12501	17892	21412	1	5
112	12501	23835	21034	1	6
113	12501	23481	21147	1	1
114	12501	20555	16063	1	2
115	12501	23481	21147	1	1
116	12501	18690	21320	1	3
116	12501	22800	21345	1	4
117	12501	15989	18360	1	7
117	12501	15700	14846	1	8
118	12501	17892	21412	1	5
118	12501	23481	21147	1	1
119	12501	23835	21034	1	6
119	12501	20555	16063	1	2
120	12501	23481	21147	1	1
120	12501	20555	16063	1	2
121	12501	17892	21412	1	5
122	12501	23835	21034	1	6
123	12501	23481	21147	1	1
124	12501	20555	16063	1	2
125	12501	23481	21147	1	1
105	13036	20729	16062	30	
106	13051	19409	17490	1	
106	13052	22158	17490	1	
106	13053	19276	14077	1	
106	13054	22097	13882	1	
107	13051	19409	17490	1	
107	13052	22158	17490	1	
107	13053	19276	14077	1	
107	13054	22097	13882	1	
108	13051	19409	17490	1	
108	13052	22158	17490	1	
108	13053	19276	14077	1	
108	13054	22097	13882	1	
109	13051	19409	17490	1	
109	13052	22158	17490	1	
109	13053	19276	14077	1	
109	13054	22097	13882	1	
110	13046	20729	16062	30	
110	13051	19409	17490	1	
110	13052	22158	17490	1	
110	13053	19276	14077	1	
110	13054	22097	13882	1	
115	13037	20729	16062	30	
120	13047	20729	16062	30	
125	13048	20729	16062	30	
