Type	PosX	PosY
PILLAR_1	32345	70392
SOLDIER	33876	70168
SOLDIER	32650	68218
SOLDIER	30824	69383
SOLDIER	31096	71916
SOLDIER	32136	73004
SOLDIER	33692	72551
OFFICER	31405	70502
OFFICER	32766	69479
OFFICER	32666	71486
PILLAR_2	90155	101458
SOLDIER	91634	101971
SOLDIER	91502	99903
SOLDIER	90014	99695
SOLDIER	88334	101207
SOLDIER	88909	103300
SOLDIER	90757	104224
OFFICER	90892	100847
OFFICER	89312	100975
OFFICER	90074	102747
PILLAR_3	44031	131169
SOLDIER	45733	131706
SOLDIER	45583	129356
SOLDIER	43641	129034
SOLDIER	41961	130552
SOLDIER	42690	132859
SOLDIER	44778	133766
OFFICER	44865	130505
OFFICER	43063	130527
OFFICER	43983	132614
FRONT_1	21959	98571
FRONT_2	105989	84193
