nId	szName	szIcon	szHudIcon	nSeries	szSeries	nOpenType	szMalePortrait	szFemalePortrait	szRadarChartPath	szMaleAvatar	szFemaleAvatar	szMaleAvatarCenter	szFemaleAvatarCenter	szDesc
1	<i18n=少林>	UI/icon/faction/faction_shaolin.png	UI/atlas/hud/hud_shaolin.png	1	<i18n=16355>	1	UI/atlas/selectrole/img_selectrole_shaolin_nan_1.png		UI/atlas/selectrole/img_factioninfo_shaolin.png	M_SL		50,-265		<i18n=7471>
2	<i18n=天王>	UI/icon/faction/faction_tianwang.png	UI/atlas/hud/hud_tianwang.png	1	<i18n=16355>	3	UI/atlas/selectrole/img_selectrole_tianwang_nan_1.png	UI/atlas/selectrole/img_selectrole_tianwang_nv_1.png	UI/atlas/selectrole/img_factioninfo_tianwang.png	M_TW	F_TW	63,-322.5	100,-325.5	<i18n=18726>
3	<i18n=唐门>	UI/icon/faction/faction_tangmen.png	UI/atlas/hud/hud_tangmen.png	2	<i18n=430>	3	UI/atlas/selectrole/img_selectrole_tangmen_nan_1.png	UI/atlas/selectrole/img_selectrole_tangmen_nv_1.png	UI/atlas/selectrole/img_factioninfo_tangmen.png	M_TM	F_TM	40,-276	30,-268	<i18n=13098>
4	<i18n=3811>	UI/icon/faction/faction_wudu.png	UI/atlas/hud/hud_wudu.png	2	<i18n=430>	3	UI/atlas/selectrole/img_selectrole_wudu_nan_1.png	UI/atlas/selectrole/img_selectrole_wudu_nv_1.png	UI/atlas/selectrole/img_factioninfo_wudu.png	M_5D	F_5D	0,-276	59,-276	<i18n=23887>
5	<i18n=7785>	UI/icon/faction/faction_emei.png	UI/atlas/hud/hud_emei.png	3	<i18n=6165>	2		UI/atlas/selectrole/img_selectrole_emei_nv_1.png	UI/atlas/selectrole/img_factioninfo_emei.png		F_EM		77,-305	<i18n=11582>
6	<i18n=翠烟>	UI/icon/faction/faction_cuiyan.png	UI/atlas/hud/hud_cuiyan.png	3	<i18n=6165>	3	UI/atlas/selectrole/img_selectrole_cuiyan_nan_1.png	UI/atlas/selectrole/img_selectrole_cuiyan_nv_1.png	UI/atlas/selectrole/img_factioninfo_cuiyan.png	M_CY	F_CY	17,-268	30,-268	<i18n=7975>
7	<i18n=丐帮>	UI/icon/faction/faction_gaibang.png	UI/atlas/hud/hud_gaibang.png	4	<i18n=7236>	3	UI/atlas/selectrole/img_selectrole_gaibang_nan_1.png	UI/atlas/selectrole/img_selectrole_gaibang_nv_1.png	UI/atlas/selectrole/img_factioninfo_gaibang.png	M_GB	F_GB	48,-276	90,-274	<i18n=14724>
8	<i18n=天忍>	UI/icon/faction/faction_tianren.png	UI/atlas/hud/hud_tianren.png	4	<i18n=7236>	3	UI/atlas/selectrole/img_selectrole_tianren_nan_1.png	UI/atlas/selectrole/img_selectrole_tianren_nv_1.png	UI/atlas/selectrole/img_factioninfo_tianren.png	M_TR	F_TR	-26,-389	74,-283	<i18n=9036>
9	<i18n=武当>	UI/icon/faction/faction_wudang.png	UI/atlas/hud/hud_wudang.png	5	<i18n=2929>	3	UI/atlas/selectrole/img_selectrole_wudang_nan_1.png	UI/atlas/selectrole/img_selectrole_wudang_nv_1.png	UI/atlas/selectrole/img_factioninfo_wudang.png	M_WD	F_WD	21,-311.5	53,-283	<i18n=6180>
10	<i18n=昆仑>	UI/icon/faction/faction_kunlun.png	UI/atlas/hud/hud_kunlun.png	5	<i18n=2929>	3	UI/atlas/selectrole/img_selectrole_kunlun_nan_1.png	UI/atlas/selectrole/img_selectrole_kunlun_nv_1.png	UI/atlas/selectrole/img_factioninfo_kunlun.png	M_KL	F_KL	31,-265	28,-274	<i18n=174>
11	<i18n=明教>	UI/icon/faction/faction_mingjiao.png	UI/atlas/hud/hud_mingjiao.png	2	<i18n=430>	3	UI/atlas/selectrole/img_selectrole_mingjiao_nan_1.png	UI/atlas/selectrole/img_selectrole_mingjiao_nv_1.png	UI/atlas/selectrole/img_factioninfo_mingjiao.png	M_MJ	F_MJ	11,-268	51,-258	<i18n=15237>
12	<i18n=1754>	UI/icon/faction/faction_duanshi.png	UI/atlas/hud/hud_duanshi.png	3	<i18n=6165>	3	UI/atlas/selectrole/img_selectrole_duanshi_nan_1.png	UI/atlas/selectrole/img_selectrole_duanshi_nv_1.png	UI/atlas/selectrole/img_factioninfo_duanshi.png	M_DL	F_DL	57,-276	92,-296	<i18n=8205>
13	<i18n=23791>	UI/icon/faction/faction_gumu.png	UI/atlas/hud/hud_gumu.png	5	<i18n=2929>	3			UI/atlas/selectrole/img_factioninfo_gumu.png	M_GM	F_GM	30,-270	36,-274	<i18n=30330>
14	<i18n=34452>	UI/icon/faction/faction_badao.png	UI/icon/faction/faction_badao.png	1	<i18n=16355>	3			UI/atlas/selectrole/img_factioninfo_badao.png	M_BD	F_BD	30,-300	45,-296	<i18n=36649>
15	<i18n=22518>	UI/icon/faction/faction_xiaoyao.png	UI/icon/faction/faction_xiaoyao.png	4	<i18n=7236>	3			UI/atlas/selectrole/img_factioninfo_xiaoyao.png	M_XY	F_XY	15,-300	28,-296	<i18n=42749>
16	<i18n=45234>	UI/icon/faction/faction_baituosha.png	UI/icon/faction/faction_baituosha.png	2	<i18n=430>	3			UI/atlas/selectrole/img_factioninfo_baituoshan.png	M_BTS	F_BTS	40,-319	40,-285	<i18n=49170>
17	<i18n=41676>	UI/icon/faction/faction_taohua.png	UI/icon/faction/faction_taohua.png	3	<i18n=6165>	3			UI/atlas/selectrole/img_factioninfo_taohua.png	M_THD	F_THD	15,-300	28,-296	<i18n=49226>
18	<i18n=68415>	UI/icon/faction/faction_changge.png	UI/icon/faction/faction_changge.png	5	<i18n=2929>	3			UI/atlas/selectrole/img_factioninfo_changge.png	M_CGM	F_CGM	15,-300	28,-296	<i18n=68470>
19	<i18n=20907>	UI/icon/faction/faction_YiPinTang.png	UI/icon/faction/faction_YiPinTang.png	1	<i18n=16355>	3			UI/atlas/selectrole/img_factioninfo_YiPintang.png	M_YP	F_YP	15,-300	28,-296	<i18n=20836>
20	<i18n=81133>	UI/icon/faction/faction_WuHuntang.png	UI/icon/faction/faction_WuHuntang.png	4	<i18n=7236>	3			UI/atlas/selectrole/img_factioninfo_WuHuntang.png	M_WHT	F_WHT	45,-240	45,-240	<i18n=84276>
21	<i18n=84275>	UI/icon/faction/faction_wumenpai.png	UI/icon/faction/faction_wumenpai.png	3	<i18n=6165>	0			UI/atlas/selectrole/img_factioninfo_YiPintang.png	M_CY	F_CY	17,-268	30,-268	<i18n=18726>
