NpcName	ShowName	NpcTemplateId	NpcLevel	TitleID	XPos	YPos	ZPos	CanAutoPath	StandDir	NpcSeriesAuto	Removewhendeath	IsMapMonster	NpcPath	bPathRecycle	nShareType
<i18n=36975>		9278	1		27621	27931	0	0	220	-1	0	0			
<i18n=36975>		9278	1		29135	29486	0	0	220	-1	0	0			
<i18n=37011>		9276	1	3072	17795	29044	0	1	220	-1	0	0			
<i18n=36975>		9278	1		20965	34161	0	0	220	-1	0	0			
<i18n=36975>		9278	1		23429	36721	0	0	220	-1	0	0			
<i18n=36974>		9275	1	3071	27714	37425	0	1	160	-1	0	0			
<i18n=36982>		9277	1		20349	43130	0	1	160	-1	0	0			
<i18n=36975>		9278	1		18084	26056	0	0	40	-1	0	0			
<i18n=36975>		9278	1		18684	25376	0	0	40	-1	0	0			
<i18n=36975>		9278	1		16143	41462	0	0	220	-1	0	0			
<i18n=36975>		9278	1		15533	40890	0	0	220	-1	0	0			
