StateID	StateName	MaxFrame	HeadWord	HeadResId	BodyResId	ChestResId	ColorId	IsCanAdd	IsUIGray	IsAlpha	IsAfterImage
0	hurt	99999	<i18n=6128>								
1	weak	99999	<i18n=8397>	100			1				
2	slowall	99999	<i18n=3228>				2				
3	burn	99999	<i18n=10765>				3			1	
4	stun	99999	<i18n=11230>	103							
5	zhican		<i18n=8519>								
6	palsy	100	<i18n=10791>	117							
7	fixed	75	<i18n=294>	106							
8	slowrun	75	<i18n=7985>	107							
9	freeze	900	<i18n=5517>	108							
10	confuse	75	<i18n=9765>	109							
11	knock	75	<i18n=16235>					1			
12	drag	75	<i18n=9727>								
13	silence	900	<i18n=13766>	112							
14	float	900	<i18n=4613>					1			
15	selffreeze	900									
16	sleep	900									
17	knock2	900									
18	nojump	900		118							
19	forceatk	900	<i18n=10271>								
20	dragfloat	75									
21	npchurt	180						1			
22	npcknock	75						1			
23	suspend	900	<i18n=11220>								
24	swallow	900	<i18n=5903>								
25	hide	0	<i18n=11073>							1	
26	shield	0	<i18n=12629>	114							
27	fixshield	0	<i18n=12629>	37082							
28	jungle_hide	0	<i18n=4910>							1	
29	super_hide	0	<i18n=7778>							1	
30	afterimage	0	<i18n=7426>								1
