Faction	CDFrame	UsePointRecover	MaxUsePoint	PerUsePoint	CDFrameInFight	CDFrameInMassacre
0	360	100	100	100	720	1080
1	360	100	100	100	720	1080
2	360	100	100	100	720	1080
3	360	100	100	100	720	1080
4	360	100	100	100	720	1080
5	360	100	100	100	720	1080
6	360	100	100	100	720	1080
7	360	100	100	100	720	1080
8	360	100	100	100	720	1080
9	360	100	100	100	720	1080
10	360	100	100	100	720	1080
11	360	100	100	100	720	1080
12	360	100	100	100	720	1080
13	360	100	100	100	720	1080
14	360	100	100	100	720	1080
15	360	100	100	100	720	1080
16	360	100	100	100	720	1080
17	360	100	100	100	720	1080
18	360	100	100	100	720	1080
19	360	100	100	100	720	1080
20	360	100	100	100	720	1080
21	360	100	100	100	720	1080
