Faction	CDFrame	UsePointRecover	MaxUsePoint	PerUsePoint	CDFrameInFight	CDFrameInMassacre
0	45	100	300	100	180	360
1	45	100	300	100	180	360
2	45	100	300	100	180	360
3	45	100	300	100	180	360
4	45	100	300	100	180	360
5	45	100	300	100	180	360
6	45	100	300	100	180	360
7	45	100	300	100	180	360
8	45	100	300	100	180	360
9	45	100	300	100	180	360
10	45	100	300	100	180	360
11	45	100	300	100	180	360
12	45	100	300	100	180	360
13	45	100	300	100	180	360
14	45	100	300	100	180	360
15	45	100	300	100	180	360
16	45	100	300	100	180	360
17	45	100	300	100	180	360
18	45	100	300	100	180	360
19	45	100	300	100	180	360
20	45	100	300	100	180	360
21	45	100	300	100	180	360
