MagicName	Param0	Param1	Param2	Param3	Param4	Param5	Min	Max	IsOpenLog
calc_hitpercent	1	20	40	0	90	0	80	150	0
calc_defendpercent	1	20	40	1	0	0	0	60	0
calc_deadlystrikepercent	1	20	40	0	0	0	0	100	0
calc_deadlystrikedamagepercent	1	7.5	40	0	100	0	100	300	0
calc_returnpercent	1	125	40	0	0	0	0	50	0
calc_seriesresistpercent	1	20	40	1	0	0	0	70	0
calc_steallifepercent	1	100	40	0	0	0	0	0	0
calc_blockpercent	1	150	40	0	0	0	0	45	0
calc_blockdamageresistpercent	1	20	40	1	0	0	0	70	0
calc_seriesenhancepercent	1	20	40	0	0	0	0	95	0
calc_seriesabatepercent	1	20	40	0	0	0	0	95	0
calc_specialstateratepercent	1	7.5	40	0	0	0	0	100	0
calc_specialstatetimepercent	1	7.5	40	0	0	0	0	100	0
calc_stealmanapercent	1	100	40	0	0	0	0	0	0
