AutoId	AutoType	CastPercent	CastSkillId	CastSkillLevel	ParentSkillId	RelativeSkillStyle	RelativeSkillId1	RelativeSkillId2	RelativeSkillId3	MinPerCastTime	MaxCastCount	Param1	Param2	MarkSkillId
550	6	{1,100},{10,100}	551	-1						27	-1
552	6	{1,100},{10,100}	553	-1						27	-1
916	2	{1,20},{10,20}	917	-1						540	-1
1012	4	{1,20},{10,80},{13,90}	1013	-1						540	-1
1015	1	{1,100},{10,100}	1016	-1						360	-1
1016	6	{1,100},{10,100}	1017	-1						27	-1
1022	2	{1,100},{10,100}	1023	-1						3	-1
1110	4	{1,10},{10,80},{11,83},{16,98},{17,99}	1111	-1						540	-1
1111	1	{1,1},{10,1}	1112	-1						540	-1
1113	6	{1,100},{10,100}	1115	-1						27	-1
1117	6	{1,100},{10,100}	1118	-1						27	-1
1118	1	{1,3},{10,100}	1119	-1						540	-1
1122	1	{1,100},{10,100}	1123	-1						18	-1
1125	1	{1,1},{10,4}	1126	-1						270	-1
1204	2	{1,100},{20,100}	1205	-1						18	-1
1209	1	{1,100},{10,100}	1210	-1						540	-1
1211	2	{1,1},{10,10},{11,12}	1212	-1						360	-1
1310	4	{1,20},{10,80},{13,90}	1311	-1						540	-1
1312	1	{1,2},{10,25},{11,27}	1313	-1						126	-1
1316	1	{1,8},{10,8}	1317	-1						18	-1
1317	6	{1,100},{10,100}	1318	-1						18	-1
1320	1	{1,100},{10,100}	1321	-1						216	-1
1412	6	{1,100},{10,100}	1413	-1						270	-1
1419	7	{1,100},{10,100}	1420	-1		atk_phy_near,atk_phy_far,atk_mag_near,atk_mag_far,control,trap				90	-1
1423	24	{1,25},{10,55},{11,56}	1425	-1						9	-1
1430	2	{1,10},{10,10}	1431	-1			1401			90	-1
1509	1	{1,100},{10,100}	1510	-1						360	-1
1513	1	{1,100},{10,100}	1514	-1						324	-1
1515	6	{1,100},{10,100}	1516	-1						36	-1
1520	1	{1,100},{10,100}	1521	-1						360	-1
1605	6	{1,100},{10,100}	1620	-1						45	-1
1611	6	{1,100},{10,100}	1614	-1						54	-1
1615	6	{1,100},{10,100}	1616	-1						54	-1
1612	2	{1,100},{10,100}	1613	-1						18	-1
1613	4	{1,100},{10,100}	1617	-1						18	-1
1618	10	{1,100},{10,100}	1619	-1						180	-1
