nTowerLevel	nNpcTemplateId	PosX	PosY	Delay	szParams
80	13036	21584	26882	30	
81	13051	21522	34969	1	
81	13052	15188	27138	1	
81	13053	21540	19455	1	
81	13054	28832	27363	1	
82	13051	21522	34969	1	
82	13052	15188	27138	1	
82	13053	21540	19455	1	
82	13054	28832	27363	1	
83	13051	21522	34969	1	
83	13052	15188	27138	1	
83	13053	21540	19455	1	
83	13054	28832	27363	1	
84	13051	21522	34969	1	
84	13052	15188	27138	1	
84	13053	21540	19455	1	
84	13054	28832	27363	1	
85	13046	21584	26882	30	
85	13051	21522	34969	1	
85	13052	15188	27138	1	
85	13053	21540	19455	1	
85	13054	28832	27363	1	
90	13037	21584	26882	30	
95	13047	21584	26882	30	
100	13048	21584	26882	30	
176	12501	18103	22252	1	5
177	12501	14406	26833	1	6
178	12501	21778	33545	1	1
179	12501	21744	31311	1	2
180	12501	21778	33545	1	1
186	12501	18103	22252	1	5
187	12501	14406	26833	1	6
188	12501	21778	33545	1	1
189	12501	21744	31311	1	2
190	12501	21778	33545	1	1
191	12501	21469	33588	1	3
191	12501	17947	30762	1	4
192	12501	14406	26833	1	6
192	12501	21631	34559	1	7
193	12501	18103	22252	1	5
193	12501	21778	33545	1	1
194	12501	14406	26833	1	6
194	12501	21631	34559	1	7
195	12501	21778	33545	1	1
195	12501	21744	31311	1	2
196	12501	18103	22252	1	5
197	12501	14406	26833	1	6
198	12501	21778	33545	1	1
199	12501	21744	31311	1	2
200	12501	21778	33545	1	1
180	13036	21584	26882	30	
181	13051	21522	34969	1	
181	13052	15188	27138	1	
181	13053	21540	19455	1	
181	13054	28832	27363	1	
182	13051	21522	34969	1	
182	13052	15188	27138	1	
182	13053	21540	19455	1	
182	13054	28832	27363	1	
183	13051	21522	34969	1	
183	13052	15188	27138	1	
183	13053	21540	19455	1	
183	13054	28832	27363	1	
184	13051	21522	34969	1	
184	13052	15188	27138	1	
184	13053	21540	19455	1	
184	13054	28832	27363	1	
185	13046	21584	26882	30	
185	13051	21522	34969	1	
185	13052	15188	27138	1	
185	13053	21540	19455	1	
185	13054	28832	27363	1	
190	13037	21584	26882	30	
195	13047	21584	26882	30	
200	13048	21584	26882	30	
