nMapTId	szType	nPosX	nPosY	nTemplateId	szTextColor	szName	szResName
1	Tuwen			4	43fcb4	<i18n=12932>	UI/icon/title/npc.png
1	Tuwen			5	43fcb4	<i18n=8448>	UI/icon/title/npc.png
1	Tuwen			10	43fcb4	<i18n=18540>	UI/icon/title/npc.png
1	Tuwen	342.6	336.4	11	43fcb4	<i18n=18542>	UI/icon/title/npc.png
1	Tuwen			12	43fcb4	<i18n=18547>	UI/icon/title/npc.png
1	Tuwen			14	43fcb4	<i18n=18536>	UI/icon/title/npc.png
1	Tuwen			3	43fcb4	<i18n=10677>	UI/icon/title/npc.png
1	Wenzi	594.9	188.12			<i18n=1668>	
1	Tuwen			15	43fcb4	<i18n=18546>	UI/icon/title/npc.png
1	Npc			12068	ffff0e	<i18n=14226>	10000
1	Npc			12069	ffff0e	<i18n=13058>	10000
1	Npc			12067	ffff0e	<i18n=2917>	10000
1	Tuwen			11041		<i18n=8354>	UI/icon/title/npc.png
1	Tuwen			13	43fcb4	<i18n=18543>	UI/icon/title/npc.png
1	Tuwen	453.1	355.2	9	43fcb4	<i18n=2794>	UI/icon/title/npc.png
1	Tuwen			35	43fcb4	<i18n=12830>	UI/icon/title/npc.png
1	Tuwen			8	43fcb4	<i18n=18545>	UI/icon/title/npc.png
1	Tuwen	376.5	354.08	12103	43fcb4	<i18n=13136>	UI/icon/title/npc.png
3	Wenzi	236	151			<i18n=5080>	
3	Wenzi	625	344			<i18n=6184>	
3	Tuwen			3005		<i18n=12888>	UI/icon/title/shiyuedong.png
3	Tuwen			3010		<i18n=9289>	UI/icon/title/shiyuedong.png
4	Wenzi	285	174			<i18n=16612>	
4	Wenzi	225	293			<i18n=16616>	
4	Wenzi	480	176			<i18n=16611>	
4	Wenzi	143	236			<i18n=16618>	
5	Wenzi	389	223			<i18n=16624>	
5	Wenzi	204	131			<i18n=17477>	
6	Wenzi	488	122			<i18n=2693>	
6	Wenzi	655	310			<i18n=5662>	
6	Wenzi	266	90			<i18n=3278>	
6	Wenzi	352	250			<i18n=3240>	
6	Wenzi	725	150			<i18n=6312>	
7	Tuwen	321	398			<i18n=8211>	UI/icon/title/npc.png
7	Tuwen	301	261			<i18n=7461>	UI/icon/title/npc.png
7	Tuwen	461	433			<i18n=13210>	UI/icon/title/npc.png
7	Tuwen	614	345			<i18n=16220>	UI/icon/title/npc.png
7	Tuwen	645	235			<i18n=8445>	UI/icon/title/npc.png
7	Tuwen	545	121			<i18n=4519>	UI/icon/title/npc.png
7	Wenzi	450.3	280.9			<i18n=2693>	
7	Wenzi	157.9	289.1			<i18n=3328>	
7	Wenzi	680.9	317.7			<i18n=13414>	
7	Wenzi	517.1	207.8			<i18n=7241>	
7	Npc			12093	ffff0e	<i18n=14625>	10000
8	Tuwen			7016	43fcb4	<i18n=15077>	UI/icon/title/npc.png
8	Tuwen			7017	43fcb4	<i18n=11491>	UI/icon/title/npc.png
8	Tuwen			7018	43fcb4	<i18n=671>	UI/icon/title/npc.png
8	Tuwen			7019	43fcb4	<i18n=8092>	UI/icon/title/npc.png
9	Tuwen			7169		<i18n=11555>	UI/icon/title/npc.png
9	Tuwen			7192		<i18n=13205>	UI/icon/title/npc.png
9	Tuwen			7193		<i18n=10723>	UI/icon/title/npc.png
