szKey	szTimeFrame	nMapLevel	nNpcLevel	nNpcExp	nBossNpcExp	szNpcInfo
maplevel130	OpenLevel139	130	130	320	60000	28|9156;28|9157;28|9158;28|9159;25|9144;25|9145;25|9146;25|9147
maplevel130	OpenLevel209	200	200	360	60000	28|9156;28|9157;28|9158;28|9159;25|9144;25|9145;25|9146;25|9147
maplevel140	OpenLevel149	140	140	320	60000	26|9067;26|9068;26|9069;26|9070;61|9052;61|9053;61|9054
maplevel140	OpenLevel219	210	210	360	60000	26|9067;26|9068;26|9069;26|9070;61|9052;61|9053;61|9054
maplevel150	OpenLevel159	150	150	320	60000	49|9027;49|9025;49|9026;7|3046;7|3045;7|3044
maplevel150	OpenLevel229	220	220	360	60000	49|9027;49|9025;49|9026;7|3046;7|3045;7|3044
maplevel160	OpenLevel169	160	160	330	60000	33|9192;33|9193;33|9194;14|1000;14|1001;14|1002;14|3047
maplevel160	OpenLevel239	230	230	360	60000	33|9192;33|9193;33|9194;14|1000;14|1001;14|1002;14|3047
maplevel170	OpenLevel179	170	170	340	60000	30|9022;30|9023;30|9024;89|9168;89|9169;89|9170;89|9171
maplevel170	OpenLevel249	240	240	360	60000	30|9022;30|9023;30|9024;89|9168;89|9169;89|9170;89|9171
maplevel180	OpenLevel189	180	180	350	60000	88|9079;88|9080;88|9081;88|9082;38|9091;38|9092;38|9093;38|9094
maplevel180	OpenLevel259	250	250	360	60000	88|9079;88|9080;88|9081;88|9082;38|9091;38|9092;38|9093;38|9094
maplevel190	OpenLevel199	190	190	360	60000	35|9213;35|9214;35|9215;35|9216;48|9004;48|9005;48|9006;48|9007
