Key	AwardType	AwardSubType	Count	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut
1	BasicExp		150				1			1
1	Item	31517	1				1			1
2	BasicExp		135				1			1
2	Item	31516	1				1			1
3	BasicExp		120				1			1
3	Item	31515	1				1			1
4	BasicExp		150				1			1
4	Item	31520	1				1			1
5	BasicExp		135				1			1
5	Item	31519	1				1			1
6	BasicExp		120				1			1
6	Item	31518	1				1			1
7	BasicExp		150				1			1
7	Item	31523	1				1			1
8	BasicExp		135				1			1
8	Item	31522	1				1			1
9	BasicExp		120				1			1
9	Item	31521	1				1			1
10	BasicExp		150				1			1
10	Item	31526	1				1			1
11	BasicExp		135				1			1
11	Item	31525	1				1			1
12	BasicExp		120				1			1
12	Item	31524	1				1			1
13	BasicExp		150				1			1
13	Item	31529	1				1			1
14	BasicExp		135				1			1
14	Item	31528	1				1			1
15	BasicExp		120				1			1
15	Item	31527	1				1			1
16	BasicExp		150				1			1
16	Item	31532	1				1			1
17	BasicExp		135				1			1
17	Item	31531	1				1			1
18	BasicExp		120				1			1
18	Item	31530	1				1			1
19	BasicExp		120				1			1
19	Item	650266	1				1			1
20	BasicExp		135				1			1
20	Item	650267	1				1			1
21	BasicExp		150				1			1
21	Item	650268	1				1			1
22	BasicExp		120				1			1
22	Item	650269	1				1			1
23	BasicExp		135				1			1
23	Item	650270	1				1			1
24	BasicExp		150				1			1
24	Item	650271	1				1			1
25	BasicExp		120				1			1
25	Item	650272	1				1			1
26	BasicExp		135				1			1
26	Item	650273	1				1			1
27	BasicExp		150				1			1
27	Item	650274	1				1			1
28	BasicExp		120				1			1
28	Item	650275	1				1			1
29	BasicExp		135				1			1
29	Item	650276	1				1			1
30	BasicExp		150				1			1
30	Item	650277	1				1			1
31	BasicExp		120				1			1
31	Item	650279	1				1			1
32	BasicExp		135				1			1
32	Item	650280	1				1			1
33	BasicExp		150				1			1
33	Item	650281	1				1			1
34	BasicExp		120				1			1
34	Item	650282	1				1			1
35	BasicExp		135				1			1
35	Item	650283	1				1			1
36	BasicExp		150				1			1
36	Item	650284	1				1			1
37	BasicExp		120				1			1
37	Item	650285	1				1			1
38	BasicExp		135				1			1
38	Item	650286	1				1			1
39	BasicExp		150				1			1
39	Item	650287	1				1			1
40	BasicExp		120				1			1
40	Item	650288	1				1			1
41	BasicExp		135				1			1
41	Item	650289	1				1			1
42	BasicExp		150				1			1
42	Item	650290	1				1			1
43	BasicExp		150				1			1
43	Item	671682	1				1			1
44	BasicExp		135				1			1
44	Item	671681	1				1			1
45	BasicExp		120				1			1
45	Item	671680	1				1			1
46	BasicExp		150				1			1
46	Item	671685	1				1			1
47	BasicExp		135				1			1
47	Item	671684	1				1			1
48	BasicExp		120				1			1
48	Item	671683	1				1			1
49	BasicExp		150				1			1
49	Item	671688	1				1			1
50	BasicExp		135				1			1
50	Item	671687	1				1			1
51	BasicExp		120				1			1
51	Item	671686	1				1			1
52	BasicExp		150				1			1
52	Item	671851	1				1			1
53	BasicExp		135				1			1
53	Item	671850	1				1			1
54	BasicExp		120				1			1
54	Item	671849	1				1			1
55	BasicExp		150				1			1
55	Item	671854	1				1			1
56	BasicExp		135				1			1
56	Item	671853	1				1			1
57	BasicExp		120				1			1
57	Item	671852	1				1			1
58	BasicExp		150				1			1
58	Item	671857	1				1			1
59	BasicExp		135				1			1
59	Item	671856	1				1			1
60	BasicExp		120				1			1
60	Item	671855	1				1			1
61	BasicExp		150				1			1
