szTimeFrame	nIndex	nBossIndex	nTempMapId	nBossId	Desc	nDifficulty	BossNum	nBossLevel	nBelongAwardId	nBelongAwardKey	nAssistAwardId	nAssistAwardKey	nShowAwardId	nShowAwardKey	nBossPosX	nBossPosY	nPlayerPosX	nPlayerPosY	nTimeMonsterRez	nOpenLevelDay	nFBMaxPlayerCnt	nPlayerOpenLevel	nRealHonorLevelLimit
OpenLevel89	1	1	398	13661	<i18n=80494>	5	1	80	1290	3004	1290	5001	1290	4004	20753	28684	18619	27502	1800	1	5		7
OpenLevel89	2	2	398	13662	<i18n=80494>	5	1	80	1290	3004	1290	5001	1290	4004	20753	28684	18619	27502	1800	1	5		7
OpenLevel89	3	3	398	13663	<i18n=80494>	5	1	80	1290	3004	1290	5001	1290	4004	20753	28684	18619	27502	1800	1	5		7
OpenLevel89	4	4	398	13700	<i18n=80494>	5	1	80	1290	3004	1290	5001	1290	4004	20753	28684	18619	27502	1800	1	5		7
OpenLevel89	5	5	398	13664	<i18n=76392>	4	1	80	1290	3003	1290	5001	1290	4003	20753	28684	18619	27502	900	1	5		7
OpenLevel89	6	6	398	13665	<i18n=76392>	4	1	80	1290	3003	1290	5001	1290	4003	20753	28684	18619	27502	900	1	5		7
OpenLevel89	7	7	398	13666	<i18n=76392>	4	1	80	1290	3003	1290	5001	1290	4003	20753	28684	18619	27502	900	1	5		7
OpenLevel89	8	8	398	13701	<i18n=76392>	4	1	80	1290	3003	1290	5001	1290	4003	20753	28684	18619	27502	900	1	5		7
OpenLevel89	9	9	398	13667	<i18n=21283>	3	1	80	1290	3002	1290	5001	1290	4002	20753	28684	18619	27502	300	1	5		6
OpenLevel89	10	10	398	13668	<i18n=21283>	3	1	80	1290	3002	1290	5001	1290	4002	20753	28684	18619	27502	300	1	5		6
OpenLevel89	11	11	398	13669	<i18n=21283>	3	1	80	1290	3002	1290	5001	1290	4002	20753	28684	18619	27502	300	1	5		6
OpenLevel89	12	12	398	13702	<i18n=21283>	3	1	80	1290	3002	1290	5001	1290	4002	20753	28684	18619	27502	300	1	5		6
OpenLevel89	13	13	398	13703	<i18n=21283>	3	1	80	1290	3002	1290	5001	1290	4002	20753	28684	18619	27502	300	1	5		6
OpenLevel89	14	14	398	13704	<i18n=21283>	3	1	80	1290	3002	1290	5001	1290	4002	20753	28684	18619	27502	300	1	5		6
OpenLevel89	15	15	398	13670	<i18n=21098>	2	1	80	1290	3001	1290	5001	1290	4001	20753	28684	18619	27502	60	1	5		1
OpenLevel89	16	16	398	13671	<i18n=21098>	2	1	80	1290	3001	1290	5001	1290	4001	20753	28684	18619	27502	60	1	5		1
OpenLevel89	17	17	398	13672	<i18n=21098>	2	1	80	1290	3001	1290	5001	1290	4001	20753	28684	18619	27502	60	1	5		1
OpenLevel89	18	18	398	13705	<i18n=21098>	2	1	80	1290	3001	1290	5001	1290	4001	20753	28684	18619	27502	60	1	5		1
OpenLevel89	19	19	398	13706	<i18n=21098>	2	1	80	1290	3001	1290	5001	1290	4001	20753	28684	18619	27502	60	1	5		1
OpenLevel89	20	20	398	13707	<i18n=21098>	2	1	80	1290	3001	1290	5001	1290	4001	20753	28684	18619	27502	60	1	5		1
OpenLevel99	1	21	398	13661	<i18n=80494>	5	1	90	1290	3004	1290	5001	1290	4004	20753	28684	18619	27502	1800	1	5		8
OpenLevel99	2	22	398	13662	<i18n=80494>	5	1	90	1290	3004	1290	5001	1290	4004	20753	28684	18619	27502	1800	1	5		8
OpenLevel99	3	23	398	13663	<i18n=80494>	5	1	90	1290	3004	1290	5001	1290	4004	20753	28684	18619	27502	1800	1	5		8
OpenLevel99	4	24	398	13700	<i18n=80494>	5	1	90	1290	3004	1290	5001	1290	4004	20753	28684	18619	27502	1800	1	5		8
OpenLevel99	5	25	398	13664	<i18n=76392>	4	1	90	1290	3003	1290	5001	1290	4003	20753	28684	18619	27502	900	1	5		8
OpenLevel99	6	26	398	13665	<i18n=76392>	4	1	90	1290	3003	1290	5001	1290	4003	20753	28684	18619	27502	900	1	5		8
OpenLevel99	7	27	398	13666	<i18n=76392>	4	1	90	1290	3003	1290	5001	1290	4003	20753	28684	18619	27502	900	1	5		8
OpenLevel99	8	28	398	13701	<i18n=76392>	4	1	90	1290	3003	1290	5001	1290	4003	20753	28684	18619	27502	900	1	5		8
OpenLevel99	9	29	398	13667	<i18n=21283>	3	1	90	1290	3002	1290	5001	1290	4002	20753	28684	18619	27502	300	1	5		7
OpenLevel99	10	30	398	13668	<i18n=21283>	3	1	90	1290	3002	1290	5001	1290	4002	20753	28684	18619	27502	300	1	5		7
OpenLevel99	11	31	398	13669	<i18n=21283>	3	1	90	1290	3002	1290	5001	1290	4002	20753	28684	18619	27502	300	1	5		7
OpenLevel99	12	32	398	13702	<i18n=21283>	3	1	90	1290	3002	1290	5001	1290	4002	20753	28684	18619	27502	300	1	5		7
OpenLevel99	13	33	398	13703	<i18n=21283>	3	1	90	1290	3002	1290	5001	1290	4002	20753	28684	18619	27502	300	1	5		7
OpenLevel99	14	34	398	13704	<i18n=21283>	3	1	90	1290	3002	1290	5001	1290	4002	20753	28684	18619	27502	300	1	5		7
OpenLevel99	15	35	398	13670	<i18n=21098>	2	1	90	1290	3001	1290	5001	1290	4001	20753	28684	18619	27502	60	1	5		1
OpenLevel99	16	36	398	13671	<i18n=21098>	2	1	90	1290	3001	1290	5001	1290	4001	20753	28684	18619	27502	60	1	5		1
OpenLevel99	17	37	398	13672	<i18n=21098>	2	1	90	1290	3001	1290	5001	1290	4001	20753	28684	18619	27502	60	1	5		1
OpenLevel99	18	38	398	13705	<i18n=21098>	2	1	90	1290	3001	1290	5001	1290	4001	20753	28684	18619	27502	60	1	5		1
OpenLevel99	19	39	398	13706	<i18n=21098>	2	1	90	1290	3001	1290	5001	1290	4001	20753	28684	18619	27502	60	1	5		1
OpenLevel99	20	40	398	13707	<i18n=21098>	2	1	90	1290	3001	1290	5001	1290	4001	20753	28684	18619	27502	60	1	5		1
OpenLevel109	1	41	398	13661	<i18n=80494>	5	1	100	1290	3004	1290	5001	1290	4004	20753	28684	18619	27502	1800	1	5		9
OpenLevel109	2	42	398	13662	<i18n=80494>	5	1	100	1290	3004	1290	5001	1290	4004	20753	28684	18619	27502	1800	1	5		9
OpenLevel109	3	43	398	13663	<i18n=80494>	5	1	100	1290	3004	1290	5001	1290	4004	20753	28684	18619	27502	1800	1	5		9
OpenLevel109	4	44	398	13700	<i18n=80494>	5	1	100	1290	3004	1290	5001	1290	4004	20753	28684	18619	27502	1800	1	5		9
OpenLevel109	5	45	398	13664	<i18n=76392>	4	1	100	1290	3003	1290	5001	1290	4003	20753	28684	18619	27502	900	1	5		9
OpenLevel109	6	46	398	13665	<i18n=76392>	4	1	100	1290	3003	1290	5001	1290	4003	20753	28684	18619	27502	900	1	5		9
OpenLevel109	7	47	398	13666	<i18n=76392>	4	1	100	1290	3003	1290	5001	1290	4003	20753	28684	18619	27502	900	1	5		9
OpenLevel109	8	48	398	13701	<i18n=76392>	4	1	100	1290	3003	1290	5001	1290	4003	20753	28684	18619	27502	900	1	5		9
OpenLevel109	9	49	398	13667	<i18n=21283>	3	1	100	1290	3002	1290	5001	1290	4002	20753	28684	18619	27502	300	1	5		8
OpenLevel109	10	50	398	13668	<i18n=21283>	3	1	100	1290	3002	1290	5001	1290	4002	20753	28684	18619	27502	300	1	5		8
OpenLevel109	11	51	398	13669	<i18n=21283>	3	1	100	1290	3002	1290	5001	1290	4002	20753	28684	18619	27502	300	1	5		8
OpenLevel109	12	52	398	13702	<i18n=21283>	3	1	100	1290	3002	1290	5001	1290	4002	20753	28684	18619	27502	300	1	5		8
OpenLevel109	13	53	398	13703	<i18n=21283>	3	1	100	1290	3002	1290	5001	1290	4002	20753	28684	18619	27502	300	1	5		8
OpenLevel109	14	54	398	13704	<i18n=21283>	3	1	100	1290	3002	1290	5001	1290	4002	20753	28684	18619	27502	300	1	5		8
OpenLevel109	15	55	398	13670	<i18n=21098>	2	1	100	1290	3001	1290	5001	1290	4001	20753	28684	18619	27502	60	1	5		1
OpenLevel109	16	56	398	13671	<i18n=21098>	2	1	100	1290	3001	1290	5001	1290	4001	20753	28684	18619	27502	60	1	5		1
OpenLevel109	17	57	398	13672	<i18n=21098>	2	1	100	1290	3001	1290	5001	1290	4001	20753	28684	18619	27502	60	1	5		1
OpenLevel109	18	58	398	13705	<i18n=21098>	2	1	100	1290	3001	1290	5001	1290	4001	20753	28684	18619	27502	60	1	5		1
OpenLevel109	19	59	398	13706	<i18n=21098>	2	1	100	1290	3001	1290	5001	1290	4001	20753	28684	18619	27502	60	1	5		1
OpenLevel109	20	60	398	13707	<i18n=21098>	2	1	100	1290	3001	1290	5001	1290	4001	20753	28684	18619	27502	60	1	5		1
OpenLevel119	1	61	398	13661	<i18n=80494>	5	1	110	1290	3004	1290	5001	1290	4004	20753	28684	18619	27502	1800	1	5		9
OpenLevel119	2	62	398	13662	<i18n=80494>	5	1	110	1290	3004	1290	5001	1290	4004	20753	28684	18619	27502	1800	1	5		9
OpenLevel119	3	63	398	13663	<i18n=80494>	5	1	110	1290	3004	1290	5001	1290	4004	20753	28684	18619	27502	1800	1	5		9
