szTimeFrame	nIndex	nBossIndex	nTempMapId	nBossId	Desc	nDifficulty	BossNum	nBossLevel	nBelongAwardId	nBelongAwardKey	nAssistAwardId	nAssistAwardKey	nShowAwardId	nShowAwardKey	nBossPosX	nBossPosY	nPlayerPosX	nPlayerPosY	nTimeMonsterRez	nOpenLevelDay	nFBMaxPlayerCnt	nPlayerOpenLevel	nRealHonorLevelLimit
OpenLevel89	1	1	394	13560	<i18n=76392>	4	1	80	1290	4	1290	1001	1290	2004	20753	28684	18619	27502	900	1	5		7
OpenLevel89	2	2	394	13564	<i18n=76392>	4	1	80	1290	4	1290	1001	1290	2004	20753	28684	18619	27502	900	1	5		7
OpenLevel89	3	3	394	13559	<i18n=21283>	3	1	80	1290	3	1290	1001	1290	2003	20753	28684	18619	27502	300	1	5		6
OpenLevel89	4	4	394	13563	<i18n=21283>	3	1	80	1290	3	1290	1001	1290	2003	20753	28684	18619	27502	300	1	5		6
OpenLevel89	5	5	394	13558	<i18n=21098>	2	1	80	1290	2	1290	1001	1290	2002	20753	28684	18619	27502	60	1	5		5
OpenLevel89	6	6	394	13562	<i18n=21098>	2	1	80	1290	2	1290	1001	1290	2002	20753	28684	18619	27502	60	1	5		5
OpenLevel89	7	7	394	13557	<i18n=21172>	1	1	80	1290	1	1290	1001	1290	2001	20753	28684	18619	27502	20	1	5		1
OpenLevel89	8	8	394	13561	<i18n=21172>	1	1	80	1290	1	1290	1001	1290	2001	20753	28684	18619	27502	20	1	5		1
OpenLevel99	1	9	394	13560	<i18n=76392>	4	1	90	1290	4	1290	1001	1290	2004	20753	28684	18619	27502	900	1	5		8
OpenLevel99	2	10	394	13564	<i18n=76392>	4	1	90	1290	4	1290	1001	1290	2004	20753	28684	18619	27502	900	1	5		8
OpenLevel99	3	11	394	13559	<i18n=21283>	3	1	90	1290	3	1290	1001	1290	2003	20753	28684	18619	27502	300	1	5		7
OpenLevel99	4	12	394	13563	<i18n=21283>	3	1	90	1290	3	1290	1001	1290	2003	20753	28684	18619	27502	300	1	5		7
OpenLevel99	5	13	394	13558	<i18n=21098>	2	1	90	1290	2	1290	1001	1290	2002	20753	28684	18619	27502	60	1	5		6
OpenLevel99	6	14	394	13562	<i18n=21098>	2	1	90	1290	2	1290	1001	1290	2002	20753	28684	18619	27502	60	1	5		6
