nConfigId	szFormalaType	nTemplateID	szName	nCount
1	SHANGDENGFORMALA	1100	<i18n=19532>	1
1	SHANGDENGFORMALA	1102	<i18n=19535>	1
1	SHANGDENGFORMALA	1103	<i18n=19539>	1
1	SHANGDENGFORMALA	1104	<i18n=19540>	1
1	SHANGDENGFORMALA	1105	<i18n=19537>	1
1	SHANGDENGFORMALA	1106	<i18n=19538>	1
1	SHANGDENGZONGZI	1108	<i18n=19531>	1
1	LVZONGZIFORMALA	1100	<i18n=19532>	1
1	LVZONGZIFORMALA	1102	<i18n=19535>	1
1	LVZONGZIFORMALA	1103	<i18n=19539>	1
1	LVZONGZIFORMALA	1104	<i18n=19540>	1
1	LVZONGZIFORMALA	1105	<i18n=19537>	1
1	LVZONGZI	1107	<i18n=19893>	1
