nConfigId	szScriptDataKey	szMailFrom	szMailTitle	szMailText	nAwardId	nRankLength	szRankType	nAwardTime	szLogName	szTitle	szScoreTitle	szScoreName
1	KeySummerFishing	<i18n=系统>	<i18n=23902>	<i18n=24721>	1123	200	SummerFishing	20230802235900	SummerFIshing	<i18n=30315>	<i18n=23624>	<i18n=29028>
2	VnNationRank	<i18n=系统>	<i18n=26717>	<i18n=26716>	1136	100	VnNation	20230913035900	VnNation	<i18n=26142>	<i18n=26149>	<i18n=26723>
3	MidAutumnLighter	<i18n=系统>	<i18n=27912>	<i18n=27944>	1143	500	MidAutumnLighter	20231011035900	MidAutumnLighter	<i18n=28361>	<i18n=28359>	<i18n=28360>
4	GuMuMiQingRank	<i18n=28551>	<i18n=30218>	<i18n=30613>	1158	500	GuMuMiQing	20231127035900	GuMuMiQing	<i18n=30612>	<i18n=30536>	<i18n=30609>
5	FoLeiMiQingRank	<i18n=系统>	<i18n=30350>	<i18n=31108>	1156	500	GuMuMiQing	20231206035900	GuMuMiQing	<i18n=31111>	<i18n=31110>	<i18n=30609>
6	SnowFightRank	<i18n=系统>	<i18n=31871>	<i18n=39195>	1166	500	SnowFight	20240103035900	SnowFightRankAward	<i18n=31893>	<i18n=31858>	<i18n=31882>
7	FestiveLanternRank	<i18n=37468>	<i18n=36092>	<i18n=39212>	1179	500	FestiveLantern	20240226035900	SnowFightRankAward	<i18n=37888>	<i18n=38483>	<i18n=39016>
8	YangDaoDaHuiRank	<i18n=38588>	<i18n=37807>	<i18n=39197>	1181	200	YangDaoDaHui	20240313035900	YangDaoDaHuiRank	<i18n=38282>	<i18n=38261>	<i18n=30609>
9	TowerDefense	<i18n=系统>	<i18n=39247>	<i18n=40080>	1195	100	TowerDefense	20240410035900	TowerDefense	<i18n=39904>	<i18n=39902>	<i18n=39893>
10	TowerDefense	<i18n=系统>	<i18n=39247>	<i18n=41032>	1195	100	TowerDefense	20240422035900	TowerDefense	<i18n=39904>	<i18n=39902>	<i18n=39893>
11	LouLanMiZong	<i18n=系统>	<i18n=46096>	<i18n=49402>	1231	500	LouLanMiZong	22990422035900	LouLanMiZong	<i18n=49432>	<i18n=通关时间>	<i18n=通关时间>
