Batch	NpcType	NpcTemplateId	PosX	PosY	NpcSeriesAuto	ReqDeath	nTarget
1	0	3327	30520	46677	-1	1	1
1	0	3327	28699	46679	-1	1	1
1	0	3327	29961	43160	-1	1	1
1	0	3327	29167	44496	-1	1	1
1	0	3327	28151	45311	-1	1	1
1	0	3327	29521	47851	-1	1	1
1	0	3328	29831	45646	-1	1	1
1	0	3327	31323	45264	-1	1	1
1	0	3327	30612	44132	-1	1	1
1	0	3327	23892	40575	-1	1	2
1	0	3327	22384	38053	-1	1	2
1	0	3327	24042	35773	-1	1	2
1	0	3327	23081	39488	-1	1	2
1	0	3327	25812	38082	-1	1	2
1	0	3327	25091	36895	-1	1	2
1	0	3327	24993	39430	-1	1	2
1	0	3328	24087	38332	-1	1	2
1	0	3327	23344	36941	-1	1	2
1	0	3327	11945	17141	-1	1	3
1	0	3329	10197	19316	-1	1	3
1	0	3327	9796	17555	-1	1	3
1	0	3330	11051	18058	-1	1	3
1	0	3327	9087	18947	-1	1	3
1	0	3327	9788	20998	-1	1	3
1	0	3327	11094	20479	-1	1	3
1	0	3327	11751	18967	-1	1	3
1	0	3327	10785	16267	-1	1	3
1	0	3327	18004	18668	-1	1	4
1	0	3327	16735	16139	-1	1	4
1	0	3327	17644	14497	-1	1	4
1	0	3330	18586	17125	-1	1	4
1	0	3327	18719	14962	-1	1	4
1	0	3327	17034	17829	-1	1	4
1	0	3327	19164	18582	-1	1	4
1	0	3327	19574	16007	-1	1	4
1	0	3329	17717	16515	-1	1	4
