Type	PosX	PosY
PILLAR_1	41848	130962
SOLDIER	43509	131093
SOLDIER	43113	129047
SOLDIER	41609	129015
SOLDIER	39741	130209
SOLDIER	40790	132660
SOLDIER	42302	133416
OFFICER	42583	130110
OFFICER	40982	130304
OFFICER	41797	132169
PILLAR_2	69781	136154
SOLDIER	71265	136614
SOLDIER	70941	134490
SOLDIER	69155	134558
SOLDIER	67598	136130
SOLDIER	68767	138454
SOLDIER	70363	139252
OFFICER	70411	135454
OFFICER	68828	135830
OFFICER	69731	137410
PILLAR_3	19332	121400
SOLDIER	21024	121689
SOLDIER	20610	119426
SOLDIER	18824	119635
SOLDIER	17122	121681
SOLDIER	18046	123529
SOLDIER	19915	124201
OFFICER	20014	120619
OFFICER	18306	121148
OFFICER	19308	122742
FRONT_2	57655	150099
FRONT_1	22632	94412
