Key	AwardType	AwardSubType	Count	_DesignType1	_DesignType2	_DesignType3
1	Item	31440	1	<i18n=18943>	<i18n=族长>	<i18n=18264>
2	Item	31443	1	<i18n=18943>	<i18n=副族长>	<i18n=18264>
3	Item	31446	1	<i18n=18943>	<i18n=2346>	<i18n=18264>
4	Item	31449	1	<i18n=18943>	<i18n=指挥>	<i18n=18264>
5	Item	31452	1	<i18n=18943>	<i18n=4069>	<i18n=18264>
6	Item	31455	1	<i18n=18943>	<i18n=成员>	<i18n=18264>
7	Item	31441	1	<i18n=18943>	<i18n=族长>	<i18n=18711>
8	Item	31444	1	<i18n=18943>	<i18n=副族长>	<i18n=18711>
9	Item	31447	1	<i18n=18943>	<i18n=2346>	<i18n=18711>
10	Item	31450	1	<i18n=18943>	<i18n=指挥>	<i18n=18711>
11	Item	31453	1	<i18n=18943>	<i18n=4069>	<i18n=18711>
12	Item	31456	1	<i18n=18943>	<i18n=成员>	<i18n=18711>
13	Item	31442	1	<i18n=18943>	<i18n=族长>	<i18n=18709>
14	Item	31445	1	<i18n=18943>	<i18n=副族长>	<i18n=18709>
15	Item	31448	1	<i18n=18943>	<i18n=2346>	<i18n=18709>
16	Item	31451	1	<i18n=18943>	<i18n=指挥>	<i18n=18709>
17	Item	31454	1	<i18n=18943>	<i18n=4069>	<i18n=18709>
18	Item	31457	1	<i18n=18943>	<i18n=成员>	<i18n=18709>
