Key	AwardType	AwardSubType	Count	_DesignType1	_DesignType2	_DesignType3
1	Item	31461	1	<i18n=19399>	<i18n=族长>	<i18n=18264>
2	Item	31437	1	<i18n=18710>	<i18n=18313>	<i18n=18264>
3	Item	31434	1	<i18n=18703>	<i18n=18303>	<i18n=18264>
4	Item	31436	1	<i18n=18707>	<i18n=族长>	<i18n=18711>
5	Item	31434	1	<i18n=18703>	<i18n=18313>	<i18n=18711>
6	Item	31435	1	<i18n=18705>	<i18n=18303>	<i18n=18711>
7	Item	31437	1	<i18n=18710>	<i18n=族长>	<i18n=18709>
8	Item	31435	1	<i18n=18705>	<i18n=18313>	<i18n=18709>
9	Item	31438	2	<i18n=15488>	<i18n=18303>	<i18n=18709>
10	Item	31434	1	<i18n=18703>	<i18n=族长>	<i18n=18712>
11	Item	31438	2	<i18n=15488>	<i18n=18313>	<i18n=18712>
12	Item	31439	4	<i18n=3198>	<i18n=18303>	<i18n=18712>
13	Item	31435	1	<i18n=18705>	<i18n=族长>	<i18n=18704>
14	Item	31439	4	<i18n=3198>	<i18n=18313>	<i18n=18704>
15	Item	31439	2	<i18n=3198>	<i18n=18303>	<i18n=18704>
16	Item	31438	2	<i18n=15488>	<i18n=族长>	<i18n=18708>
17	Item	31439	2	<i18n=3198>	<i18n=18313>	<i18n=18708>
18	Item	31439	1	<i18n=3198>	<i18n=18303>	<i18n=18708>
