Key	Group	AwardType	AwardSubType	CountMin	CountMax	RandRate	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut
1	1	Item	672000	1	1	1000000
2	2	Item	672001	1	1	1000000
3	3	Item	672002	1	1	1000000
4	4	Item	672003	1	1	1000000
5	5	Item	672004	1	1	1000000
6	6	Item	672005	1	1	1000000
7	7	Item	672006	1	1	1000000
8	8	Item	672007	1	1	1000000
1001	1	Coin		3000	3000	1000000
1001	2	Item	209	4	4	1000000
1001	3	Item	412	1	1	1000000
1002	1	Coin		3000	3000	1000000
1002	2	Item	209	4	4	1000000
1002	3	Item	412	1	1	1000000
1002	4	YuanBao		300	300	1000000
1003	1	Coin		3000	3000	1000000
1003	2	Item	210	4	4	1000000
1003	3	Item	412	1	1	1000000
1003	4	Item	33010	2	2	1000000
1004	1	Coin		3000	3000	1000000
1004	2	Item	210	4	4	1000000
1004	3	Item	412	1	1	1000000
1004	4	Item	33010	2	2	1000000
1004	5	YuanBao		300	300	1000000
1005	1	Coin		3000	3000	1000000
1005	2	Item	210	4	4	1000000
1005	3	Item	412	1	1	1000000
1005	4	Item	33010	2	2	1000000
1005	5	Item	671601	2	2	1000000
1006	1	Coin		3000	3000	1000000
1006	2	Item	210	4	4	1000000
1006	3	Item	412	1	1	1000000
1006	4	Item	33010	2	2	1000000
1006	5	Item	671601	2	2	1000000
1006	6	YuanBao		300	300	1000000
1007	1	Coin		3000	3000	1000000
1007	2	Item	211	4	4	1000000
1007	3	Item	412	1	1	1000000
1007	4	Item	33010	2	2	1000000
1007	5	Item	671601	2	2	1000000
1008	1	Coin		3000	3000	1000000
1008	2	Item	211	4	4	1000000
1008	3	Item	412	1	1	1000000
1008	4	Item	33010	2	2	1000000
1008	5	Item	671601	2	2	1000000
1008	6	YuanBao		300	300	1000000
