Key	Group	AwardType	AwardSubType	CountMin	CountMax	RandRate	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut
1	1	Coin		3000	3000	1000000
1	2	Item	209	4	4	1000000
1	3	Item	412	1	1	1000000
2	1	Coin		3000	3000	1000000
2	2	Item	209	4	4	1000000
2	3	Item	412	1	1	1000000
2	4	YuanBao		300	300	1000000
3	1	Coin		3000	3000	1000000
3	2	Item	210	4	4	1000000
3	3	Item	412	1	1	1000000
3	4	Item	33010	2	2	1000000
4	1	Coin		3000	3000	1000000
4	2	Item	210	4	4	1000000
4	3	Item	412	1	1	1000000
4	4	Item	33010	2	2	1000000
4	5	YuanBao		300	300	1000000
5	1	Coin		3000	3000	1000000
5	2	Item	210	4	4	1000000
5	3	Item	412	1	1	1000000
5	4	Item	33010	2	2	1000000
5	5	Item	671601	2	2	1000000
6	1	Coin		3000	3000	1000000
6	2	Item	210	4	4	1000000
6	3	Item	412	1	1	1000000
6	4	Item	33010	2	2	1000000
6	5	Item	671601	2	2	1000000
6	6	YuanBao		300	300	1000000
7	1	Coin		3000	3000	1000000
7	2	Item	211	4	4	1000000
7	3	Item	412	1	1	1000000
7	4	Item	33010	2	2	1000000
7	5	Item	671601	2	2	1000000
8	1	Coin		3000	3000	1000000
8	2	Item	211	4	4	1000000
8	3	Item	412	1	1	1000000
8	4	Item	33010	2	2	1000000
8	5	Item	671601	2	2	1000000
8	6	YuanBao		300	300	1000000
