NpcResId	Attack2	Magic	JunpFly
2	4	4	0
3		4	0
5		4	0
7	4	4	0
26		4	0
27		4	0
1000	4	4	0
1001	4	4	0
1002	4	4	0
1003	4	4	0
3000		4	0
3001	4	4	0
3002	4	4	0
3003	4	4	0
3004		4	0
3005		4	0
3006		4	0
3007	4	4	0
3008	4	4	0
3009		4	0
3010		4	0
3011	4		0
3012		4	0
3013		4	0
3014		4	0
3015		4	0
3016		4	0
3017	4		0
3018		4	0
3019		4	0
3020	4		0
3021		4	0
3022		4	0
3023		4	0
3024		4	0
3025		4	0
3026		4	0
3027		4	0
3028		4	0
3029		4	0
3030		4	0
3031		4	0
3032		4	0
3033		4	0
3034		4	0
3035		4	0
3036		4	0
3037		4	0
3038		4	0
3039		4	0
3040		4	0
3041		4	0
3042		4	0
3043		4	0
3044		4	0
3045	4	4	0
3046		4	0
3047	4	4	0
3048		4	0
3049		4	0
3051		4	0
3052		4	0
3053		4	0
3054		4	0
3055		4	0
3056		4	0
3057		4	0
3058		4	0
3059		4	0
3060		4	0
6000		4	0
6001		4	0
6002		4	0
6003		4	0
6004		4	0
6005		4	0
6006		4	0
6007		4	0
6008		4	0
6009		4	0
6010		4	0
6011		4	0
6012		4	0
6013		4	0
6014		4	0
7000		4	0
7001		4	0
7002		4	0
7003	4	4	0
7004	4	4	0
7005		4	0
7006		4	0
7007	4	4	0
7008	4	4	0
7010		4	0
7011	4	4	0
7012		4	0
7013		4	0
7021		4	0
7026		4	0
7029		4	0
7030		4	0
7031		4	0
7032		4	0
7033	4	4	0
7034	4	4	0
7035	4	4	0
7037		4	0
7038		4	0
7040		4	0
7041		4	0
7042		4	0
7043		4	0
7044		4	0
7047		4	0
7048		4	0
7049		4	0
7050	4	4	0
7051		4	0
7053		4	0
7054		4	0
7055		4	0
7056		4	0
7057		4	0
7058	4	4	0
7059		4	0
7061		4	0
7062		4	0
7063		4	0
7067	4	4	0
7068		4	0
7069		4	0
7070		4	0
7071		4	0
7072		4	0
7073	4	4	0
7074		4	0
7075	4	4	0
7076		4	0
7077		4	0
7078		4	0
7079	4	4	0
7080		4	0
7081		4	0
7082		4	0
7083		4	0
7084	4	4	0
7085		4	0
7086	4	4	0
7087	4	4	0
7088		4	0
7089	4	4	0
7090	4	4	0
7091	4	4	0
7092		4	0
7093		4	0
7094		4	0
7095		4	0
7096		4	0
7098	4	4	0
7100	4	4	0
7103	4	4	0
7104		4	0
7105		4	0
7106		4	0
7107		4	0
7108		4	0
7109		4	0
7110		4	0
7111		4	0
7112		4	0
7113		4	0
7115		4	0
7116		4	0
7117		4	0
7118		4	0
7119		4	0
7121	4	4	0
7122		4	0
7124	4	4	0
7125		4	0
7126		4	0
7128		4	0
7129	4	4	0
7130		4	0
7131		4	0
7132		4	0
7133		4	0
7134	4	4	0
7135		4	0
7136		4	0
7137		4	0
7138		4	0
7140		4	0
7141		4	0
7142	4	4	0
7143		4	0
7144		4	0
7145		4	0
7146		4	0
7147		4	0
7148		4	0
7149		4	0
7150		4	0
7152		4	0
7153		4	0
7154		4	0
7155		4	0
7156		4	0
7162		4	0
7164		4	0
7165		4	0
7166	4	4	0
7167		4	0
7168		4	0
7169		4	0
7170		4	0
7171		4	0
7172		4	0
7173		4	0
7174		4	0
7175	4	4	0
7177		4	0
7178		4	0
7179		4	0
7180	4	4	0
7181		4	0
7182		4	0
9004		4	0
9005		4	0
9006		4	0
9007		4	0
9008		4	0
9009	4	4	0
9011		4	0
9012		4	0
9013		4	0
9014		4	0
9015		4	0
9016		4	0
9017		4	0
9018	4	4	0
9019		4	0
9020		4	0
9021		4	0
9022		4	0
9023		4	0
9024		4	0
9025		4	0
9026		4	0
