Key	Group	AwardType	AwardSubType	CountMin	CountMax	RandRate	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut
1	1	Coin		500	500	1000000				1			1
1	2	KinContrib		50	50	1000000				1			1
1	3	Item	201	3	3	1000000				1			1
2	1	Item	31501	1	1	1000000				1			1
3	1	Coin		1	1	1000000				1			1
3	2	KinContrib		1	1	1000000				1			1
3	3	Item	201	1	1	1000000				1			1
3	4	Item	31501	1	1	1000000				1			1
4	1	Item	31500	1	1	1000000				1			1
5	1	Item	31500	3	3	1000000				1			1
6	1	Item	31500	6	6	1000000				1			1
