Key	Group	AwardType	AwardSubType	CountMin	CountMax	RandRate	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut	IgnoreNoMonthCard	bZoneSystem	bCenterSystem	bServerSystem	bZoneNotify	bCenterNotify	bServerNotify	nMinNotifyLv	nMaxNotifyLv	szZCMsg	szZCTongMsg	szServerMsg	szServerTongMsg	szTongMsg	szTeamMsg
1	1	Coin		3000	3000	105000				1			1
1	1	Item	2005	3	3	105000				1			1
1	1	Item	30701	2	2	50000				1			1
1	1	Item	33010	2	2	60000	OpenLevel89			1			1
1	1	Item	30700	2	2	50000				1			1
1	1	Item	324	1	1	30000				1			1
1	1	Item	209	2	2	105000				1			1
1	1	Item	211	1	1	10000				1			1
1	1	Item	412	2	2	15000				1			1
1	1	Item	901	30	30	105000				1			1
1	1	Item	401	30	30	105000				1			1
1	1	Item	31001	5	5	30000				1			1
1	1	Item	201	6	6	105000				1			1
1	1	Item	3002	3	3	105000				1			1
1	1	Item	404	1	1	10000				1			1
1	1	Item	402	1	1	10000				1			1
2	1	Coin		5000	5000	80000				1			1
2	1	Item	2005	5	5	85000				1			1
2	1	Item	30701	5	5	30000				1			1
2	1	Item	33010	3	3	65000	OpenLevel89			1			1
2	1	Item	30700	5	5	30000				1			1
2	1	Item	324	1	1	80000				1			1
2	1	Item	209	3	3	100000				1			1
2	1	Item	211	1	1	20000				1			1
2	1	Item	213	1	1	100				1			1			1
2	1	Item	412	4	4	9900				1			1
2	1	Item	901	40	40	110000				1			1
2	1	Item	401	40	40	110000				1			1
2	1	Item	31001	5	5	80000				1			1
2	1	Item	201	10	10	80000				1			1
2	1	Item	3002	5	5	80000				1			1
2	1	Item	404	1	1	20000				1			1
2	1	Item	402	1	1	20000				1			1
4	1	Item	324	30	30	1000000				1			1
4	2	Item	211	5	5	1000000				1			1
4	3	Item	650202	1	1	1000000				1			1
4	4	Item	1280	1	1	1000000				1			1
5	1	Item	324	20	20	1000000				1			1
5	2	Item	211	4	4	1000000				1			1
5	3	Item	650171	1	1	1000000				1			1
5	4	Item	1280	1	1	1000000				1			1
6	1	Item	324	15	15	1000000				1			1
6	2	Item	211	3	3	1000000				1			1
6	3	Item	650171	1	1	1000000				1			1
6	4	Item	1280	1	1	1000000				1			1
7	1	Item	324	10	10	1000000				1			1
7	2	Item	211	2	2	1000000				1			1
7	3	Item	1280	1	1	1000000				1			1
8	1	Item	324	8	8	1000000				1			1
8	2	Item	211	1	1	1000000				1			1
8	3	Item	1280	1	1	1000000				1			1
9	1	Item	324	5	5	1000000				1			1
9	2	Item	209	10	10	1000000				1			1
9	3	Item	1280	1	1	1000000				1			1
10	1	Item	1280	1	1	1000000				1			1
11	1	Item	1281	1	1	1000000				1			1
12	1	Item	650202	1	1	1000000
12	2	Item	213	1	1	1000000
12	3	Item	412	1	1	1000000
12	4	Item	324	1	1	1000000
12	5	Item	404	1	1	1000000
13	1	Item	1284	1	1	1000000				1			1
13	2	Item	1270	6	6	1000000				1			1
14	1	Item	1285	1	1	1000000				1			1
14	2	Item	1270	8	8	1000000				1			1
15	1	Item	1285	1	1	1000000				1			1
