Key	Group	AwardType	AwardSubType	CountMin	CountMax	RandRate	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut	IgnoreNoMonthCard	bZoneSystem	bCenterSystem	bServerSystem	bZoneNotify	bCenterNotify	bServerNotify	nMinNotifyLv	nMaxNotifyLv	szZCMsg	szZCTongMsg	szServerMsg	szServerTongMsg	szTongMsg	szTeamMsg
1	1	Item	673344	3	3	1000000				1			1		
1	2	Item	901	488	488	1000000				1			1		
1	3	Item	3006	10	10	1000000				1			1		
2	1	Item	673344	2	2	1000000				1			1		
2	2	Item	403	2	2	1000000				1			1		
3	1	Item	673344	2	2	1000000				1			1		
3	2	Item	901	488	488	1000000				1			1		
4	1	Item	673344	2	2	1000000				1			1		
4	2	Item	506	2	2	1000000				1			1		
5	1	Item	673344	2	2	1000000				1			1		
5	2	Item	3006	5	5	1000000				1			1		
6	1	Item	673344	2	2	1000000				1			1		
6	2	Item	211	2	2	1000000				1			1		
7	1	Item	673344	2	2	1000000				1			1		
7	2	Item	203	5	5	1000000				1			1		
8	1	Item	673344	2	2	1000000				1			1		
8	2	Item	506	2	2	1000000				1			1		
9	1	Item	673344	2	2	1000000				1			1		
9	2	Item	403	2	2	1000000				1			1		
10	1	Item	673344	2	2	1000000				1			1		
10	2	Item	506	2	2	1000000				1			1		
11	1	Item	673344	2	2	1000000				1			1		
11	2	Item	403	2	2	1000000				1			1		
