Key	Group	AwardType	AwardSubType	CountMin	CountMax	RandRate	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut	BindType	IgnoreNoMonthCard	bZoneSystem	bCenterSystem	bServerSystem	bZoneNotify	bCenterNotify	bServerNotify	nMinNotifyLv	nMaxNotifyLv	szZCMsg	szZCTongMsg	szServerMsg	szServerTongMsg	szTongMsg	szTeamMsg
1	1	Item	214	1	1	1000000				1			1			
1	2	Item	324	50	50	1000000				1			1			
1	3	Item	409	5	5	1000000				1			1			
1	4	Item	408	5	5	1000000				1			1			
1	5	Item	671641	1	1	1000000				1			1			
2	1	Item	213	1	1	1000000				1			1			
2	2	Item	324	40	40	1000000				1			1			
2	3	Item	409	3	3	1000000				1			1			
2	4	Item	408	3	3	1000000				1			1			
2	5	Item	671640	1	1	1000000				1			1			
3	1	Item	211	6	6	1000000				1			1			
3	2	Item	324	30	30	1000000				1			1			
3	3	Item	409	2	2	1000000				1			1			
3	4	Item	408	2	2	1000000				1			1			
3	5	Item	671640	1	1	1000000				1			1			
4	1	Item	211	3	3	1000000				1			1			
4	2	Item	324	25	25	1000000				1			1			
4	3	Item	409	1	1	1000000				1			1			
5	1	Item	211	2	2	1000000				1			1			
5	2	Item	324	15	15	1000000				1			1			
5	3	Item	408	1	1	1000000				1			1			
6	1	Item	209	10	10	1000000				1			1			
6	2	Item	324	10	10	1000000				1			1			
6	3	Item	408	1	1	1000000				1			1			
7	1	Item	324	2	2	1000000				1			1			
