Key	Group	AwardType	AwardSubType	CountMin	CountMax	RandRate	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut
1	1	Coin		5000	5000	100000				1			1
1	1	Item	3002	5	5	100000				1			1
1	1	Item	207	30	30	150000				1			1
1	1	Item	2005	3	3	150000				1			1
1	1	Item	401	50	50	100000				1			1
1	1	Item	209	3	3	100000				1			1
1	1	Item	31001	10	10	50000				1			1
1	1	Item	901	50	50	100000				1			1
1	1	Item	412	2	2	50000				1			1
1	1	YuanBao		50	50	100000				1			1
2	1	YuanBao		100	100	110000				1			1
2	1	Item	3002	8	8	140000				1			1
2	1	Item	31001	10	10	140000				1			1
2	1	Item	2007	2	2	160000				1			1
2	1	Item	404	1	1	50000				1			1
2	1	Item	211	1	1	50000				1			1
2	1	Item	402	1	1	50000				1			1
2	1	Item	901	100	100	110000				1			1
2	1	Item	412	4	4	30000				1			1
2	1	Item	403	3	3	160000				1			1
4	1	Item	650031	1	1	1000000				1			1
5	1	Item	412	5	5	1000000				1			1
6	1	Item	211	4	4	1000000				1			1
7	1	Item	324	10	10	1000000				1			1
