Key	Group	AwardType	AwardSubType	CountMin	CountMax	RandRate	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut	IgnoreNoMonthCard	bZoneSystem	bCenterSystem	bServerSystem	bZoneNotify	bCenterNotify	bServerNotify	nMinNotifyLv	nMaxNotifyLv	szZCMsg	szZCTongMsg	szServerMsg	szServerTongMsg	szTongMsg
1	1	Item	1179	1	1	1000000			1	1			1		
2	1	Item	1179	2	2	1000000			1	1			1		
3	1	Item	1181	5	5	1000000			1	1			1		
3	2	Item	209	2	2	1000000			1	1			1		
3	3	Coin		2000	2000	1000000			1	1			1		
4	1	Coin		2000	2000	1000000			1	1			1		
5	1	Item	1181	2	5	1000000			1	1			1		
5	2	Item	201	20	20	30000			1	1			1		
5	2	Item	201	5	5	160000			1	1			1		
5	2	Item	901	5	5	180000			1	1			1		
5	2	Item	412	1	1	130000			1	1			1		
5	2	Item	211	1	1	20000			1	1			1		
5	2	Item	210	1	1	120000			1	1			1		
5	2	Coin		2000	2000	180000			1	1			1		
5	2	Coin		1000	1000	180000			1	1			1		
6	1	Item	1180	1	1	1000000		OpenLevel49	1	1			1		
7	1	Item	1180	1	1	1000000	OpenLevel49	OpenLevel59	1	1			1		
8	1	Item	1180	1	1	1000000	OpenLevel59	OpenLevel69	1	1			1		
9	1	Item	1180	1	1	1000000	OpenLevel69	OpenLevel79	1	1			1		
10	1	Item	1180	1	1	1000000	OpenLevel79	OpenLevel89	1	1			1		
11	1	Item	1180	1	1	1000000	OpenLevel89	OpenLevel99	1	1			1		
12	1	Item	1180	1	1	1000000	OpenLevel99	OpenLevel109	1	1			1		
13	1	Item	412	5	5	10000				1			1		
13	1	Item	31001	10	10	20000				1			1		
13	1	Coin		5000	5000	50000				1			1		
13	1	Item	209	3	3	50000				1			1		
13	1	Item	3002	3	3	130000				1			1		
13	1	Item	401	30	30	130000				1			1		
13	1	Item	901	30	30	100000				1			1		
13	1	Item	1184	1	1	30000				1			1		
13	1	YuanBao		30	30	100000				1			1		
13	1	Item	209	2	2	180000				1			1		
13	1	Item	2005	2	2	200000				1			1		
14	1	Item	403	5	5	50000				1			1		
14	1	Item	211	1	1	120000				1			1		
14	1	Item	213	1	1	5000				1			1						1				1	999	<i18n=25621>	<i18n=26273>	<i18n=25618>	<i18n=26275>
14	1	Item	412	10	10	15000				1	1		1																<i18n=25618>
14	1	Item	901	100	100	180000				1			1		
14	1	YuanBao		200	200	80000				1			1		
14	1	Item	506	5	5	50000				1			1		
14	1	Item	31001	10	10	165000				1			1		
14	1	Item	1185	1	1	40000				1			1		
14	1	Item	3002	10	10	160000				1			1		
14	1	JingHuo		2000	2000	10000				1			1						1				1	999	<i18n=25621>	<i18n=26273>	<i18n=25618>	<i18n=26275>
14	1	JingHuo		1000	1000	15000				1			1		
14	1	JingHuo		500	500	40000				1			1		
14	1	JingHuo		300	300	70000				1			1		
15	1	Item	901	100	100	1000000			1	1			1		
16	1	Item	412	5	5	1000000			1	1			1		
17	1	Item	211	5	5	1000000			1	1	1		1																<i18n=25618>
18	1	Item	411	15	15	1000000			1	1			1		
19	1	Item	650171	1	1	1000000			1	1			1		
20	1	Item	213	1	1	1000000			1	1			1						1				1	999	<i18n=25835>	<i18n=26274>	<i18n=25832>	<i18n=26268>
21	1	Item	213	1	1	1000000							1		
21	2	Item	650171	1	1	1000000							1		
21	3	Item	1177	1	1	1000000							1		
21	4	Item	1181	1	1	1000000							1		
21	5	Item	1176	1	1	1000000							1		
21	6	Item	1180	1	1	1000000							1		
21	7	Item	1185	1	1	1000000							1		
21	8	Item	1184	1	1	1000000							1		
22	1	Item	1181	5	5	1000000				1			1		
22	2	Item	901	20	20	1000000				1			1		
22	3	Coin		2000	2000	1000000				1			1		
23	1	Item	1182	1	1	1000000			1	1			1		
24	1	Item	1180	1	1	1000000		OpenLevel59	1	1			1		
25	1	Item	1180	1	1	1000000	OpenLevel49	OpenLevel69	1	1			1		
26	1	Item	1180	1	1	1000000	OpenLevel59	OpenLevel79	1	1			1		
27	1	Item	1180	1	1	1000000	OpenLevel69	OpenLevel89	1	1			1		
28	1	Item	1180	1	1	1000000	OpenLevel79	OpenLevel99	1	1			1		
29	1	Item	1180	1	1	1000000	OpenLevel89	OpenLevel109	1	1			1		
