nConfigId	nLevel	nSimpleAwardKey	nSpecialAwardKey	nMultiple
1	0	3	9	1
1	1	3	9	1
1	2	3	9	1
1	3	3	9	1
1	4	3	9	1
1	5	3	10	2
1	6	3	9	1
1	7	3	9	1
1	8	3	9	1
1	9	3	9	1
1	10	3	10	2
1	11	3	9	1
1	12	3	9	1
1	13	3	9	1
1	14	3	9	1
1	15	3	10	2
1	16	3	9	1
1	17	3	9	1
1	18	3	9	1
1	19	3	9	1
1	20	3	10	2
1	21	3	9	1
1	22	3	9	1
1	23	3	9	1
1	24	3	9	1
1	25	3	10	2
1	26	3	9	1
1	27	3	9	1
1	28	3	9	1
1	29	3	9	1
1	30	3	10	2
1	31	3	9	1
1	32	3	9	1
1	33	3	9	1
1	34	3	9	1
1	35	3	10	2
1	36	3	9	1
1	37	3	9	1
1	38	3	9	1
1	39	3	9	1
1	40	3	11	3
2	0	2	3	1
2	1	1	3	1
2	2	2	3	1
2	3	2	3	1
2	4	2	3	1
2	5	2	6	2
2	6	2	3	1
2	7	2	3	1
2	8	2	3	1
2	9	2	3	1
2	10	2	8	2
2	11	2	3	1
2	12	2	3	1
2	13	2	3	1
2	14	2	3	1
2	15	2	6	2
2	16	2	3	1
2	17	2	3	1
2	18	2	3	1
2	19	2	3	1
2	20	2	8	2
2	21	2	4	1
2	22	2	4	1
2	23	2	4	1
2	24	2	4	1
2	25	2	7	2
2	26	2	4	1
2	27	2	4	1
2	28	2	4	1
2	29	2	4	1
2	30	2	8	2
2	31	2	5	1
2	32	2	5	1
2	33	2	5	1
2	34	2	5	1
2	35	2	7	2
2	36	2	5	1
2	37	2	5	1
2	38	2	5	1
2	39	2	5	1
2	40	2	9	3
4	0	1	2	1
4	1	1	2	1
4	2	1	2	1
4	3	1	2	1
4	4	1	2	1
4	5	1	7	2
4	6	1	3	1
4	7	1	3	1
4	8	1	3	1
4	9	1	3	1
4	10	1	8	2
4	11	1	4	1
4	12	1	4	1
4	13	1	4	1
4	14	1	4	1
4	15	1	9	2
4	16	1	5	1
4	17	1	5	1
4	18	1	5	1
4	19	1	5	1
4	20	1	10	2
4	21	1	6	1
4	22	1	6	1
4	23	1	6	1
4	24	1	6	1
4	25	1	11	2
4	26	1	7	1
4	27	1	7	1
4	28	1	7	1
4	29	1	7	1
4	30	1	12	3
7	0	1	2	1
7	1	1	2	1
7	2	1	2	1
7	3	1	2	1
7	4	1	2	1
7	5	1	7	2
7	6	1	3	1
7	7	1	3	1
7	8	1	3	1
7	9	1	3	1
7	10	1	11	2
7	11	1	4	1
7	12	1	4	1
7	13	1	4	1
7	14	1	4	1
7	15	1	12	2
7	16	1	5	1
7	17	1	5	1
7	18	1	5	1
7	19	1	5	1
7	20	1	13	2
7	21	1	6	1
7	22	1	6	1
7	23	1	6	1
7	24	1	6	1
7	25	1	14	2
7	26	1	7	1
7	27	1	7	1
7	28	1	7	1
7	29	1	7	1
7	30	1	8	3
