szType	nIndex	PosX	PosY
Land	1	23314	32010
Land	2	24163	26467
Land	3	23345	27334
Land	4	22478	28117
Land	5	21661	28949
Land	6	20859	29760
Land	7	26451	28871
Land	8	22444	32913
Land	9	21613	33724
Land	10	20809	34477
Land	11	23367	25655
Land	12	22557	24851
Land	13	21729	24015
Land	14	20897	24888
Land	15	20039	25703
Land	16	19283	26514
Land	17	18396	27341
Land	18	19258	28166
Land	19	20053	28970
Land	20	19994	33662
Land	21	19186	32859
Land	22	18362	32018
Land	23	17577	31210
Land	24	16741	30422
Land	25	15910	29579
Land	26	15072	28752
Land	27	14329	28023
Land	28	14326	26414
Land	29	15146	25546
Land	30	15976	24706
Land	31	15158	23847
Land	32	14326	24662
Land	33	13504	25526
Land	34	13502	27262
Land	35	12673	26373
Land	36	11876	25515
Land	37	10972	26290
Land	38	10154	25452
Land	39	9316	24651
Land	40	8482	23834
Land	41	7699	23009
Land	42	6848	22192
Land	43	6021	21343
Land	44	5208	20558
Land	45	5113	19081
Land	46	5907	18284
Land	47	6762	17406
Land	48	7571	16591
Land	49	8399	15740
Land	50	9226	14879
Land	51	10061	14054
Land	52	10932	13213
Land	53	11741	12358
Land	54	12595	11478
Land	55	13346	10688
Land	56	14931	10839
Land	57	15788	11640
Land	58	16578	12489
Land	59	17415	13281
Land	60	18206	14143
Land	61	19026	14935
Land	62	19816	15775
Land	63	20553	16633
Land	64	19843	17464
Land	65	20644	18339
Land	66	21502	19144
Land	67	20674	20029
Land	68	19830	19201
Land	69	18989	20019
Land	70	19833	20837
Land	71	18987	21699
Land	72	18148	20856
Land	73	22368	19893
Land	74	23198	20716
Land	75	23998	21527
Land	76	24822	22356
Land	77	25635	23208
Land	78	26465	23993
Land	79	27259	24845
Land	80	28113	25627
Land	81	28907	26441
Land	82	28124	27265
Land	83	27245	28074
Land	84	14226	9827
Land	85	4404	19823
Land	86	9201	19806
Land	87	9991	18903
Land	88	10817	19756
Land	89	10022	20576
Land	90	10812	21389
Land	91	11637	20585
Land	92	12470	21389
Land	93	13260	20587
Land	94	14120	19747
Land	95	14900	18924
Land	96	15735	18154
Land	97	14943	17278
Land	98	15778	16457
Land	99	14947	15638
Land	100	14130	14805
Land	101	13321	15663
Land	102	14131	16430
Monster	1	25351	30935
ShenShu	1	12482	18288
