MsgType	EventId	MainWayName	SubWayName	Value	Desc
custom.event	action_log	p2ptrade	p2ptrade_finish	10024	个人交易-交易成功
custom.event	action_log	marketstall	marketstall_shangjia	10025	交易行-成功上架
custom.event	action_log	marketstall	marketstall_tradefinish	10026	交易行-交易成交
custom.event	action_log	marketstall	marketstall_timeout	10027	交易行-过期
custom.event	action_log	marketstall	marketstall_cancel	10028	交易行-交易下架
custom.event	action_log	item_system	item_system_openbox	10048	道具-开箱子
custom.event	action_log	cangbaotu	cangbaotu_gettu	10065	龙脉任务-领取龙脉图
custom.event	action_log	cangbaotu	cangbaotu_usetu	10066	s
custom.event	action_log	cangbaotu	cangbaotu_exchangetu	10067	龙脉任务-兑换藏宝图
custom.event	action_log	cangbaotu	cangbaotu_destroybox	10068	龙脉任务-打掉古旧宝箱
custom.event	action_log	cangbaotu	cangbaotu_killduobaozei	10069	龙脉任务-击败夺宝贼
custom.event	action_log	shop_system	shop_system_buyitem	10092	商店-购买的道具
custom.event	action_log	chuangong	chuangong_request	10098	传功-发起传功
custom.event	action_log	chuangong	chuangong_agree	10099	传功-同意传功
custom.event	action_log	auction	auction_upload	10124	拍卖行-上架（帮会频道&世界频道）
custom.event	action_log	auction	auction_bid	10125	拍卖行-提交竞价
custom.event	action_log	auction	auction_bid_result	10126	拍卖行-竞价结果
custom.event	action_log	auction	auction_global_destroy	10127	拍卖行-世界频道流拍
custom.event	action_log	report	report_success	10128	举报玩家
custom.event	action_log	rankboard	rankboard_record_perday	10148	排行榜（每晚22：00记录各榜前100）
custom.event	action_log	limittime_levelup	limittime_levelup_getaward	10168	限时冲级-玩家领奖
custom.event	action_log	fashion	fashion_expire	10169	外装过期删除
custom.event	action_log	fashion	fashion_add	10170	获得外装
