Key	Group	AwardType	AwardSubType	CountMin	CountMax	RandRate	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut	IgnoreNoMonthCard	bZoneSystem	bCenterSystem	bServerSystem	bZoneNotify	bCenterNotify	bServerNotify	nMinNotifyLv	nMaxNotifyLv	szZCMsg	szZCTongMsg	szServerMsg	szServerTongMsg	szTongMsg	szTeamMsg
1	1	Item	901	488	488	1000000				1			1		
1	2	Item	3006	5	5	1000000				1			1		
1	3	Coin		18888	18888	1000000				1			1		
2	1	Item	901	188	188	1000000				1			1		
2	2	Item	3006	1	1	1000000				1			1		
2	3	Coin		4888	4888	1000000				1			1		
3	1	Item	673363	1	1	1000000				1			1		
3	5	Item	673367	1	1	1000000				1			1		
3	6	Item	673368	1	1	1000000				1			1		
3	7	Item	673373	1	1	1000000				1			1		
3	8	Item	673380	1	1	1000000				1			1		
3	9	Item	673357	1	1	1000000				1			1		
4	1	Item	673363	1	1	1000000				1			1		
4	2	Item	673367	1	1	1000000				1			1		
4	3	Item	673368	1	1	1000000				1			1		
4	4	Item	673380	1	1	1000000				1			1		
4	5	Item	673373	1	1	1000000				1			1		
4	6	Item	673357	1	1	1000000				1			1		
5	1	Item	673364	1	1	1000000				1			1		
5	2	Item	673369	1	1	1000000				1			1		
5	3	Item	673370	1	1	1000000				1			1		
5	4	Item	673381	1	1	1000000				1			1		
5	5	Item	673374	1	1	1000000				1			1		
5	6	Item	673358	1	1	1000000				1			1		
6	1	Item	673365	1	1	1000000				1			1		
6	2	Item	673371	1	1	1000000				1			1		
6	3	Item	673372	1	1	1000000				1			1		
6	4	Item	673382	1	1	1000000				1			1		
6	5	Item	673375	1	1	1000000				1			1		
6	6	Item	673359	1	1	1000000				1			1		
7	1	Item	673365	1	1	1000000				1			1		
7	2	Item	673371	1	1	1000000				1			1		
7	3	Item	673372	1	1	1000000				1			1		
7	4	Item	673382	1	1	1000000				1			1		
7	5	Item	673375	1	1	1000000				1			1		
7	6	Item	673360	1	1	1000000				1			1		
8	1	Item	673366	1	1	1000000				1			1		
8	2	Item	673383	1	1	1000000				1			1		
8	3	Item	673376	1	1	1000000				1			1		
8	4	Item	673361	1	1	1000000				1			1		
9	1	Item	673366	1	1	1000000				1			1		
9	2	Item	673383	1	1	1000000				1			1		
9	3	Item	673376	1	1	1000000				1			1		
9	4	Item	673362	1	1	1000000				1			1		
