StringKey	SaveKey	nCount
JianXiaCiDian	1	5
YiJunTask	2	10
BaiHuTang	3	10
WuLinGaoShou	4	10
YiJunFuBen	5	10
KinLevel	6	10
Battle	7	10
DomainBattle	9	10
TongChallenge	10	10
TongParty	11	10
Arena	12	10
GuanFuTongJi	13	10
ChuanGong	14	10
XoyoGame	15	10
Barracks	16	10
MenPaiJingJi	17	10
KinFreightTask	18	10
DigTreasure	19	5
KinContribute	20	10
ZhaiXingLou	21	10
ShiYueDao	22	10
HanWu	23	10
KeYiMen	24	10
TieFuCheng	25	10
QinShiHuangLing	26	10
GlobalShiYueDao	27	10
HanHaiMiCheng	28	10
TwoAreaBattle	29	10
QianQiongGong	35	5
MultiFactionFight	36	10
GlobalDomainBattle	37	10
XiaKeDao	39	10
FengHuoKuangMai	44	10
