Key	HelpKey	_Desc	Type	PreviewFrame1	PreviewTime1	PreviewFrame2	PreviewTime2	PreviewFrame3	PreviewTime3	TimeFrame1	TimeDes1_1	TimeDes1_2	TimeFrame2	TimeDes2_1	TimeDes2_2	TimeFrame3	TimeDes3_1	TimeDes3_2	Desc
JianXiaCiDian	JianXiaCiDianHelp	<i18n=剑侠辞典>	<i18n=11778>		<i18n=9365>						<i18n=9365>								<i18n=9607>
YiJunTask	YiJunTaskHelp	<i18n=14698>	<i18n=11778>		<i18n=9365>						<i18n=9365>								<i18n=13328>
BaiHuTang	BaiHuTangHelp	<i18n=13157>	<i18n=家族>		<i18n=10113>						<i18n=684>	 11:00, 13:00, 17:00, 20:00, 23:00							<i18n=12825>
WuLinGaoShou	WuLinGaoShouHelp	<i18n=武林高手>	<i18n=帮会>		<i18n=10113>					OpenDay2A	<i18n=684>	 15:30, 21:30	OpenLevel79	<i18n=684>	<i18n=85025>	OpenLevel99	<i18n=684>	<i18n=85019>	<i18n=10817>
YiJunFuBen	YiJunFuBenHelp	<i18n=2335>	<i18n=15982>		<i18n=9365>						<i18n=9365>								<i18n=6754>
KinLevel	KinLevelHelp	<i18n=14557>	<i18n=家族>		<i18n=12927>						<i18n=341>	 21:00							<i18n=8020>
Battle	BattleHelp	<i18n=宋金战场>	<i18n=11778>		<i18n=10113>						<i18n=684>	 10:25, 16:25,21:55	OpenLevel59	<i18n=34736>	 10:25, 16:25, 21:55	OpenLevel69	<i18n=31783>	 10:25, 16:25, 21:55	<i18n=3482>
DomainBattle	DomainBattleHelp	<i18n=13266>	<i18n=帮会>		<i18n=12927>						<i18n=3954>	 20:55							<i18n=8252>
TongChallenge	TongChallengeHelp	<i18n=9377>	<i18n=家族>		<i18n=10113>						<i18n=684>	 12:30, 19:30							<i18n=2055>
Arena	ArenaHelp	<i18n=4857>	<i18n=11778>		<i18n=9365>						<i18n=9365>								<i18n=11752>
CommerceTask	CommerceTaskHelp	<i18n=15364>	<i18n=11778>		<i18n=9365>						<i18n=9365>								<i18n=3012>
TongParty	TongPartyHelp	<i18n=13940>	<i18n=家族>		<i18n=10113>						<i18n=684>	 19:42							<i18n=4377>
GuanFuTongJi	GuanFuTongJiHelp	<i18n=1721>	<i18n=15982>		<i18n=9365>						<i18n=9365>								<i18n=13700>
ChuanGong	ChuanGongHelp	<i18n=传功>	<i18n=11778>		<i18n=9365>						<i18n=9365>								<i18n=5796>
XoyoGame	XoyoGameHelp	<i18n=1327>	<i18n=15982>		<i18n=9365>						<i18n=9365>								<i18n=17576>
Barracks	BarracksHelp	<i18n=1589>	<i18n=15982>		<i18n=9365>						<i18n=9365>								<i18n=1115>
MenPaiJingJi	MenPaiJingJiHelp	<i18n=11205>	<i18n=11778>		<i18n=12927>						<i18n=3003>	 21:00							<i18n=15145>
KinFreightTask	KinFreightTaskHelp	<i18n=9796>	<i18n=11778>		<i18n=9365>						<i18n=9365>								<i18n=17603>
ZhaiXingLou	ZhaiXingLouHelp	<i18n=14857>	<i18n=15982>		<i18n=10113>						<i18n=13432>	 21:00	OpenLevel89	<i18n=31783>	 21:00				<i18n=17537>
ShiYueDao	ShiYueDaoHelp	<i18n=4317>	<i18n=15982>		<i18n=12927>						<i18n=684>	 10:00, 14:00, 18:00, 22:30	OpenLevel69	<i18n=20414>	 10:00, 14:00, 18:00, 22:30				<i18n=9608>
MultiPvP	MultiPvPHelp	<i18n=2894>	<i18n=15982>		<i18n=12927>						<i18n=19170>	 20:30							<i18n=3398>
Loulan	Loulan	<i18n=10231>	<i18n=15982>		<i18n=9365>						<i18n=9365>								<i18n=3895>
KinContribute	KinContributeHelp	<i18n=7631>	<i18n=10213>		<i18n=9365>						<i18n=9365>								<i18n=1045>
DigTreasure	DigTreasureHelp	<i18n=2730>	<i18n=10213>		<i18n=9365>						<i18n=9365>								<i18n=7580>
XiuWeiSit	XiuWeiSit	<i18n=1700>	<i18n=10213>		<i18n=9365>						<i18n=9365>								<i18n=6433>
DaShiXiong	DaShiXiongHelp	<i18n=10296>	<i18n=10213>		<i18n=9365>						<i18n=9365>								<i18n=18724>
QinShiHuangLing	QinShiHuangLingHelp	<i18n=22077>	<i18n=帮会>		<i18n=10113>						<i18n=34736>	 21:30	OpenLevel99	<i18n=85034>	 21:30				<i18n=22035>
QinShiHuangLingRiChang	QinShiHuangLingHelp	<i18n=22079>	<i18n=15982>		<i18n=10113>						<i18n=684>	 10:00-23:59							<i18n=22040>
HanWu	HanWuHelp	<i18n=1808>	<i18n=15982>		<i18n=10113>					OpenLevel59	<i18n=19170>	 10:25, 16:25, 21:55							<i18n=22504>
KeYiMen	KeYiMenHelp	<i18n=24754>	<i18n=帮会>		<i18n=10113>					OpenLevel99	<i18n=341>	 21:30	OpenLevel119	<i18n=69109>	 21:30				<i18n=24800>
CrossTimeRoom	CrossTimeRoom	<i18n=24075>	<i18n=15982>		<i18n=9365>						<i18n=9365>								<i18n=24293>
KuaFuMenPaiJingJi	KuaFuMenPaiJingJiHelp	<i18n=22458>	<i18n=11778>		<i18n=25634>						<i18n=25631>	 21:00							<i18n=25632>
BattleKF	BattleKFHelp	<i18n=24538>	<i18n=11778>		<i18n=10113>					OpenLevel69	<i18n=34737>	 10:25, 16:25, 21:55							<i18n=3482>
BattleYD		<i18n=26286>	<i18n=11778>		<i18n=10113>					OpenLevel69	<i18n=26956>	 21:55							<i18n=3482>
TieFuCheng	TieFuChengHelp	<i18n=28671>	<i18n=帮会>		<i18n=12927>					OpenLevel99	<i18n=25010>	 20:55							<i18n=29852>
