__szName	PosX	PosY	NpcTemplateId
矿脉盗匪	33655	46353	9267
矿脉盗匪	33703	44354	9267
矿脉盗匪	33666	42993	9267
矿脉盗匪	33636	41193	9267
矿脉盗匪	34913	40515	9267
矿脉盗匪	34841	42203	9267
矿脉盗匪	34984	44845	9267
矿脉盗匪	34846	46583	9267
矿脉盗匪	36130	46852	9267
矿脉盗匪	36214	45194	9267
矿脉盗匪	37505	42409	9267
矿脉盗匪	36301	40343	9267
矿脉盗匪	37458	40735	9267
矿脉盗匪	36121	41869	9267
矿脉盗匪	37453	45146	9267
矿脉盗匪	37412	47021	9267
矿脉盗匪	38489	46309	9267
矿脉盗匪	38455	44902	9267
矿脉盗匪	38461	41270	9267
楼兰遗民	70534	57488	9268
楼兰遗民	70315	55563	9268
楼兰遗民	70140	53720	9268
楼兰遗民	70487	51520	9268
楼兰遗民	71832	50759	9268
楼兰遗民	71659	53128	9268
楼兰遗民	71630	55946	9268
楼兰遗民	71723	57989	9268
楼兰遗民	72807	58210	9268
楼兰遗民	73003	56332	9268
楼兰遗民	72990	52765	9268
楼兰遗民	73029	50749	9268
楼兰遗民	74409	50895	9268
楼兰遗民	74294	53328	9268
楼兰遗民	74364	56010	9268
楼兰遗民	74040	58263	9268
楼兰遗民	75197	57822	9268
楼兰遗民	75353	56147	9268
楼兰遗民	75596	53765	9268
楼兰遗民	75474	51407	9268
蒙军斥候	64621	119153	9266
蒙军斥候	64287	120773	9266
蒙军斥候	64477	122653	9266
蒙军斥候	64714	124017	9266
蒙军斥候	65745	124587	9266
蒙军斥候	65535	122496	9266
蒙军斥候	65559	120256	9266
蒙军斥候	65893	118397	9266
蒙军斥候	67158	118385	9266
蒙军斥候	66906	119806	9266
蒙军斥候	66773	122604	9266
蒙军斥候	66772	124261	9266
蒙军斥候	67909	124144	9266
蒙军斥候	68043	122479	9266
蒙军斥候	68140	120155	9266
蒙军斥候	68489	118418	9266
蒙军斥候	69451	118744	9266
蒙军斥候	69306	120770	9266
蒙军斥候	69243	122376	9266
蒙军斥候	69010	123987	9266
蒙军斥候	72686	133372	9266
蒙军斥候	72424	135136	9266
蒙军斥候	72562	136944	9266
蒙军斥候	72799	138308	9266
蒙军斥候	73814	138944	9266
蒙军斥候	73654	137024	9266
蒙军斥候	73740	134604	9266
蒙军斥候	73996	132586	9266
蒙军斥候	75113	132475	9266
蒙军斥候	74818	133985	9266
蒙军斥候	74735	137075	9266
蒙军斥候	74758	138448	9266
蒙军斥候	75915	138364	9266
蒙军斥候	76086	136675	9266
蒙军斥候	76242	132574	9266
蒙军斥候	77292	134905	9266
蒙军斥候	77266	132979	9266
蒙军斥候	77249	136511	9266
蒙军斥候	77016	138163	9266
蒙军斥候	76036	134190	9266
蒙军斥候	72851	149521	9266
蒙军斥候	74232	148175	9266
蒙军斥候	74100	150145	9266
蒙军斥候	74057	151709	9266
蒙军斥候	73824	153320	9266
蒙军斥候	72723	153477	9266
蒙军斥候	72689	151812	9266
蒙军斥候	71607	153561	9266
蒙军斥候	71486	152179	9266
蒙军斥候	70580	153887	9266
蒙军斥候	70370	151730	9266
蒙军斥候	69565	153251	9266
蒙军斥候	69328	151887	9266
蒙军斥候	69138	150007	9266
蒙军斥候	69472	148387	9266
蒙军斥候	70421	149612	9266
蒙军斥候	70765	147328	9266
蒙军斥候	71597	149094	9266
蒙军斥候	71980	147562	9266
蒙军斥候	73166	147686	9266
蒙军斥候	54742	125658	9266
蒙军斥候	56758	125579	9266
蒙军斥候	57794	129914	9266
蒙军斥候	55496	132029	9266
蒙军斥候	56708	131836	9266
蒙军斥候	56653	130206	9266
蒙军斥候	64544	105453	9266
蒙军斥候	64697	104017	9266
蒙军斥候	64219	109339	9266
蒙军斥候	63347	105117	9266
蒙军斥候	63393	107967	9266
蒙军斥候	62342	109351	9266
蒙军斥候	54611	132141	9266
蒙军斥候	62076	107521	9266
蒙军斥候	62201	105565	9266
蒙军斥候	62396	103809	9266
蒙军斥候	53782	126284	9266
蒙军斥候	53465	128298	9266
蒙军斥候	53456	129945	9266
蒙军斥候	53596	131540	9266
蒙军斥候	95638	110524	9266
蒙军斥候	95324	112307	9266
蒙军斥候	95484	113733	9266
蒙军斥候	95771	115289	9266
蒙军斥候	96773	115672	9266
蒙军斥候	96534	114043	9266
蒙军斥候	96660	111813	9266
蒙军斥候	96640	109595	9266
蒙军斥候	97962	109454	9266
蒙军斥候	97875	111111	9266
蒙军斥候	97963	114257	9266
蒙军斥候	97931	115785	9266
蒙军斥候	98931	115526	9266
蒙军斥候	99121	113958	9266
蒙军斥候	99266	111544	9266
蒙军斥候	99143	109688	9266
蒙军斥候	100375	110258	9266
蒙军斥候	100400	112164	9266
蒙军斥候	100389	113748	9266
蒙军斥候	100158	115464	9266
蒙军斥候	46102	127935	9266
蒙军斥候	44951	127616	9266
蒙军斥候	44633	129452	9266
蒙军斥候	45912	130050	9266
蒙军斥候	44591	131850	9266
蒙军斥候	45839	131897	9266
蒙军斥候	45448	133517	9266
蒙军斥候	44370	133674	9266
蒙军斥候	43254	133758	9266
蒙军斥候	43261	132300	9266
蒙军斥候	43334	129041	9266
蒙军斥候	43858	127577	9266
蒙军斥候	42427	127536	9266
蒙军斥候	41269	128240	9266
蒙军斥候	42186	129479	9266
蒙军斥候	40877	130075	9266
蒙军斥候	40992	131813	9266
蒙军斥候	42002	131903	9266
蒙军斥候	41212	133412	9266
蒙军斥候	42227	133979	9266
蒙军斥候	33681	126146	9266
蒙军斥候	32428	125802	9266
蒙军斥候	31109	125763	9266
蒙军斥候	29943	125759	9266
蒙军斥候	28812	126915	9266
蒙军斥候	28499	128491	9266
蒙军斥候	29810	127755	9266
蒙军斥候	31196	127197	9266
蒙军斥候	32584	127596	9266
蒙军斥候	33571	128290	9266
蒙军斥候	33478	129897	9266
蒙军斥候	32355	130092	9266
蒙军斥候	31068	130629	9266
蒙军斥候	29738	130058	9266
蒙军斥候	28626	130249	9266
蒙军斥候	28877	131697	9266
蒙军斥候	29838	132142	9266
蒙军斥候	31026	132088	9266
蒙军斥候	32186	131903	9266
蒙军斥候	33256	131607	9266
蒙军斥候	21831	144714	9266
蒙军斥候	20824	140124	9266
蒙军斥候	19503	141209	9266
蒙军斥候	19296	142576	9266
蒙军斥候	19390	144264	9266
蒙军斥候	19630	146125	9266
蒙军斥候	20724	146369	9266
蒙军斥候	20557	144720	9266
蒙军斥候	20773	141888	9266
蒙军斥候	21838	141630	9266
蒙军斥候	21917	146462	9266
蒙军斥候	22066	139944	9266
蒙军斥候	23317	140149	9266
蒙军斥候	24547	140460	9266
蒙军斥候	24577	142884	9266
蒙军斥候	23305	141798	9266
蒙军斥候	23312	144654	9266
蒙军斥候	24506	144524	9266
蒙军斥候	24199	146070	9266
蒙军斥候	22932	146231	9266
蒙军斥候	61213	104373	9266
蒙军斥候	61000	106156	9266
蒙军斥候	61129	107683	9266
蒙军斥候	61506	109155	9266
蒙军斥候	54527	130233	9266
蒙军斥候	63386	109412	9266
蒙军斥候	63581	103565	9266
蒙军斥候	65470	104477	9266
蒙军斥候	65230	109284	9266
蒙军斥候	65510	106322	9266
蒙军斥候	64370	107949	9266
蒙军斥候	65361	108081	9266
蒙军斥候	57691	131382	9266
蒙军斥候	54373	127629	9266
蒙军斥候	55580	127040	9266
蒙军斥候	57623	125994	9266
蒙军斥候	56831	127482	9266
蒙军斥候	55692	125598	9266
蒙军斥候	57863	127861	9266
蒙军斥候	55669	130365	9266
蒙军斥候	30516	128807	9266
楼兰遗民	81164	74737	9268
楼兰遗民	77366	75324	9268
楼兰遗民	77041	77471	9268
楼兰遗民	77193	79597	9268
楼兰遗民	77618	81289	9268
楼兰遗民	78646	81724	9268
楼兰遗民	78620	79887	9268
楼兰遗民	78334	76910	9268
楼兰遗民	78786	74775	9268
楼兰遗民	80031	74863	9268
楼兰遗民	79803	76523	9268
楼兰遗民	79680	80527	9268
楼兰遗民	79755	82035	9268
楼兰遗民	80945	81931	9268
楼兰遗民	80990	79626	9268
楼兰遗民	81128	76885	9268
楼兰遗民	82226	75880	9268
楼兰遗民	82276	77590	9268
楼兰遗民	79027	78034	9268
楼兰遗民	91706	84535	9268
楼兰遗民	91911	86451	9268
楼兰遗民	91783	87979	9268
楼兰遗民	91656	89730	9268
楼兰遗民	87046	89628	9268
楼兰遗民	86608	87685	9268
楼兰遗民	86619	85907	9268
楼兰遗民	86934	84312	9268
楼兰遗民	88294	83681	9268
楼兰遗民	88071	85871	9268
楼兰遗民	88037	88410	9268
楼兰遗民	87965	90259	9268
楼兰遗民	89207	90589	9268
楼兰遗民	89298	88721	9268
楼兰遗民	89359	85444	9268
楼兰遗民	89575	83677	9268
楼兰遗民	90790	83664	9268
楼兰遗民	90660	85807	9268
楼兰遗民	90489	88758	9268
楼兰遗民	90309	90406	9268
楼兰遗民	99334	79020	9268
楼兰遗民	99524	73603	9268
楼兰遗民	98585	73600	9268
楼兰遗民	97390	72866	9268
楼兰遗民	96004	72619	9268
楼兰遗民	94853	72727	9268
楼兰遗民	94548	74537	9268
楼兰遗民	94526	76271	9268
楼兰遗民	94405	78392	9268
楼兰遗民	95729	79138	9268
楼兰遗民	95671	76844	9268
楼兰遗民	95840	74267	9268
楼兰遗民	97382	74584	9268
楼兰遗民	96699	77817	9268
楼兰遗民	96713	79686	9268
楼兰遗民	97968	79617	9268
楼兰遗民	98130	77709	9268
楼兰遗民	98421	75444	9268
楼兰遗民	99174	77394	9268
楼兰遗民	99449	75843	9268
楼兰遗民	86721	62098	9268
楼兰遗民	86608	64337	9268
楼兰遗民	86723	66034	9268
楼兰遗民	87053	67787	9268
楼兰遗民	88237	68272	9268
楼兰遗民	87868	66450	9268
楼兰遗民	87910	63505	9268
楼兰遗民	88218	61518	9268
楼兰遗民	89665	61602	9268
楼兰遗民	89228	66694	9268
楼兰遗民	89564	68311	9268
楼兰遗民	89181	63093	9268
楼兰遗民	90498	63535	9268
楼兰遗民	90864	61977	9268
