Path	Index	PosX	PosY
1	1	31676	112494
1	2	28530	109175
1	3	25383	105588
1	4	27166	100926
1	5	29282	96480
1	6	30120	92699
1	7	30614	87178
1	8	30474	82345
1	9	28968	77729
1	10	30013	74333
1	11	32128	70316
1	12	35834	66815
1	13	39736	64028
1	14	42920	67558
1	15	44973	71742
1	16	46764	74804
1	17	48081	76630
1	18	49652	78676
1	19	52452	74997
1	20	55757	71412
1	21	59471	66870
1	22	59472	66871
1	23	63349	71196
1	24	68013	76122
1	25	72994	79111
1	26	78959	80606
1	27	85103	83705
1	28	88950	87663
1	29	94971	88687
1	30	95294	84232
1	31	94327	80452
1	32	92824	75996
1	33	97000	68903
1	34	98828	64769
1	35	99825	59592
1	36	100120	55742
1	37	100541	51691
1	38	99158	49940
1	39	97779	47718
1	40	96293	45245
1	41	93736	42894
1	42	91686	40983
2	1	91686	40983
2	2	93726	42884
2	3	96286	45258
2	4	97781	47720
2	5	99159	49958
2	6	100537	51717
2	7	100134	55751
2	8	99829	59600
2	9	98841	64771
2	10	97017	68900
2	11	92817	75986
2	12	94319	80461
2	13	95293	84262
2	14	94971	88687
2	15	88950	87663
2	16	85103	83705
2	17	78959	80606
2	18	72994	79111
2	19	68013	76122
2	20	63349	71196
2	21	59472	66871
2	22	59471	66869
2	23	65373	62094
2	24	68390	59348
2	25	70439	57407
2	26	71725	53538
2	27	73637	49146
2	28	77411	47222
2	29	76016	44756
2	30	73870	40215
2	31	71034	37138
2	32	67740	34747
2	33	63422	32180
2	34	57303	29800
2	35	56280	26119
2	36	52144	25789
2	37	48473	26243
2	38	48448	22012
2	39	44703	22021
2	40	41091	22629
2	41	37371	24953
2	42	34486	29071
3	1	34486	29071
3	2	37371	24953
3	3	41091	22629
3	4	44703	22021
3	5	48448	22012
3	6	48473	26243
3	7	52144	25789
3	8	56280	26119
3	9	57303	29800
3	10	63422	32180
3	11	67740	34747
3	12	71034	37138
3	13	73870	40215
3	14	76016	44756
3	15	77411	47222
3	16	73637	49146
3	17	71725	53538
3	18	70439	57407
3	19	68390	59348
3	20	65373	62094
3	21	59471	66869
3	22	59471	66870
3	23	55757	71412
3	24	52452	74997
3	25	49652	78676
3	26	48081	76630
3	27	46764	74804
3	28	44973	71742
3	29	42920	67558
3	30	39736	64028
3	31	35834	66815
3	32	32128	70316
3	33	30013	74333
3	34	28968	77729
3	35	30474	82345
3	36	30614	87178
3	37	30120	92699
3	38	29282	96480
3	39	27166	100926
3	40	25383	105588
3	41	28530	109175
3	42	31676	112494
1	43	88229	37722
2	43	31317	30351
3	43	35632	112112
