Index	NpcName	TitleID	NpcTemplateId	WalkNearLength	CanAutoPath	ShowName	NpcLevel	XPos	YPos	ZPos	StandDir	Quantity	NpcType	NpcCamp	NpcDroprate	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	Removewhendeath	ChangeColorScheme	HideTaskId	NpcPath	bPathRecycle	IsMapMonster	nShareType	LevelSettingKey
	<i18n=10677>		3		1	<i18n=10677>	1	42712	44717	0	160	-1	2	0		-1	0	0	0	0	0	0	0						
	<i18n=12932>		4		1	<i18n=12932>	1	29581	48554	0	220	-1	2	0		-1	0	0	0	0	0	0	0						
	<i18n=8448>		5		1	<i18n=8448>	1	35176	37032	0	160	-1	2	0		-1	0	0	0	0	0	0	0						
	<i18n=938>		6		1	<i18n=938>	1	33759	35394	0	40	-1	2	0		-1	0	0	0	0	0	0	0						
	<i18n=5684>		7			<i18n=5684>	1	28599	48298	0	220	-1	2	0		-1	0	0	0	0	0	0	0						
	<i18n=15673>		8			<i18n=18545>	1	35763	52398	0	160	-1	2	0		-1	0	0	0	0	0	0	0						
	<i18n=5684>		7			<i18n=5684>	1	29855	49565	0	220	-1	2	0		-1	0	0	0	0	0	0	0						
	<i18n=10917>	11	7002			<i18n=10917>	1	42664	29567	0	100	-1	2	0		-1	0	0	0	0	0	0	0						
	<i18n=2285>	12	7003			<i18n=2285>	1	46306	35625	0	220	-1	2	0		-1	0	0	0	0	0	0	0						
	<i18n=5083>	13	7005			<i18n=5083>	1	46391	27739	0	191	-1	2	0		-1	0	0	0	0	0	0	0						
	<i18n=1458>	15	7008			<i18n=1458>	1	49853	35530	0	130	-1	2	0		-1	0	0	0	0	0	0	0						
	<i18n=4794>	16	7009			<i18n=4794>	1	56305	35284	0	160	-1	2	0		-1	0	0	0	0	0	0	0						
	<i18n=14337>	20	7013			<i18n=14337>	1	41956	20931	0	0	-1	2	0		-1	0	0	0	0	0	0	0						
	<i18n=2100>	14	7006			<i18n=2100>	1	57570	29629	0	160	-1	2	0		-1	0	0	0	0	0	0	0						
	<i18n=2593>	19	7012			<i18n=2593>	1	52976	36904	0	40	-1	2	0		-1	0	0	0	0	0	0	0						
	<i18n=15460>	18	7011			<i18n=15460>	1	41077	32688	0	220	-1	2	0		-1	0	0	0	0	0	0	0						
	<i18n=14067>	17	7010			<i18n=14067>	1	51320	24437	0	130	-1	2	0		-1	0	0	0	0	0	0	0						
	<i18n=1614>	1	10		1	<i18n=18540>	1	27933	44457	0	191	-1	2	0		-1	0	0	0	0	0	0	0						
	<i18n=12275>	3	12		1	<i18n=18547>	1	20630	51181	0	220	-1	2	0		-1	0	0	0	0	0	0	0						
	<i18n=12269>	4	11		1	<i18n=18542>	1	29721	59118	0	160	-1	2	0		-1	0	0	0	0	0	0	0						
	<i18n=6809>		13			<i18n=6809>	1	15941	40298	0	220	-1	2	0		-1	0	0	0	0	0	0	0						
	<i18n=2917>		12067			<i18n=2917>	1	55961	15287	0	191	-1	2	0		-1	0	0	0	0	0	0	0						
	<i18n=12683>	2	14		1	<i18n=18536>	1	25352	55566	0	220	-1	2	0		-1	0	0	0	0	0	0	0						
	<i18n=14502>		15			<i18n=18546>	1	20753	36703	0	220	-1	2	0		-1	0	0	0	0	0	0	0						
	<i18n=14226>		12068		0	<i18n=14226>	1	31716	68268	0	191					-1						0					0		
	<i18n=13058>		12069		0	<i18n=13058>	1	55370	47423	0	191					-1						0					0		
	<i18n=4164>		11041		1	<i18n=8354>	1	11238	50708	0	160	-1	2	0		-1	0	0	0	0	0	0	0						
	<i18n=2572>		12103		1	<i18n=13136>	1	33599	63561	0	0					-1						0					0		
	<i18n=12830>		35		0	<i18n=12830>	1	13358	44124	0	0					-1						0					0		
	<i18n=6105>		9		1	<i18n=2794>	1	38737	63062	0	160					-1						0					0		
	<i18n=20231>	37	7007			<i18n=2285>	1	48027	33296	0	100	-1	2	0		-1	0	0	0	0	0	0	0						
	<i18n=24279>	41	7501			<i18n=24279>	1	48866	24494	0	40	-1	2	0		-1	0	0	0	0	0	0	0						
	<i18n=28580>		9265		0	<i18n=28580>	1	40347	24041	0	0					-1						0					0		
	<i18n=36995>	3073	9279			<i18n=36995>	1	50743	41108	0	160	-1	2	0		-1	0	0	0	0	0	0	0						
	<i18n=43687>	3075	9283		0		1	50164	28640	0	191					-1						0					0		
	<i18n=49610>	3078	9288		0		1	54087	27080	0	100					-1						0					0		
	<i18n=56257>		9296		0		1	43629	22379	0	191					-1						0					0		
	<i18n=68437>		9302		0		1	54187	29773	0	191					-1						0					0		
	<i18n=77530>	7063	9313			<i18n=36995>	1	49615	38905	0	0	-1	2	0		-1	0	0	0	0	0	0	0						
	<i18n=84414>		9322		0		1	47968	37175	0	191					-1						0					0		
