nTemplateId	nBaseAttrNum	nBaseAttrGroupId	nExtAttrNum	nExtAttrGroupId	nOrder	nSeries	nFightPower
251101	1	1101	2	1101	1	1	1600
251102	1	1102	2	1102	2	1	1920
251103	1	1103	2	1103	3	1	2304
251104	1	1104	2	1104	4	1	2765
251105	1	1105	2	1105	5	1	3319
251106	1	1106	2	1106	6	1	3983
251107	1	1107	2	1107	7	1	4740
251108	1	1108	2	1108	8	1	5594
251109	1	1109	2	1109	9	1	6545
251110	1	1110	2	1110	10	1	7593
251111	1	1111	2	1111	11	1	8732
251112	1	1112	2	1112	12	1	9999
251113	1	1113	2	1113	13	1	11399
251114	1	1114	2	1114	14	1	12938
251115	1	1115	2	1115	15	1	14620
251116	1	1116	2	1116	16	1	16521
251117	1	1117	2	1117	17	1	18669
251118	1	1118	2	1118	18	1	21096
251119	1	1119	2	1119	19	1	23840
251120	1	1120	2	1120	20	1	26940
251201	1	1201	3	1201	1	1	1800
251202	1	1202	3	1202	2	1	2160
251203	1	1203	3	1203	3	1	2592
251204	1	1204	3	1204	4	1	3111
251205	1	1205	3	1205	5	1	3734
251206	1	1206	3	1206	6	1	4481
251207	1	1207	3	1207	7	1	5333
251208	1	1208	3	1208	8	1	6293
251209	1	1209	3	1209	9	1	7363
251210	1	1210	3	1210	10	1	8542
251211	1	1211	3	1211	11	1	9824
251212	1	1212	3	1212	12	1	11249
251213	1	1213	3	1213	13	1	12824
251214	1	1214	3	1214	14	1	14555
251215	1	1215	3	1215	15	1	16448
251216	1	1216	3	1216	16	1	18586
251217	1	1217	3	1217	17	1	21003
251218	1	1218	3	1218	18	1	23733
251219	1	1219	3	1219	19	1	26820
251220	1	1220	3	1220	20	1	30307
251301	2	1301	4	1301	1	1	2000
251302	2	1302	4	1302	2	1	2400
251303	2	1303	4	1303	3	1	2880
251304	2	1304	4	1304	4	1	3457
251305	2	1305	4	1305	5	1	4149
251306	2	1306	4	1306	6	1	4979
251307	2	1307	4	1307	7	1	5926
251308	2	1308	4	1308	8	1	6993
251309	2	1309	4	1309	9	1	8182
251310	2	1310	4	1310	10	1	9492
251311	2	1311	4	1311	11	1	10916
251312	2	1312	4	1312	12	1	12499
251313	2	1313	4	1313	13	1	14249
251314	2	1314	4	1314	14	1	16173
251315	2	1315	4	1315	15	1	18276
251316	2	1316	4	1316	16	1	20652
251317	2	1317	4	1317	17	1	23337
251318	2	1318	4	1318	18	1	26371
251319	2	1319	4	1319	19	1	29800
251320	2	1320	4	1320	20	1	33675
252101	1	2101	2	2101	1	2	1600
252102	1	2102	2	2102	2	2	1920
252103	1	2103	2	2103	3	2	2304
252104	1	2104	2	2104	4	2	2765
252105	1	2105	2	2105	5	2	3319
252106	1	2106	2	2106	6	2	3983
252107	1	2107	2	2107	7	2	4740
252108	1	2108	2	2108	8	2	5594
252109	1	2109	2	2109	9	2	6545
252110	1	2110	2	2110	10	2	7593
252111	1	2111	2	2111	11	2	8732
252112	1	2112	2	2112	12	2	9999
252113	1	2113	2	2113	13	2	11399
252114	1	2114	2	2114	14	2	12938
252115	1	2115	2	2115	15	2	14620
252116	1	2116	2	2116	16	2	16521
252117	1	2117	2	2117	17	2	18669
252118	1	2118	2	2118	18	2	21096
252119	1	2119	2	2119	19	2	23840
252120	1	2120	2	2120	20	2	26940
252201	1	2201	3	2201	1	2	1800
252202	1	2202	3	2202	2	2	2160
252203	1	2203	3	2203	3	2	2592
252204	1	2204	3	2204	4	2	3111
252205	1	2205	3	2205	5	2	3734
252206	1	2206	3	2206	6	2	4481
252207	1	2207	3	2207	7	2	5333
252208	1	2208	3	2208	8	2	6293
252209	1	2209	3	2209	9	2	7363
252210	1	2210	3	2210	10	2	8542
252211	1	2211	3	2211	11	2	9824
252212	1	2212	3	2212	12	2	11249
252213	1	2213	3	2213	13	2	12824
252214	1	2214	3	2214	14	2	14555
252215	1	2215	3	2215	15	2	16448
252216	1	2216	3	2216	16	2	18586
252217	1	2217	3	2217	17	2	21003
252218	1	2218	3	2218	18	2	23733
252219	1	2219	3	2219	19	2	26820
252220	1	2220	3	2220	20	2	30307
252301	2	2301	4	2301	1	2	2000
252302	2	2302	4	2302	2	2	2400
252303	2	2303	4	2303	3	2	2880
252304	2	2304	4	2304	4	2	3457
252305	2	2305	4	2305	5	2	4149
252306	2	2306	4	2306	6	2	4979
252307	2	2307	4	2307	7	2	5926
252308	2	2308	4	2308	8	2	6993
252309	2	2309	4	2309	9	2	8182
252310	2	2310	4	2310	10	2	9492
252311	2	2311	4	2311	11	2	10916
252312	2	2312	4	2312	12	2	12499
252313	2	2313	4	2313	13	2	14249
252314	2	2314	4	2314	14	2	16173
252315	2	2315	4	2315	15	2	18276
252316	2	2316	4	2316	16	2	20652
252317	2	2317	4	2317	17	2	23337
252318	2	2318	4	2318	18	2	26371
252319	2	2319	4	2319	19	2	29800
252320	2	2320	4	2320	20	2	33675
253101	1	3101	2	3101	1	3	1600
253102	1	3102	2	3102	2	3	1920
253103	1	3103	2	3103	3	3	2304
253104	1	3104	2	3104	4	3	2765
253105	1	3105	2	3105	5	3	3319
253106	1	3106	2	3106	6	3	3983
253107	1	3107	2	3107	7	3	4740
253108	1	3108	2	3108	8	3	5594
253109	1	3109	2	3109	9	3	6545
253110	1	3110	2	3110	10	3	7593
253111	1	3111	2	3111	11	3	8732
253112	1	3112	2	3112	12	3	9999
253113	1	3113	2	3113	13	3	11399
253114	1	3114	2	3114	14	3	12938
253115	1	3115	2	3115	15	3	14620
253116	1	3116	2	3116	16	3	16521
253117	1	3117	2	3117	17	3	18669
253118	1	3118	2	3118	18	3	21096
253119	1	3119	2	3119	19	3	23840
253120	1	3120	2	3120	20	3	26940
253201	1	3201	3	3201	1	3	1800
253202	1	3202	3	3202	2	3	2160
253203	1	3203	3	3203	3	3	2592
253204	1	3204	3	3204	4	3	3111
253205	1	3205	3	3205	5	3	3734
253206	1	3206	3	3206	6	3	4481
253207	1	3207	3	3207	7	3	5333
253208	1	3208	3	3208	8	3	6293
253209	1	3209	3	3209	9	3	7363
253210	1	3210	3	3210	10	3	8542
253211	1	3211	3	3211	11	3	9824
253212	1	3212	3	3212	12	3	11249
253213	1	3213	3	3213	13	3	12824
253214	1	3214	3	3214	14	3	14555
253215	1	3215	3	3215	15	3	16448
253216	1	3216	3	3216	16	3	18586
253217	1	3217	3	3217	17	3	21003
253218	1	3218	3	3218	18	3	23733
253219	1	3219	3	3219	19	3	26820
253220	1	3220	3	3220	20	3	30307
253301	2	3301	4	3301	1	3	2000
253302	2	3302	4	3302	2	3	2400
253303	2	3303	4	3303	3	3	2880
253304	2	3304	4	3304	4	3	3457
253305	2	3305	4	3305	5	3	4149
253306	2	3306	4	3306	6	3	4979
253307	2	3307	4	3307	7	3	5926
253308	2	3308	4	3308	8	3	6993
253309	2	3309	4	3309	9	3	8182
253310	2	3310	4	3310	10	3	9492
253311	2	3311	4	3311	11	3	10916
253312	2	3312	4	3312	12	3	12499
253313	2	3313	4	3313	13	3	14249
253314	2	3314	4	3314	14	3	16173
253315	2	3315	4	3315	15	3	18276
253316	2	3316	4	3316	16	3	20652
253317	2	3317	4	3317	17	3	23337
253318	2	3318	4	3318	18	3	26371
253319	2	3319	4	3319	19	3	29800
253320	2	3320	4	3320	20	3	33675
254101	1	4101	2	4101	1	4	1600
254102	1	4102	2	4102	2	4	1920
254103	1	4103	2	4103	3	4	2304
254104	1	4104	2	4104	4	4	2765
254105	1	4105	2	4105	5	4	3319
254106	1	4106	2	4106	6	4	3983
254107	1	4107	2	4107	7	4	4740
254108	1	4108	2	4108	8	4	5594
254109	1	4109	2	4109	9	4	6545
