Batch	NpcType	NpcTemplateId	PosX	PosY	NpcSeriesAuto	ReqDeath	nTarget
0	0	3432	16769	61656	-1	0	0
1	0	3305	27128	46592	-1	1	1
2	0	3380	33814	31553	-1	1	5
1	0	3305	26667	45660	-1	1	1
1	0	3305	27964	46537	-1	1	1
1	0	3303	27503	45281	-1	1	1
1	0	3305	28364	45321	-1	1	1
1	0	3305	27065	43984	-1	1	1
1	0	3305	27972	43889	-1	1	1
1	0	3305	22849	42231	-1	1	2
1	0	3305	23685	42176	-1	1	2
1	0	3305	24085	40960	-1	1	2
1	0	3304	23237	40920	-1	1	2
1	0	3305	22388	41299	-1	1	2
1	0	3305	22786	39623	-1	1	2
1	0	3305	23845	39555	-1	1	2
1	0	3305	20701	35750	-1	1	3
1	0	3305	21162	36682	-1	1	3
1	0	3305	21998	36627	-1	1	3
1	0	3305	22398	35411	-1	1	3
1	0	3304	21550	35371	-1	1	3
1	0	3305	21099	34074	-1	1	3
1	0	3305	22071	33979	-1	1	3
1	0	3305	27327	24623	-1	1	4
1	0	3305	27580	26298	-1	1	4
1	0	3305	27180	27514	-1	1	4
1	0	3305	26344	27569	-1	1	4
1	0	3305	25883	26637	-1	1	4
1	0	3303	26732	26258	-1	1	4
1	0	3305	26281	24961	-1	1	4
