NpcName	NpcTemplateId	NpcLevel	TitleID	XPos	YPos	ZPos	CanAutoPath	StandDir	NpcSeriesAuto	Removewhendeath	IsMapMonster	NpcPath	bPathRecycle	nShareType	LevelSettingKey
<i18n=2899>	9070	40		54694	109982	0	0	191	-1	0	0			1	maplevel140
<i18n=2899>	9070	40		55412	106189	0	0	191	-1	0	0			1	maplevel140
<i18n=2899>	9070	40		57197	112606	0	0	191	-1	0	0			1	maplevel140
<i18n=2899>	9070	40		57086	105291	0	0	191	-1	0	0			1	maplevel140
<i18n=2899>	9070	40		55976	112484	0	0	191	-1	0	0			1	maplevel140
<i18n=2899>	9070	40		55874	110771	0	0	191	-1	0	0			1	maplevel140
<i18n=2899>	9070	40		55890	107047	0	0	191	-1	0	0			1	maplevel140
<i18n=2899>	9070	40		58528	107137	0	0	191	-1	0	0			1	maplevel140
<i18n=2899>	9070	40		58329	110578	0	0	191	-1	0	0			1	maplevel140
<i18n=2899>	9070	40		63475	94014	0	0	191	-1	0	0			1	maplevel140
<i18n=2899>	9070	40		61143	99217	0	0	191	-1	0	0			1	maplevel140
<i18n=2899>	9070	40		61059	97417	0	0	191	-1	0	0			1	maplevel140
<i18n=2899>	9070	40		62272	95851	0	0	191	-1	0	0			1	maplevel140
<i18n=2899>	9070	40		60776	92806	0	0	191	-1	0	0			1	maplevel140
<i18n=2899>	9070	40		59767	98602	0	0	191	-1	0	0			1	maplevel140
<i18n=2899>	9070	40		61044	94199	0	0	191	-1	0	0			1	maplevel140
<i18n=2899>	9070	40		59646	94320	0	0	191	-1	0	0			1	maplevel140
<i18n=2899>	9070	40		62362	99304	0	0	191	-1	0	0			1	maplevel140
<i18n=2899>	9070	40		78814	86509	0	0	191	-1	0	0			1	maplevel140
<i18n=2899>	9070	40		78098	94964	0	0	191	-1	0	0			1	maplevel140
<i18n=2899>	9070	40		77564	90673	0	0	191	-1	0	0			1	maplevel140
<i18n=2899>	9070	40		76480	95045	0	0	191	-1	0	0			1	maplevel140
<i18n=2899>	9070	40		77674	86641	0	0	191	-1	0	0			1	maplevel140
<i18n=2899>	9070	40		75901	88829	0	0	191	-1	0	0			1	maplevel140
<i18n=2899>	9070	40		79777	88203	0	0	191	-1	0	0			1	maplevel140
<i18n=2899>	9070	40		76210	86717	0	0	191	-1	0	0			1	maplevel140
<i18n=2899>	9070	40		74603	92581	0	0	191	-1	0	0			1	maplevel140
<i18n=2899>	9070	40		80297	90058	0	0	191	-1	0	0			1	maplevel140
<i18n=2899>	9070	40		74382	90242	0	0	191	-1	0	0			1	maplevel140
<i18n=2516>	9068	40		97504	86899	0	0	191	-1	0	0			1	maplevel140
<i18n=2516>	9068	40		97028	82709	0	0	191	-1	0	0			1	maplevel140
<i18n=2516>	9068	40		94261	89665	0	0	191	-1	0	0			1	maplevel140
<i18n=2516>	9068	40		95959	89354	0	0	191	-1	0	0			1	maplevel140
<i18n=2516>	9068	40		92193	85282	0	0	191	-1	0	0			1	maplevel140
<i18n=2516>	9068	40		95427	82524	0	0	191	-1	0	0			1	maplevel140
<i18n=2516>	9068	40		94014	82449	0	0	191	-1	0	0			1	maplevel140
<i18n=2516>	9068	40		92167	87493	0	0	191	-1	0	0			1	maplevel140
<i18n=2516>	9068	40		92965	83425	0	0	191	-1	0	0			1	maplevel140
<i18n=2516>	9068	40		106401	88894	0	0	191	-1	0	0			1	maplevel140
<i18n=2516>	9068	40		109217	88045	0	0	191	-1	0	0			1	maplevel140
<i18n=2516>	9068	40		110306	86233	0	0	191	-1	0	0			1	maplevel140
<i18n=2516>	9068	40		108076	81557	0	0	191	-1	0	0			1	maplevel140
<i18n=2516>	9068	40		107738	85121	0	0	191	-1	0	0			1	maplevel140
<i18n=2516>	9068	40		108001	88874	0	0	191	-1	0	0			1	maplevel140
<i18n=2516>	9068	40		104877	86707	0	0	191	-1	0	0			1	maplevel140
<i18n=2516>	9068	40		106214	86966	0	0	191	-1	0	0			1	maplevel140
<i18n=2516>	9068	40		109457	82198	0	0	191	-1	0	0			1	maplevel140
<i18n=2516>	9068	40		106528	81539	0	0	191	-1	0	0			1	maplevel140
<i18n=2516>	9068	40		104817	84788	0	0	191	-1	0	0			1	maplevel140
<i18n=2516>	9068	40		106295	83529	0	0	191	-1	0	0			1	maplevel140
<i18n=2516>	9068	40		105215	82447	0	0	191	-1	0	0			1	maplevel140
<i18n=2516>	9068	40		102490	75328	0	0	191	-1	0	0			1	maplevel140
<i18n=2516>	9068	40		105725	74492	0	0	191	-1	0	0			1	maplevel140
