PosX	PosY
18552	28499
17703	28291
19356	28231
16809	27903
16020	27516
15230	27039
14545	26414
13994	25490
13711	24209
13681	22928
13890	21618
14426	20515
15067	19920
15588	19324
16243	18668
17107	18162
17956	17864
18775	17685
19788	17894
20936	18164
21819	18763
22489	19245
23218	20050
23631	21010
24167	23369
23850	24477
23097	26456
22493	27152
21761	27634
20831	28112
20101	28172
23552	25371
24062	22217
15618	25907
16452	26742
17494	26920
18195	27159
19178	27039
20101	27218
21099	26682
21933	26056
22604	25431
23050	23971
23363	22720
22604	21886
22365	20843
21665	20039
20757	19949
19729	19681
18910	19681
17807	19681
16765	19830
16079	20843
15216	21320
14471	22482
14739	23941
14977	25461
15886	24358
16881	25734
17924	25915
15696	22772
16541	21767
17211	20962
18299	20813
19267	20873
20354	21469
21248	21498
21829	22601
22127	24060
21442	25192
20488	25788
19714	25788
18895	25878
16809	24477
17077	22809
17494	21647
18537	21915
17629	24358
17882	23137
18388	24746
18597	23733
19222	25341
19252	23643
19163	22422
19803	24388
19759	22333
20451	24978
20369	23196
20846	22452
21069	24060
21412	23375
