Type	PosX	PosY
PILLAR_1	47861	87295
SOLDIER	49205	87829
SOLDIER	48735	85042
SOLDIER	47486	85089
SOLDIER	46460	87395
SOLDIER	46946	88874
SOLDIER	48886	89481
OFFICER	48558	86526
OFFICER	47221	86446
OFFICER	47973	88872
PILLAR_2	76716	99442
SOLDIER	78446	99672
SOLDIER	78014	97440
SOLDIER	76258	96965
SOLDIER	74473	99140
SOLDIER	75241	101276
SOLDIER	77366	102276
OFFICER	77471	98610
OFFICER	75733	98602
OFFICER	76535	100824
PILLAR_3	108666	91550
SOLDIER	110321	91888
SOLDIER	110059	89466
SOLDIER	107822	89423
SOLDIER	106768	92151
SOLDIER	107736	94047
SOLDIER	109612	94614
OFFICER	107771	91043
OFFICER	109511	90811
OFFICER	108877	92952
FRONT_1	65777	75786
FRONT_2	89485	81051
