ItemType	StartLv1	StartLv2	StartLv3	StartLv4	StartLv5	StartLv6	StartLv7	StartLv8	StartLv9	StartLv10	StartLv11	StartLv12	StartLv13	StartLv14	StartLv15	StartLv16	StartLv17	StartLv18	StartLv19	StartLv20
1	1	225000	300000	450000	600000	900000	1200000	1800000	3000000	4800000	7500000	12000000	18000000	30000000	48000000	72000000	105000000	150000000	210000000	300000000
2	1	135000	180000	270000	360000	540000	720000	1080000	1800000	2880000	4500000	7200000	10800000	18000000	28800000	43200000	63000000	90000000	126000000	180000000
3	1	90000	120000	180000	240000	360000	480000	720000	1200000	1920000	3000000	4800000	7200000	12000000	19200000	28800000	42000000	60000000	84000000	120000000
4	1	90000	120000	180000	240000	360000	480000	720000	1200000	1920000	3000000	4800000	7200000	12000000	19200000	28800000	42000000	60000000	84000000	120000000
5	1	90000	120000	180000	240000	360000	480000	720000	1200000	1920000	3000000	4800000	7200000	12000000	19200000	28800000	42000000	60000000	84000000	120000000
6	1	45000	60000	90000	120000	180000	240000	360000	600000	960000	1500000	2400000	3600000	6000000	9600000	14400000	21000000	30000000	42000000	60000000
7	1	45000	60000	90000	120000	180000	240000	360000	600000	960000	1500000	2400000	3600000	6000000	9600000	14400000	21000000	30000000	42000000	60000000
8	1	45000	60000	90000	120000	180000	240000	360000	600000	960000	1500000	2400000	3600000	6000000	9600000	14400000	21000000	30000000	42000000	60000000
9	1	45000	60000	90000	120000	180000	240000	360000	600000	960000	1500000	2400000	3600000	6000000	9600000	14400000	21000000	30000000	42000000	60000000
10	1	90000	120000	180000	240000	360000	480000	720000	1200000	1920000	3000000	4800000	7200000	12000000	19200000	28800000	42000000	60000000	84000000	120000000
